gene,sgRNA,B1,B2,B3,A1,A2,A3
RPS19,RPS19-10,10180,9768,9406,1005,1186,911
NUP93,NUP93-4,9073,8598,8363,688,479,581
PSMD11,PSMD11-2,9408,9573,9384,1014,1196,797
RPS3A,RPS3A-3,8922,8965,8779,1266,1303,1176
PSMB3,PSMB3-3,7434,6958,6871,450,628,398
POLR2A,POLR2A-5,7672,7537,7259,647,786,683
RPS8,RPS8-8,6999,6966,6775,673,665,474
RPL36,RPL36-3,5988,5893,5498,266,276,201
RPS13,RPS13-4,5763,5546,5131,187,191,196
RPS11,RPS11-2,9444,9621,8835,1900,2213,1705
NUP93,NUP93-7,7951,7700,7332,1259,1073,1304
PSMC1,PSMC1-10,6785,6708,6249,862,925,667
RPS9,RPS9-10,7015,6652,6057,856,867,770
COPB1,COPB1-3,6222,6120,5975,556,797,627
PSMC1,PSMC1-6,7499,7581,7245,1338,1310,1171
PSMC1,PSMC1-9,7821,7740,7090,1381,1462,1183
RPL5,RPL5-6,7083,7214,6755,1209,1032,1036
RPL11,RPL11-2,6600,6843,6055,1008,859,757
PSMB2,PSMB2-1,6256,6117,5711,609,744,645
RPS11,RPS11-10,5670,5624,5302,380,559,456
PSMB2,PSMB2-13,6147,5681,5610,718,581,501
NUP93,NUP93-1,7016,7408,6681,1458,1159,966
COPZ1,COPZ1-18,8810,8143,7575,1823,1830,1584
RPS8,RPS8-7,5497,5412,5278,559,425,441
PSMC1,PSMC1-8,6901,6497,6757,1147,1185,926
PSMD6,PSMD6-7,5848,6029,5503,667,662,687
COPA,COPA-8,5201,5356,5168,429,521,389
RPL18A,RPL18A-6,5722,5505,5266,751,493,489
RPL5,RPL5-5,6541,6741,6108,1157,1026,915
POLR2F,POLR2F-2,6739,6738,6322,1007,1244,1078
PSMB3,PSMB3-9,5500,5661,5302,748,560,507
POLR2D,POLR2D-9,4953,5313,4639,391,333,392
PSMB2,PSMB2-2,4736,4436,4234,211,160,143
PSMA3,PSMA3-6,5379,5443,5266,740,567,413
RPL34,RPL34-1,5360,5422,5091,676,466,489
PSMB2,PSMB2-10,5370,5465,5093,594,559,537
RPS24,RPS24-7,7386,7327,6849,1378,1776,1248
NUP93,NUP93-2,4958,4926,4368,395,305,331
PSMC4,PSMC4-5,11079,11107,9956,3824,3528,3062
RPL27,RPL27-10,4932,5059,4388,484,476,380
RPL36,RPL36-1,5016,4664,4630,554,433,417
RPL9,RPL9-3,5169,5505,5216,751,720,691
RPS19,RPS19-2,5824,5770,5303,1008,889,758
PSMC2,PSMC2-14,6066,6156,6011,1248,1019,1034
NUP54,NUP54-18,4601,4713,4444,452,383,402
PSMB2,PSMB2-12,4274,4437,3695,234,278,160
COPS4,COPS4-9,7621,7418,6871,1722,1890,1532
RPS11,RPS11-1,4679,4675,4398,504,490,317
POLR2F,POLR2F-1,9484,9248,8730,3304,2489,2587
NUP133,NUP133-7,4999,5221,4750,705,617,678
RPL11,RPL11-8,3862,3744,3454,120,88,153
PSMB2,PSMB2-3,4556,4789,4369,542,596,431
RPL35A,RPL35A-5,5771,5527,5313,1012,969,923
RPS13,RPS13-9,4933,5038,4492,644,622,660
PSMD6,PSMD6-18,5441,5539,5084,847,968,871
PSMD6,PSMD6-4,5320,5069,5261,1016,833,712
RPL35A,RPL35A-4,3838,3636,3665,128,250,188
RPS19,RPS19-8,5709,5417,5271,1020,982,905
POLR2D,POLR2D-2,4758,4700,4723,767,631,524
RPS13,RPS13-8,5355,5074,5148,943,734,896
COPZ1,COPZ1-17,8310,8421,7840,2460,2591,2159
RPS8,RPS8-4,3839,3842,3760,289,237,255
RPL35A,RPL35A-1,3912,3966,3729,367,244,275
PSMD11,PSMD11-5,4154,4159,3757,530,339,250
RPL18A,RPL18A-8,4818,4688,4599,706,737,553
PSMD11,PSMD11-9,5666,5740,5743,1352,1180,998
POLR2A,POLR2A-2,3936,3464,3570,289,254,197
POLR2D,POLR2D-4,6525,6443,5871,1538,1548,1388
COPS4,COPS4-6,6354,6447,5916,1450,1593,1388
RPL34,RPL34-5,4228,4103,3957,470,485,386
RPL11,RPL11-7,7182,7149,6468,1869,1884,1789
NUP54,NUP54-19,4890,5009,4848,843,887,764
RPL9,RPL9-7,3684,3851,3748,350,296,297
RPL3,RPL3-11,5660,5864,5082,1257,1150,1093
RPS3A,RPS3A-1,4176,4048,3919,417,771,320
RPS24,RPS24-5,5036,4900,4454,922,926,671
COPZ1,COPZ1-11,4794,5144,4722,1126,862,725
RPL30,RPL30-8,4686,4364,4246,677,657,774
POLA1,POLA1-3,3556,3517,3416,266,374,234
RPL36,RPL36-5,5559,5562,5547,1393,1232,1195
RPS19,RPS19-3,3308,3289,2905,144,147,177
RPL18A,RPL18A-7,3971,3956,3796,465,543,435
RPL11,RPL11-9,3798,3691,3410,295,424,366
COPB1,COPB1-6,7530,7494,6573,2371,2137,1954
NUP93,NUP93-10,3617,3638,3439,342,257,416
RPL9,RPL9-6,3253,3014,3047,218,117,129
PSMC1,PSMC1-4,5122,5176,4682,955,1192,940
RPS13,RPS13-2,5264,5081,4752,1169,949,1029
RPS9,RPS9-8,3999,4025,3570,526,487,459
NUP98,NUP98-12,5197,5442,4744,1246,962,1108
COPS2,COPS2-4,6980,7106,6220,2051,2038,1870
COPS4,COPS4-4,5082,5061,4752,1139,1035,986
PSMC2,PSMC2-2,4406,4305,4063,653,672,828
RPS8,RPS8-5,4530,4117,4183,744,593,887
COPS4,COPS4-7,3754,3624,3306,362,432,417
RPL6,RPL6-2,11049,11318,10724,5242,4467,3996
POLR2F,POLR2F-9,5993,5795,5106,1592,1421,1267
RPS9,RPS9-4,3495,3530,3181,389,349,294
RPS13,RPS13-7,3417,3521,3068,442,241,292
RPS13,RPS13-6,4751,5036,5072,1153,1007,1110
PSMD7,PSMD7-5,5524,5481,5114,1358,1219,1350
PSMC2,PSMC2-11,5306,4883,5070,1246,1136,1119
PSMC4,PSMC4-2,5015,4750,4424,962,1125,910
PSMC4,PSMC4-3,3589,3506,3536,467,409,426
PSMB2,PSMB2-5,4481,4290,4095,854,862,661
PSMB2,PSMB2-18,4055,3873,3893,560,651,658
POLA1,POLA1-5,5547,5520,5431,1568,1319,1343
PSMD6,PSMD6-1,4560,4456,3951,882,762,774
RPL30,RPL30-1,3808,3663,3049,383,422,471
PSMB2,PSMB2-4,3257,3303,2963,299,366,222
POLR2F,POLR2F-3,4031,4026,3774,674,718,557
PSMD7,PSMD7-7,3279,3302,2870,310,359,216
PSMC2,PSMC2-7,4160,4206,3885,775,752,637
RPL27,RPL27-2,4201,3697,3632,564,657,590
POLR2F,POLR2F-5,4300,4243,4105,765,806,784
RPS13,RPS13-5,4824,4892,4515,1117,1184,868
RPS9,RPS9-2,3041,3239,2954,278,281,242
COPB1,COPB1-1,4013,4391,4040,784,748,756
RPL34,RPL34-7,3610,3942,3911,645,554,644
POLR2D,POLR2D-1,4303,4316,3684,837,820,636
COPS2,COPS2-9,4207,4315,3692,733,850,671
NUP133,NUP133-6,3690,3721,3464,590,530,551
RPL35A,RPL35A-6,3009,2965,3028,252,325,258
PSMB2,PSMB2-15,3569,3500,3415,608,558,396
PSMD7,PSMD7-1,3925,3977,3677,725,677,690
COPS8,COPS8-10,4668,4430,4152,1034,1110,806
PSMD6,PSMD6-5,3549,3310,3193,544,531,344
COPS6,COPS6-8,4886,4887,4546,1428,963,1159
NUP98,NUP98-2,3771,3890,3365,462,678,755
RPS3A,RPS3A-4,5540,5982,5404,1764,1694,1462
COPS4,COPS4-1,3329,3249,2915,446,457,283
