group_id	items_in_group	lo_value	p	FDR	goodsgrna
PSMD6	19	4.6875e-08	5.9139e-07	0.000055	18
PSMB2	24	2.1985e-07	2.8494e-06	0.000132	21
NUP98	16	8.5925e-06	1.0822e-04	0.003344	16
RPS13	10	1.5990e-05	1.4382e-04	0.003344	10
PSMD11	10	3.0281e-05	2.5908e-04	0.004414	10
PSMC4	10	3.5048e-05	2.9785e-04	0.004414	10
RPS19	10	3.9083e-05	3.3220e-04	0.004414	10
RPL11	10	6.3844e-05	5.3193e-04	0.005705	10
PSMD7	10	8.0776e-05	6.6747e-04	0.006207	10
RPL35A	7	9.0378e-05	5.5209e-04	0.005705	5
COPS4	10	1.2813e-04	1.0500e-03	0.008877	9
COPB1	10	1.5343e-04	1.2432e-03	0.009634	9
RPL18A	8	2.0537e-04	1.4070e-03	0.010066	8
NUP205	10	2.2828e-04	1.8207e-03	0.010705	10
COPA	10	2.3458e-04	1.8700e-03	0.010705	9
RPS8	10	2.4660e-04	1.9568e-03	0.010705	9
RPL34	7	2.7271e-04	1.6580e-03	0.010705	6
POLR2D	10	2.8620e-04	2.2572e-03	0.011662	10
POLR2A	10	3.3635e-04	2.6476e-03	0.012959	9
POLR2F	10	4.0027e-04	3.1348e-03	0.014577	10
RPL3	11	4.4412e-04	3.6828e-03	0.016309	10
NUP54	11	4.6638e-04	3.8581e-03	0.016309	11
PSMC2	14	6.3394e-04	5.5992e-03	0.022640	11
NUP133	10	8.1211e-04	6.1370e-03	0.023781	8
RPS9	10	1.1133e-03	8.1296e-03	0.030242	7
NUP93	11	1.2435e-03	9.1151e-03	0.032604	10
COPS6	10	1.5738e-03	1.0922e-02	0.037620	9
RPL36	10	1.7953e-03	1.2244e-02	0.039264	9
RPL9	10	1.9857e-03	1.3379e-02	0.041475	9
PSMC1	10	2.4201e-03	1.5905e-02	0.047715	9
RPS3A	6	2.4356e-03	1.2070e-02	0.039264	6
POLA1	10	4.5940e-03	2.8044e-02	0.081504	9
PSMD1	12	4.9054e-03	3.1904e-02	0.089910	10
COPZ1	16	8.7699e-03	5.8577e-02	0.155647	12
RPS27	5	1.0798e-02	4.2438e-02	0.116080	5
RPS11	10	1.4956e-02	7.6306e-02	0.197125	8
COPS8	16	3.7718e-02	1.8554e-01	0.438160	12
COPS2	10	3.9771e-02	1.6578e-01	0.416687	8
PSMA3	10	4.5346e-02	1.8403e-01	0.438160	8
RPL5	10	4.8193e-02	1.9317e-01	0.438160	7
PSMB3	10	5.4056e-02	2.1140e-01	0.468089	7
RPL6	2	1.1262e-01	1.8957e-01	0.438160	2
RPS24	13	2.2670e-01	5.6571e-01	0.999928	8
RPL30	10	2.4885e-01	5.6292e-01	0.999928	6
RPL27	10	2.7449e-01	5.9421e-01	0.999928	6
RPS7	8	4.2798e-01	7.1767e-01	0.999928	4
IL1F10	10	7.5981e-01	9.2822e-01	0.999928	4
OR9Q2	10	8.9217e-01	9.7112e-01	0.999928	3
LUZP4	10	9.2069e-01	9.7905e-01	0.999928	3
OC90	10	9.2262e-01	9.7962e-01	0.999928	3
HTR3D	10	9.2909e-01	9.8154e-01	0.999928	3
DMRTB1	10	9.3173e-01	9.8233e-01	0.999928	3
FCRL4	10	9.3597e-01	9.8363e-01	0.999928	3
RPTN	10	9.3841e-01	9.8439e-01	0.999928	3
MRGPRD	10	9.6919e-01	9.9079e-01	0.999928	2
KRT25	10	9.7051e-01	9.9107e-01	0.999928	2
LHX5	10	9.7605e-01	9.9235e-01	0.999928	2
PIWIL3	10	9.7676e-01	9.9252e-01	0.999928	2
NPSR1	10	9.7780e-01	9.9278e-01	0.999928	2
LYZL6	10	9.7814e-01	9.9287e-01	0.999928	2
NPHS2	10	9.8038e-01	9.9348e-01	0.999928	2
DMRTC2	10	9.8128e-01	9.9372e-01	0.999928	2
CYP7A1	10	9.8453e-01	9.9469e-01	0.999928	2
RXFP2	10	9.8850e-01	9.9607e-01	0.999928	2
RNASE9	11	9.9165e-01	9.9734e-01	0.999928	2
CRYGB	10	9.9528e-01	9.9735e-01	0.999928	1
TPH2	10	9.9536e-01	9.9737e-01	0.999928	1
IL22	10	9.9591e-01	9.9751e-01	0.999928	1
SPATA16	10	9.9671e-01	9.9776e-01	0.999928	1
OTUD6A	10	9.9677e-01	9.9777e-01	0.999928	1
MAGEB3	10	9.9803e-01	9.9831e-01	0.999928	1
KRT77	10	9.9838e-01	9.9852e-01	0.999928	1
CABP5	10	9.9850e-01	9.9860e-01	0.999928	1
PLA2G2E	10	9.9870e-01	9.9875e-01	0.999928	1
ADH7	10	9.9878e-01	9.9881e-01	0.999928	1
OLIG2	10	9.9887e-01	9.9889e-01	0.999928	1
TAAR1	10	9.9892e-01	9.9893e-01	0.999928	1
NLRP5	10	9.9896e-01	9.9897e-01	0.999928	1
KRT9	10	9.9906e-01	9.9907e-01	0.999928	0
TAS2R9	10	9.9910e-01	9.9911e-01	0.999928	0
DEFB129	10	9.9912e-01	9.9913e-01	0.999928	0
TRIM42	10	9.9924e-01	9.9925e-01	0.999928	0
VN1R2	10	9.9936e-01	9.9937e-01	0.999928	0
KRT74	10	9.9940e-01	9.9940e-01	0.999928	0
TAS2R13	10	9.9943e-01	9.9943e-01	0.999928	0
OR52E8	10	9.9944e-01	9.9944e-01	0.999928	0
SAGE1	10	9.9951e-01	9.9951e-01	0.999928	0
POU4F2	10	9.9961e-01	9.9961e-01	0.999928	0
FAM71B	10	9.9973e-01	9.9973e-01	0.999928	0
OR12D2	10	9.9974e-01	9.9974e-01	0.999928	0
ABCG8	10	9.9977e-01	9.9976e-01	0.999928	0
TAAR8	10	9.9986e-01	9.9985e-01	0.999928	0
TGM6	14	9.9993e-01	9.9993e-01	0.999928	1
