sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
RPS19-10	RPS19	9441.5/9125.2/9289	1014.3/1231.2/1045.5	9289	1045.5	-3.1501	25048	47968	37.639	2.5203e-310	1	5.0405e-310	4.844e-307	False
NUP93-4	NUP93	8414.8/8032.2/8259	694.35/497.27/666.79	8259	666.79	-3.6287	37860	42024	37.035	1.5418e-300	1	3.0836e-300	1.4817e-297	False
PSMD11-2	PSMD11	8725.5/8943/9267.3	1023.4/1241.6/914.68	8943	1023.4	-3.1262	76221	45962	36.941	5.093e-299	1	1.0186e-298	3.2629e-296	False
PSMB3-3	PSMB3	6894.7/6500.1/6785.5	454.15/651.95/456.77	6785.5	456.77	-3.89	46693	33689	34.481	7.7866e-261	1	1.5573e-260	3.7414e-258	False
RPS3A-3	RPS3A	8274.8/8375/8669.8	1277.7/1352.7/1349.6	8375	1349.6	-2.6326	48467	42689	34.002	1.0233e-253	1	2.0467e-253	3.9337e-251	False
POLR2A-5	POLR2A	7115.5/7041/7168.7	652.97/815.98/783.85	7115.5	783.85	-3.1807	4188.8	35537	33.587	1.281e-247	1	2.5619e-247	4.1033e-245	False
RPS8-8	RPS8	6491.3/6507.6/6690.7	679.21/690.36/543.99	6507.6	679.21	-3.2583	16903	32141	32.51	3.8312e-232	1	7.6623e-232	1.0519e-229	False
RPS11-2	RPS11	8758.9/8987.9/8725.1	1917.5/2297.4/1956.7	8758.9	1956.7	-2.1617	26782	44898	32.102	2.0623e-226	1	4.1247e-226	4.9548e-224	False
RPL36-3	RPL36	5553.6/5505.2/5429.6	268.46/286.53/230.68	5505.2	268.46	-4.3529	4029.1	26631	32.09	3.0575e-226	1	6.1149e-226	6.5294e-224	False
RPS13-4	RPS13	5344.9/5181/5067.2	188.73/198.28/224.94	5181	198.28	-4.7006	19915	24875	31.592	2.3411e-219	1	4.6822e-219	4.4996e-217	False
NUP93-7	NUP93	7374.2/7193.3/7240.8	1270.6/1113.9/1496.5	7240.8	1270.6	-2.5097	10029	36241	31.361	3.4916e-216	1	6.9832e-216	6.1008e-214	False
PSMC1-10	PSMC1	6292.8/6266.6/6171.3	869.96/960.28/765.48	6266.6	869.96	-2.8472	4885	30805	30.747	6.6361e-208	1	1.3272e-207	1.0629e-205	False
PSMC1-9	PSMC1	7253.6/7230.6/7001.8	1393.7/1517.8/1357.7	7230.6	1393.7	-2.3743	26450	36184	30.685	4.5539e-207	1	9.1078e-207	6.7328e-205	False
RPS9-10	RPS9	6506.1/6214.2/5981.7	863.9/900.07/883.69	6214.2	883.69	-2.8126	69643	30516	30.514	8.3705e-205	1	1.6741e-204	1.1492e-202	False
PSMC1-6	PSMC1	6955/7082.1/7154.9	1350.4/1360/1343.9	7082.1	1350.4	-2.39	10725	35349	30.486	2.0091e-204	1	4.0183e-204	2.5744e-202	False
RPL11-2	RPL11	6121.2/6392.7/5979.7	1017.3/891.76/868.77	6121.2	891.76	-2.7777	46862	30003	30.191	1.5704e-200	1	3.1409e-200	1.8865e-198	False
RPL5-6	RPL5	6569.2/6739.3/6671	1220.2/1071.4/1189	6671	1189	-2.4872	7512.4	33050	30.155	4.6468e-200	1	9.2937e-200	5.2537e-198	False
PSMB2-13	PSMB2	5701.1/5307.1/5540.2	724.63/603.16/574.97	5540.2	603.16	-3.1972	40099	26821	30.146	6.0898e-200	1	1.218e-199	6.5025e-198	False
COPB1-3	COPB1	5770.6/5717.3/5900.7	561.13/827.4/719.58	5770.6	719.58	-3.0018	9879.1	28078	30.144	6.495e-200	1	1.299e-199	6.5702e-198	False
NUP93-1	NUP93	6507/6920.5/6597.9	1471.5/1203.2/1108.6	6597.9	1203.2	-2.4541	56164	32643	29.859	3.3726e-196	1	6.7452e-196	3.2411e-194	False
PSMB2-1	PSMB2	5802.2/5714.5/5640	614.62/772.38/740.24	5714.5	740.24	-2.9469	6622.3	27771	29.849	4.5564e-196	1	9.1128e-196	4.1702e-194	False
RPS11-10	RPS11	5258.7/5253.9/5236	383.51/580.32/523.33	5253.9	523.33	-3.3251	170.81	25269	29.759	6.5994e-195	1	1.3199e-194	5.7655e-193	False
PSMC1-8	PSMC1	6400.4/6069.4/6672.9	1157.6/1230.2/1062.7	6400.4	1157.6	-2.466	91904	31546	29.518	8.3942e-192	1	1.6788e-191	7.0146e-190	False
COPZ1-18	COPZ1	8170.9/7607.1/7480.8	1839.8/1899.8/1817.9	7607.1	1839.8	-2.0472	1.669e+05	38311	29.465	3.9971e-191	1	7.9942e-191	3.0984e-189	False
COPA-8	COPA	4823.7/5003.5/5103.7	432.96/540.87/446.44	5003.5	446.44	-3.4835	21187	23920	29.465	4.0302e-191	1	8.0604e-191	3.0984e-189	False
RPS8-7	RPS8	5098.2/5055.8/5212.3	564.16/441.21/506.11	5098.2	506.11	-3.3299	7408.8	24429	29.38	4.8777e-190	1	9.7554e-190	3.6057e-188	False
RPL18A-6	RPL18A	5306.9/5142.7/5200.5	757.93/511.8/561.2	5200.5	561.2	-3.2098	7330.9	24980	29.353	1.0952e-189	1	2.1905e-189	7.7966e-188	False
RPS24-7	RPS24	6850.2/6844.8/6763.8	1390.7/1843.7/1432.3	6844.8	1432.3	-2.2559	3297	34020	29.345	1.3793e-189	1	2.7586e-189	9.468e-188	False
PSMB3-9	PSMB3	5101/5288.5/5236	754.91/581.36/581.86	5236	581.86	-3.1675	10490	25172	29.335	1.8729e-189	1	3.7458e-189	1.2413e-187	False
PSMD6-7	PSMD6	5423.8/5632.2/5434.5	673.16/687.25/788.44	5434.5	687.25	-2.9814	19601	26247	29.302	4.8197e-189	1	9.6393e-189	3.0878e-187	False
RPL5-5	RPL5	6066.5/6297.4/6032	1167.7/1065.1/1050.1	6066.5	1065.1	-2.5087	27250	29702	29.02	1.8417e-185	1	3.6835e-185	1.1419e-183	False
PSMA3-6	PSMA3	4988.8/5084.8/5200.5	746.83/588.63/473.98	5084.8	588.63	-3.1086	11301	24357	28.809	8.1992e-183	1	1.6398e-182	4.9246e-181	False
RPL34-1	RPL34	4971.2/5065.2/5027.7	682.24/483.77/561.2	5027.7	561.2	-3.161	2299.9	24050	28.801	1.0369e-182	1	2.0737e-182	6.0389e-181	False
PSMB2-2	PSMB2	4392.4/4144.1/4181.3	212.95/166.1/164.11	4181.3	166.1	-4.6455	22977	19552	28.715	1.2365e-181	1	2.4729e-181	6.9896e-180	False
POLR2F-2	POLR2F	6250.1/6294.6/6243.4	1016.3/1291.4/1237.2	6250.1	1237.2	-2.3359	1010.9	30715	28.604	3.0197e-180	1	6.0394e-180	1.6582e-178	False
NUP93-2	NUP93	4598.3/4601.8/4313.7	398.65/316.63/379.87	4598.3	379.87	-3.594	40525	21755	28.6	3.3141e-180	1	6.6281e-180	1.7693e-178	False
PSMB2-10	PSMB2	4980.4/5105.4/5029.6	599.48/580.32/616.29	5029.6	599.48	-3.0665	4076.7	24060	28.561	1.0327e-179	1	2.0654e-179	5.3644e-178	False
PSMC4-5	PSMC4	10275/10376/9832.2	3859.3/3662.6/3514.1	10275	3662.6	-1.488	1.0327e+05	53741	28.525	2.8591e-179	1	5.7181e-179	1.4461e-177	False
POLR2D-9	POLR2D	4593.7/4963.4/4581.3	394.61/345.7/449.88	4593.7	394.61	-3.5378	68404	21730	28.485	8.9191e-179	1	1.7838e-178	4.3955e-177	False
RPL9-3	RPL9	4794/5142.7/5151.1	757.93/747.46/793.03	5142.7	757.93	-2.7608	60831	24669	27.917	8.2042e-172	1	1.6408e-171	3.9421e-170	False
COPS4-9	COPS4	7068.2/6929.8/6785.5	1737.9/1962.1/1758.2	6929.8	1758.2	-1.9781	19978	34496	27.845	6.1995e-171	1	1.2399e-170	2.9062e-169	False
RPL36-1	RPL36	4652.1/4357.1/4572.4	559.11/449.52/478.57	4572.4	478.57	-3.2535	26362	21617	27.844	6.4027e-171	1	1.2805e-170	2.93e-169	False
RPL27-10	RPL27	4574.2/4726.1/4333.4	488.47/494.16/436.11	4574.2	488.47	-3.2246	40524	21627	27.783	3.5159e-170	1	7.0318e-170	1.5715e-168	False
RPS19-2	RPS19	5401.5/5390.3/5237	1017.3/922.91/869.92	5390.3	922.91	-2.5448	11807	26007	27.702	3.3282e-169	1	6.6564e-169	1.4538e-167	False
PSMB2-12	PSMB2	3964/4145/3649	236.16/288.6/183.62	3964	236.16	-4.0634	65978	18415	27.47	1.9777e-166	1	3.9553e-166	8.4468e-165	False
NUP54-18	NUP54	4267.2/4402.8/4388.7	456.17/397.61/461.36	4388.7	456.17	-3.2633	7479.3	20645	27.37	3.143e-165	1	6.2861e-165	1.3132e-163	False
PSMC2-14	PSMC2	5626/5750.9/5936.2	1259.5/1057.9/1186.7	5750.9	1186.7	-2.2759	24979	27970	27.291	2.7275e-164	1	5.455e-164	1.1154e-162	False
POLR2F-1	POLR2F	8796/8639.4/8621.4	3334.5/2583.9/2969	8639.4	2969	-1.5406	12423	44209	26.969	1.7212e-160	1	3.4425e-160	6.8921e-159	False
RPS11-1	RPS11	4339.6/4367.3/4343.3	508.65/508.69/363.81	4343.3	508.65	-3.0915	296.31	20405	26.845	4.863e-159	1	9.7261e-159	1.9075e-157	False
RPL11-8	RPL11	3581.8/3497.6/3411	121.11/91.356/175.59	3497.6	121.11	-4.8406	7295.2	16002	26.692	2.9036e-157	1	5.8072e-157	1.1161e-155	False
RPS13-9	RPS13	4575.1/4706.5/4436.1	649.94/645.72/757.45	4575.1	649.94	-2.8135	18286	21632	26.688	3.2536e-157	1	6.5072e-157	1.2262e-155	False
NUP133-7	NUP133	4636.4/4877.4/4690.9	711.51/640.53/778.11	4690.9	711.51	-2.7192	18880	22248	26.679	4.084e-157	1	8.1679e-157	1.5095e-155	False
COPZ1-17	COPZ1	7707.2/7866.8/7742.5	2482.7/2689.8/2477.8	7742.5	2482.7	-1.6405	8355.8	39078	26.607	2.8101e-156	1	5.6202e-156	1.0191e-154	False
RPL35A-5	RPL35A	5352.4/5163.3/5246.9	1021.3/1006/1059.3	5246.9	1021.3	-2.3599	9056.5	25231	26.602	3.2029e-156	1	6.4059e-156	1.14e-154	False
PSMD6-4	PSMD6	4934.1/4735.4/5195.6	1025.4/864.77/817.13	4934.1	864.77	-2.511	53918	23547	26.519	2.9595e-155	1	5.919e-155	1.0342e-153	False
PSMB2-3	PSMB2	4225.5/4473.8/4314.7	547/618.73/494.64	4314.7	547	-2.9773	16646	20254	26.474	9.6886e-155	1	1.9377e-154	3.3253e-153	False
RPS19-8	RPS19	5294.9/5060.5/5205.4	1029.4/1019.5/1038.6	5205.4	1029.4	-2.3371	14498	25007	26.408	5.5872e-154	1	1.1174e-153	1.884e-152	False
PSMD11-5	PSMD11	3852.7/3885.3/3710.3	534.89/351.93/286.91	3852.7	351.93	-3.4488	10671	17836	26.213	9.4823e-152	1	1.8965e-151	3.1422e-150	False
RPL35A-4	RPL35A	3559.6/3396.7/3619.4	129.18/259.54/215.76	3559.6	215.76	-4.038	15051	16320	26.175	2.5863e-151	1	5.1727e-151	8.4253e-150	False
