sgrna	symbol	pool	plow	prob	chosen
RPS3A_RPS3A-3	RPS3A	list	-119.04667477093027	1	1
PSMC1_PSMC1-6	PSMC1	list	-101.2984069664624	1	1
PSMB2_PSMB2-10	PSMB2	list	-99.57487797416003	1	1
RPL9_RPL9-3	RPL9	list	-92.80841077849666	1	1
NUP54_NUP54-18	NUP54	list	-91.61526029490989	1	1
RPS8_RPS8-4	RPS8	list	-88.05580277596452	1	1
RPL9_RPL9-7	RPL9	list	-85.31893531390871	1	1
POLR2A_POLR2A-5	POLR2A	list	-82.96805373323762	1	1
NUP54_NUP54-19	NUP54	list	-82.6937928389949	1	1
RPL36_RPL36-3	RPL36	list	-81.08510108241575	1	1
RPS8_RPS8-8	RPS8	list	-78.8852396939158	1	1
PSMC4_PSMC4-3	PSMC4	list	-78.33078895166175	1	1
RPS8_RPS8-7	RPS8	list	-77.3075612074775	1	1
COPA_COPA-8	COPA	list	-77.22018581888742	1	1
RPL34_RPL34-5	RPL34	list	-76.62975774412827	1	1
RPL5_RPL5-6	RPL5	list	-76.26027738594591	1	1
COPS4_COPS4-4	COPS4	list	-74.82927657251913	1	1
RPS19_RPS19-7	RPS19	list	-74.09092010374799	1	1
NUP133_NUP133-6	NUP133	list	-73.6612469548602	1	1
POLR2F_POLR2F-5	POLR2F	list	-73.49148571713795	1	1
RPS13_RPS13-6	RPS13	list	-73.27385995321804	1	1
NUP54_NUP54-11	NUP54	list	-65.92530605756625	1	1
PSMC1_PSMC1-8	PSMC1	list	-65.00313095492918	1	1
RPL18A_RPL18A-7	RPL18A	list	-64.80537622389313	1	1
RPS19_RPS19-10	RPS19	list	-64.65713755926953	1	1
RPL35A_RPL35A-5	RPL35A	list	-63.785409567980295	1	1
PSMB2_PSMB2-6	PSMB2	list	-63.56903524373697	1	1
PSMD7_PSMD7-1	PSMD7	list	-63.172726516137466	1	1
PSMD7_PSMD7-5	PSMD7	list	-63.049304339501774	1	1
RPL35A_RPL35A-1	RPL35A	list	-62.59757078668407	1	1
RPL36_RPL36-5	RPL36	list	-61.81755290376583	1	1
PSMD6_PSMD6-18	PSMD6	list	-61.06423515154317	1	1
PSMD6_PSMD6-7	PSMD6	list	-60.87060031188521	1	1
PSMD11_PSMD11-2	PSMD11	list	-60.83124595719601	1	1
RPL35A_RPL35A-6	RPL35A	list	-60.528395057477454	1	1
NUP98_NUP98-14	NUP98	list	-60.34338677540635	1	1
RPL18A_RPL18A-8	RPL18A	list	-59.27504401551973	1	1
RPL34_RPL34-4	RPL34	list	-59.0218734997933	1	1
RPL34_RPL34-3	RPL34	list	-58.852874064250436	1	1
RPL35A_RPL35A-4	RPL35A	list	-58.19359354292214	1	1
RPS11_RPS11-10	RPS11	list	-57.90051149426192	1	1
PSMA3_PSMA3-11	PSMA3	list	-57.777826005896976	1	1
RPS19_RPS19-8	RPS19	list	-56.877582334120696	1	1
PSMC2_PSMC2-7	PSMC2	list	-56.38364404093305	1	1
NUP93_NUP93-4	NUP93	list	-56.253774852889286	1	1
PSMC1_PSMC1-10	PSMC1	list	-55.82748736406891	1	1
COPB1_COPB1-8	COPB1	list	-55.711032068126826	1	1
PSMB3_PSMB3-9	PSMB3	list	-55.49629269579886	1	1
COPA_COPA-1	COPA	list	-55.17563035517388	1	1
RPS11_RPS11-1	RPS11	list	-55.130931055965426	1	1
POLR2F_POLR2F-3	POLR2F	list	-55.08572984451639	1	1
PSMB2_PSMB2-1	PSMB2	list	-54.74963358919997	1	1
RPL34_RPL34-1	RPL34	list	-54.680900008921526	1	1
RPL3_RPL3-9	RPL3	list	-54.330814387420965	1	1
COPS4_COPS4-6	COPS4	list	-53.869758599631844	1	1
PSMC2_PSMC2-14	PSMC2	list	-53.637611631571595	1	1
RPS13_RPS13-4	RPS13	list	-53.24494723116986	1	1
PSMD1_PSMD1-18	PSMD1	list	-52.784441673599865	1	1
RPL27_RPL27-1	RPL27	list	-52.23932679334287	1	1
NUP205_NUP205-7	NUP205	list	-52.00460420503853	1	1
POLA1_POLA1-3	POLA1	list	-51.12623578218914	1	1
NUP133_NUP133-7	NUP133	list	-50.877632563375634	1	1
POLR2D_POLR2D-2	POLR2D	list	-50.7332895148747	1	1
PSMD6_PSMD6-3	PSMD6	list	-50.27718243332477	1	1
COPB1_COPB1-3	COPB1	list	-48.85897877275935	1	1
