group_id	items_in_group	lo_value	p	FDR	goodsgrna
OR52E8	10	9.3695e-08	4.9920e-06	0.000464	10
FAM71B	10	4.8547e-06	6.4896e-05	0.001973	9
TGM6	14	5.4794e-06	5.4912e-05	0.001973	14
TAAR1	10	1.1252e-05	8.4863e-05	0.001973	10
TAS2R9	10	2.0493e-05	1.3478e-04	0.002454	10
NLRP5	10	2.6281e-05	1.7472e-04	0.002454	10
DEFB129	10	2.7709e-05	1.8470e-04	0.002454	10
PLA2G2E	10	3.5048e-05	2.8454e-04	0.003043	10
KRT77	10	3.7136e-05	2.9453e-04	0.003043	10
VN1R2	10	1.8339e-04	1.2929e-03	0.010794	10
ABCG8	10	1.9261e-04	1.3828e-03	0.010794	10
TAAR8	10	1.9391e-04	1.3928e-03	0.010794	10
MAGEB3	10	2.0724e-04	1.5225e-03	0.010892	10
OR12D2	10	2.5124e-04	1.7522e-03	0.011639	10
POU4F2	10	2.8992e-04	2.0916e-03	0.012968	10
TRIM42	10	3.3310e-04	2.4111e-03	0.014015	10
TAS2R13	10	4.3823e-04	3.1599e-03	0.017287	10
NPSR1	10	5.7007e-04	3.9786e-03	0.020556	9
SAGE1	10	6.3836e-04	4.4778e-03	0.021918	10
FCRL4	10	6.8118e-04	4.7573e-03	0.021953	10
KRT9	10	7.1115e-04	4.9570e-03	0.021953	10
CYP7A1	10	7.4230e-04	5.2366e-03	0.022136	10
SPATA16	10	8.2563e-04	5.9155e-03	0.023919	10
LHX5	10	1.1471e-03	7.8623e-03	0.030467	9
LUZP4	10	2.8497e-03	1.7347e-02	0.063656	9
RXFP2	10	2.9392e-03	1.7796e-02	0.063656	9
NPHS2	10	3.7338e-03	2.2129e-02	0.076223	8
ADH7	10	4.2529e-03	2.4765e-02	0.082256	9
CRYGB	10	4.4225e-03	2.5724e-02	0.082493	9
IL22	10	4.9584e-03	2.8629e-02	0.088750	9
RNASE9	11	5.5323e-03	3.4180e-02	0.096325	10
OLIG2	10	5.7627e-03	3.3162e-02	0.096325	9
CABP5	10	5.8707e-03	3.3811e-02	0.096325	9
RPTN	10	6.6768e-03	3.7714e-02	0.103160	9
TPH2	10	7.8518e-03	4.3794e-02	0.116368	9
OC90	10	9.8603e-03	5.4338e-02	0.140372	9
PIWIL3	10	3.0051e-02	1.3187e-01	0.331464	8
KRT74	10	3.1921e-02	1.3841e-01	0.338746	8
KRT25	10	3.5586e-02	1.5102e-01	0.353563	7
OTUD6A	10	3.5829e-02	1.5207e-01	0.353563	7
OR9Q2	10	4.5241e-02	1.8392e-01	0.417182	7
DMRTC2	10	4.7089e-02	1.8974e-01	0.420138	8
COPS8	16	1.1782e-01	4.0154e-01	0.868444	3
HTR3D	10	1.5448e-01	4.2812e-01	0.892407	7
RPL27	10	1.5626e-01	4.3181e-01	0.892407	4
DMRTB1	10	1.6513e-01	4.4795e-01	0.905646	7
NUP133	10	1.9396e-01	4.8948e-01	0.968539	2
RPS9	10	2.4541e-01	5.5654e-01	0.999995	3
MRGPRD	10	3.0765e-01	6.3185e-01	0.999995	6
RPS7	8	3.2161e-01	6.2019e-01	0.999995	4
COPA	10	4.5443e-01	7.6182e-01	0.999995	1
POLR2A	10	4.6043e-01	7.6613e-01	0.999995	1
COPZ1	16	5.2114e-01	8.5303e-01	0.999995	4
PSMD1	12	5.8269e-01	8.6498e-01	0.999995	2
RPL30	10	7.0521e-01	9.0440e-01	0.999995	2
LYZL6	10	7.1207e-01	9.0745e-01	0.999995	4
PSMB3	10	7.2983e-01	9.1466e-01	0.999995	2
RPL36	10	8.3304e-01	9.5484e-01	0.999995	1
