group_id	items_in_group	lo_value	p	FDR	goodsgrna
PSMD6	19	1.1993e-07	4.9920e-06	0.000232	18
PSMB2	24	1.7044e-06	4.9920e-06	0.000232	21
NUP98	16	2.3518e-06	2.4960e-05	0.000774	16
RPS13	10	1.8116e-05	1.3478e-04	0.003134	10
PSMC4	10	3.4043e-05	2.5459e-04	0.004720	10
PSMD11	10	3.8222e-05	3.0451e-04	0.004720	10
PSMC1	10	5.6349e-05	4.1433e-04	0.004817	9
RPL3	11	5.8982e-05	3.9437e-04	0.004817	11
RPL11	10	6.8729e-05	5.4412e-04	0.005623	10
COPB1	10	1.0014e-04	7.4380e-04	0.006289	9
PSMD7	10	1.0243e-04	7.4380e-04	0.006289	10
COPS4	10	1.2430e-04	9.0355e-04	0.006607	9
POLR2F	10	1.3250e-04	9.2351e-04	0.006607	10
RPS19	10	1.4660e-04	1.0234e-03	0.006778	10
RPL18A	8	1.7753e-04	1.0932e-03	0.006778	8
NUP205	10	1.9738e-04	1.4127e-03	0.008211	10
COPA	10	2.5929e-04	1.8021e-03	0.009620	9
POLR2D	10	2.6348e-04	1.8620e-03	0.009620	10
RPS8	10	3.2546e-04	2.3013e-03	0.011264	10
POLR2A	10	4.8931e-04	3.4794e-03	0.015939	9
NUP93	11	4.9853e-04	3.5992e-03	0.015939	9
NUP54	11	1.0303e-03	7.1635e-03	0.030282	10
PSMC2	14	1.1180e-03	9.0604e-03	0.036636	11
RPL36	10	2.3084e-03	1.4142e-02	0.052795	9
COPS6	10	2.3207e-03	1.4192e-02	0.052795	9
RPS3A	6	3.0268e-03	1.5490e-02	0.055407	6
POLA1	10	3.2254e-03	1.9044e-02	0.065597	9
COPS8	16	5.0026e-03	3.6526e-02	0.110627	13
RPS11	10	5.3475e-03	3.0726e-02	0.102053	9
RPL35A	7	7.7202e-03	3.6796e-02	0.110627	5
COPZ1	16	8.1778e-03	5.4288e-02	0.144250	12
RPS9	10	8.9913e-03	4.7798e-02	0.138913	7
RPS27	5	9.3534e-03	3.6876e-02	0.110627	5
NUP133	10	1.0453e-02	5.3778e-02	0.144250	8
RPL34	7	1.2001e-02	5.2810e-02	0.144250	6
PSMD1	12	1.4721e-02	7.8129e-02	0.201834	9
RPL5	10	2.2332e-02	1.0236e-01	0.257284	8
RPL9	10	2.8708e-02	1.2597e-01	0.308299	8
RPL30	10	2.9598e-02	1.2929e-01	0.308299	8
PSMB3	10	3.3783e-02	1.4416e-01	0.327525	7
PSMA3	10	3.3849e-02	1.4439e-01	0.327525	6
COPS2	10	8.9094e-02	2.9012e-01	0.627464	6
RPL6	2	1.0239e-01	1.7528e-01	0.388126	2
RPS24	13	1.6509e-01	4.6289e-01	0.978381	8
RPL27	10	3.3110e-01	6.4824e-01	0.999995	5
