id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
PSMD6	19	1.1993e-07	4.992e-06	0.000232	1	18	-1.5578	0.99989	0.99998	0.999995	86	1	-1.5578
PSMB2	24	1.7044e-06	4.992e-06	0.000232	2	21	-2.2965	0.93137	0.99556	0.999995	67	3	-2.2965
NUP98	16	2.3518e-06	2.496e-05	0.000774	3	16	-0.72784	1.0	1.0	0.999995	93	0	-0.72784
RPS13	10	1.8116e-05	0.00013478	0.003134	4	10	-2.1985	0.99998	1.0	0.999995	92	0	-2.1985
PSMC4	10	3.4043e-05	0.00025459	0.00472	5	10	-1.4886	0.99997	0.99995	0.999995	91	0	-1.4886
PSMD11	10	3.8222e-05	0.00030451	0.00472	6	10	-1.6063	0.99996	0.99995	0.999995	90	0	-1.6063
PSMC1	10	5.6349e-05	0.00041433	0.004817	7	9	-1.8612	0.98499	0.99444	0.999995	73	1	-1.8612
RPL3	11	5.8982e-05	0.00039437	0.004817	8	11	-0.6421	0.99994	0.99994	0.999995	89	0	-0.6421
RPL11	10	6.8729e-05	0.00054412	0.005623	9	10	-2.4775	0.99993	0.99992	0.999995	88	0	-2.4775
COPB1	10	0.00010014	0.0007438	0.006289	10	9	-1.7584	0.92914	0.98074	0.999995	66	1	-1.7584
PSMD7	10	0.00010243	0.0007438	0.006289	11	10	-2.0172	0.9999	0.99988	0.999995	87	0	-2.0172
COPS4	10	0.0001243	0.00090355	0.006607	12	9	-1.8794	0.89443	0.97091	0.999995	59	1	-1.8794
POLR2F	10	0.0001325	0.00092351	0.006607	13	10	-1.3613	0.99987	0.99983	0.999995	85	0	-1.3613
RPS19	10	0.0001466	0.0010234	0.006778	14	10	-2.4409	0.99985	0.99982	0.999995	84	0	-2.4409
RPL18A	8	0.00017753	0.0010932	0.006778	15	8	-2.0424	0.99982	0.99977	0.999995	83	0	-2.0424
NUP205	10	0.00019738	0.0014127	0.008211	16	10	-1.2267	0.9998	0.99976	0.999995	82	0	-1.2267
COPA	10	0.00025929	0.0018021	0.00962	17	9	-1.9403	0.45443	0.76182	0.999995	51	1	-1.9403
POLR2D	10	0.00026348	0.001862	0.00962	18	10	-2.3213	0.99974	0.99969	0.999995	81	0	-2.3213
RPS8	10	0.00032546	0.0023013	0.011264	19	10	-2.3634	0.99967	0.99959	0.999995	80	0	-2.3634
POLR2A	10	0.00048931	0.0034794	0.015939	20	9	-1.4853	0.46043	0.76613	0.999995	52	1	-1.4853
NUP93	11	0.00049853	0.0035992	0.015939	21	9	-2.2085	0.99944	0.99949	0.999995	78	1	-2.2085
NUP54	11	0.0010303	0.0071635	0.030282	22	10	-1.0139	0.99966	0.99971	0.999995	79	0	-1.0139
PSMC2	14	0.001118	0.0090604	0.036636	23	11	-1.4265	0.92391	0.98742	0.999995	65	3	-1.4265
RPL36	10	0.0023084	0.014142	0.052795	24	9	-1.7683	0.83304	0.95484	0.999995	58	1	-1.7683
