sgrna	symbol	pool	p.high	prob	chosen
IL22-4	IL22	list	-22.6239104488692	1	1
MAGEB3-4	MAGEB3	list	-17.082097108318816	1	1
DEFB129-4	DEFB129	list	-16.956621736279637	1	1
OTUD6A-7	OTUD6A	list	-16.342275378982894	1	1
NPHS2-8	NPHS2	list	-15.754500846727318	1	1
DEFB129-8	DEFB129	list	-15.388551916005785	1	1
NLRP5-5	NLRP5	list	-15.362310807708164	1	1
COPS8-7	COPS8	list	-14.556362767600309	1	1
FAM71B-10	FAM71B	list	-14.211459597601747	1	1
TRIM42-10	TRIM42	list	-13.732510898549874	1	1
NLRP5-4	NLRP5	list	-13.24714960321805	1	1
ADH7-10	ADH7	list	-12.982696665251646	1	1
CYP7A1-7	CYP7A1	list	-12.849434206731054	1	1
NLRP5-6	NLRP5	list	-12.83132630173057	1	1
SPATA16-7	SPATA16	list	-12.676612706737943	1	1
SAGE1-2	SAGE1	list	-12.514532737343366	1	1
LHX5-2	LHX5	list	-12.483648972777356	1	1
OR52E8-7	OR52E8	list	-12.35265476834501	1	1
NLRP5-1	NLRP5	list	-12.15426617351498	1	1
PLA2G2E-1	PLA2G2E	list	-12.109590359152547	1	1
NUP133-9	NUP133	list	-12.054066835896075	1	1
FAM71B-8	FAM71B	list	-12.009618426218466	1	1
DMRTB1-2	DMRTB1	list	-11.992279307726552	1	1
TAAR1-2	TAAR1	list	-11.981158885090638	1	1
CABP5-8	CABP5	list	-11.907293947992505	1	1
TRIM42-4	TRIM42	list	-11.86109213104714	1	1
RPL27-4	RPL27	list	-11.619001695324696	1	1
TAAR8-7	TAAR8	list	-11.288744357690073	1	1
DEFB129-3	DEFB129	list	-11.1226922335356	1	1
FAM71B-3	FAM71B	list	-11.078712378646397	1	1
POU4F2-8	POU4F2	list	-11.077744565435369	1	1
MAGEB3-2	MAGEB3	list	-11.041293407865313	1	1
OR52E8-8	OR52E8	list	-10.831473330514505	1	1
KRT9-3	KRT9	list	-10.763610947277428	1	1
RPS9-1	RPS9	list	-10.762582150194095	1	1
TAS2R9-10	TAS2R9	list	-10.752730829702047	1	1
RNASE9-6	RNASE9	list	-10.739084895035761	1	1
OR52E8-10	OR52E8	list	-10.707713486444492	1	1
FAM71B-6	FAM71B	list	-10.680348513720068	1	1
MAGEB3-5	MAGEB3	list	-10.640147179878303	1	1
TAS2R13-8	TAS2R13	list	-10.632230252617699	1	1
RXFP2-8	RXFP2	list	-10.60007807855582	1	1
TGM6-2	TGM6	list	-10.480696848544431	1	1
OR52E8-4	OR52E8	list	-10.478831203418908	1	1
LUZP4-8	LUZP4	list	-10.416874748249212	1	1
RPS7-5	RPS7	list	-10.382827919789435	1	1
OC90-10	OC90	list	-10.289690482462964	1	1
LHX5-10	LHX5	list	-10.283997010430895	1	1
TGM6-7	TGM6	list	-10.268999252587435	1	1
TAAR1-8	TAAR1	list	-10.257786581748741	1	1
FAM71B-5	FAM71B	list	-10.229400101954797	1	1
TAAR1-7	TAAR1	list	-10.205031289909927	1	1
RPTN-1	RPTN	list	-10.20121657062134	1	1
CYP7A1-9	CYP7A1	list	-10.125636524223964	1	1
TAAR8-9	TAAR8	list	-10.09814236843127	1	1
TGM6-3	TGM6	list	-10.093096842533775	1	1
COPA-5	COPA	list	-10.085037090558977	1	1
POLR2A-6	POLR2A	list	-10.070729586232837	1	1
OR52E8-9	OR52E8	list	-10.055783170392417	1	1
ABCG8-6	ABCG8	list	-10.021488677985023	1	1
NPSR1-1	NPSR1	list	-9.93648354136967	1	1
OR52E8-6	OR52E8	list	-9.904838866066534	1	1
CABP5-1	CABP5	list	-9.842532673713862	1	1
KRT74-3	KRT74	list	-9.81951413044898	1	1
TAS2R9-6	TAS2R9	list	-9.768757415803396	1	1
VN1R2-10	VN1R2	list	-9.763257534034894	1	1
RXFP2-9	RXFP2	list	-9.757933638597931	1	1
PSMD1-15	PSMD1	list	-9.738704330726058	1	1
RPL27-6	RPL27	list	-9.655392340971249	1	1
TGM6-12	TGM6	list	-9.610169698356774	1	1
POU4F2-7	POU4F2	list	-9.502545281706265	1	1
FAM71B-1	FAM71B	list	-9.49472239594372	1	1
SAGE1-6	SAGE1	list	-9.463980087329954	1	1
OLIG2-1	OLIG2	list	-9.428579136377067	1	1
TAS2R13-9	TAS2R13	list	-9.37379647224903	1	1
SAGE1-5	SAGE1	list	-9.35121080226565	1	1
NPSR1-9	NPSR1	list	-9.290980392563876	1	1
OR52E8-2	OR52E8	list	-9.236190173411037	1	1
POU4F2-5	POU4F2	list	-9.179948157088571	1	1
NPHS2-7	NPHS2	list	-9.120690626056579	1	1
NPSR1-4	NPSR1	list	-8.968182620023871	1	1
TAS2R13-10	TAS2R13	list	-8.952298264330857	1	1
NLRP5-8	NLRP5	list	-8.948135201749283	1	1
CRYGB-10	CRYGB	list	-8.940901649807806	1	1
CABP5-6	CABP5	list	-8.82678995624321	1	1
TAS2R9-7	TAS2R9	list	-8.800355919234498	1	1
TAS2R13-2	TAS2R13	list	-8.79627578987147	1	1
FAM71B-2	FAM71B	list	-8.786939351854196	1	1
TGM6-1	TGM6	list	-8.786754769211344	1	1
POU4F2-3	POU4F2	list	-8.749506075132603	1	1
ADH7-9	ADH7	list	-8.748285238615605	1	1
RPS9-9	RPS9	list	-8.722184506343009	1	1
ABCG8-2	ABCG8	list	-8.683920190138139	1	1
TAAR1-9	TAAR1	list	-8.683839722435673	1	1
TAS2R9-4	TAS2R9	list	-8.644670222018583	1	1
VN1R2-4	VN1R2	list	-8.642050999925008	1	1
COPZ1-16	COPZ1	list	-8.640724217209609	1	1
KRT77-7	KRT77	list	-8.63600846104776	1	1
SPATA16-9	SPATA16	list	-8.630159208115094	1	1
ADH7-5	ADH7	list	-8.622696093271818	1	1
SAGE1-8	SAGE1	list	-8.618981947394575	1	1
PSMB2-7	PSMB2	list	-8.61430870838964	1	1
COPZ1-6	COPZ1	list	-8.600574824804358	1	1
MAGEB3-8	MAGEB3	list	-8.541164691001105	1	1
POU4F2-2	POU4F2	list	-8.44986411886614	1	1
OLIG2-4	OLIG2	list	-8.422763159230298	1	1
CRYGB-5	CRYGB	list	-8.38919771256158	1	1
NLRP5-10	NLRP5	list	-8.384394361893458	1	1
POU4F2-4	POU4F2	list	-8.367575024962331	1	1
SAGE1-4	SAGE1	list	-8.361870491568878	1	1
RPL30-6	RPL30	list	-8.355752329365238	1	1
