sgrna	symbol	pool	prob	chosen
ABCG8_ABCG8-1	ABCG8	list	1	1
ABCG8_ABCG8-10	ABCG8	list	1	1
ABCG8_ABCG8-2	ABCG8	list	1	1
ABCG8_ABCG8-3	ABCG8	list	1	1
ABCG8_ABCG8-4	ABCG8	list	1	1
ABCG8_ABCG8-5	ABCG8	list	1	1
ABCG8_ABCG8-6	ABCG8	list	1	1
ABCG8_ABCG8-7	ABCG8	list	1	1
ABCG8_ABCG8-8	ABCG8	list	1	1
ABCG8_ABCG8-9	ABCG8	list	1	1
ADH7_ADH7-1	ADH7	list	1	1
ADH7_ADH7-10	ADH7	list	1	1
ADH7_ADH7-2	ADH7	list	1	1
ADH7_ADH7-3	ADH7	list	1	1
ADH7_ADH7-4	ADH7	list	1	1
ADH7_ADH7-5	ADH7	list	1	1
ADH7_ADH7-6	ADH7	list	1	1
ADH7_ADH7-7	ADH7	list	1	1
ADH7_ADH7-8	ADH7	list	1	1
ADH7_ADH7-9	ADH7	list	1	1
CABP5_CABP5-1	CABP5	list	1	1
CABP5_CABP5-10	CABP5	list	1	1
CABP5_CABP5-2	CABP5	list	1	1
CABP5_CABP5-3	CABP5	list	1	1
CABP5_CABP5-4	CABP5	list	1	1
CABP5_CABP5-5	CABP5	list	1	1
CABP5_CABP5-6	CABP5	list	1	1
CABP5_CABP5-7	CABP5	list	1	1
CABP5_CABP5-8	CABP5	list	1	1
CABP5_CABP5-9	CABP5	list	1	1
COPA_COPA-1	COPA	list	1	1
COPA_COPA-10	COPA	list	1	1
COPA_COPA-2	COPA	list	1	1
COPA_COPA-3	COPA	list	1	1
COPA_COPA-4	COPA	list	1	1
COPA_COPA-5	COPA	list	1	1
COPA_COPA-6	COPA	list	1	1
COPA_COPA-7	COPA	list	1	1
COPA_COPA-8	COPA	list	1	1
COPA_COPA-9	COPA	list	1	1
COPB1_COPB1-1	COPB1	list	1	1
COPB1_COPB1-10	COPB1	list	1	1
COPB1_COPB1-2	COPB1	list	1	1
COPB1_COPB1-3	COPB1	list	1	1
COPB1_COPB1-4	COPB1	list	1	1
COPB1_COPB1-5	COPB1	list	1	1
COPB1_COPB1-6	COPB1	list	1	1
COPB1_COPB1-7	COPB1	list	1	1
COPB1_COPB1-8	COPB1	list	1	1
COPB1_COPB1-9	COPB1	list	1	1
COPS2_COPS2-1	COPS2	list	1	1
COPS2_COPS2-10	COPS2	list	1	1
