gene,sgRNA,B1,B2,B3,A1,A2,A3
RPS24,RPS24-5,6458,7107,6600,1113,1113,1043
RPL11,RPL11-5,7185,7512,6669,1021,974,970
PSMA3,PSMA3-5,5751,6083,5148,1033,840,1060
PSMA3,PSMA3-3,6489,6535,5869,1002,994,1090
RPL34,RPL34-28,5817,6057,5211,450,394,275
RPS8,RPS8-20,7105,7557,6537,1446,1368,1676
RPL30,RPL30-17,7378,6889,6674,1292,1612,1205
COPZ1,COPZ1-5,6982,7810,6600,1789,1694,1695
POLR2D,POLR2D-2,7802,8130,6922,2088,2400,1840
COPZ1,COPZ1-11,5816,6469,5677,1071,985,1172
PSMC2,PSMC2-6,6555,6843,5831,1375,1232,1408
RPS7,RPS7-11,5901,6149,5219,1205,1293,1070
RPL30,RPL30-1,5264,5698,5151,936,980,899
POLR2D,POLR2D-7,4894,5601,5228,648,517,638
RPS24,RPS24-20,7064,7249,6752,2996,2032,1980
PSMD1,PSMD1-9,5451,5677,5015,959,826,856
PSMD1,PSMD1-1,6480,6880,5973,2572,2606,2680
RPS8,RPS8-11,5663,6173,5748,1547,1369,1394
RPL34,RPL34-15,5291,6156,5096,1094,1426,1229
RPL11,RPL11-2,5905,5815,5174,960,818,867
POLA1,POLA1-22,6249,6981,5813,1544,1877,1764
RPL6,RPL6-18,4096,4857,4296,1037,692,942
PSMD11,PSMD11-6,5513,6159,5215,1164,1273,1208
RPL36,RPL36-9,5729,6352,5561,2108,1906,1969
RPL34,RPL34-17,3702,3926,3692,397,297,373
NUP205,NUP205-3,4731,5263,4777,638,719,666
RPL6,RPL6-13,4519,4871,4141,979,1195,874
RPL30,RPL30-15,4139,5100,4466,748,745,799
RPL6,RPL6-15,4823,4927,4264,766,898,788
PSMC1,PSMC1-1,4352,4572,3847,559,652,569
RPL36,RPL36-7,5191,5149,4943,1514,1460,1628
PSMD1,PSMD1-24,5022,5490,4776,1164,949,1080
RPS8,RPS8-18,4770,5124,4677,1244,1229,888
RPL36,RPL36-27,3968,3792,3279,377,436,235
RPL11,RPL11-1,4001,4590,3840,618,581,622
COPZ1,COPZ1-19,3591,3881,3379,404,433,428
RPS19,RPS19-8,6797,7424,6407,2678,2434,2798
NUP93,NUP93-12,3485,4149,3734,701,620,535
RPS24,RPS24-7,4770,4997,4297,1145,1045,1200
RPL9,RPL9-1,5470,6287,5506,2048,1853,1625
NUP93,NUP93-5,3984,4150,3729,566,511,445
NUP93,NUP93-9,3310,3203,3098,189,276,278
POLR2A,POLR2A-2,4551,4897,4201,1350,1347,1110
COPB1,COPB1-14,3732,3642,3451,413,572,523
RPS7,RPS7-20,4305,4300,3966,834,684,710
COPZ1,COPZ1-6,3316,3652,3115,635,516,520
POLA1,POLA1-3,4039,4416,4340,840,1020,1001
RPS8,RPS8-13,3323,3510,3142,594,587,597
RPL6,RPL6-2,3689,3382,3480,621,663,477
POLR2A,POLR2A-6,3656,3639,3209,505,475,427
POLR2D,POLR2D-6,3403,3673,3509,615,606,650
POLA1,POLA1-26,5177,5653,5078,1886,1948,1922
RPL11,RPL11-8,3771,4305,3543,1097,1276,1043
POLR2D,POLR2D-12,6117,6149,5821,2469,2511,2427
PSMA3,PSMA3-2,3725,4204,3421,630,850,660
COPZ1,COPZ1-14,3779,4100,3737,1212,1216,1112
PSMD1,PSMD1-7,4642,5317,4518,1680,1476,1412
RPS7,RPS7-14,3444,3560,3318,500,418,494
RPL11,RPL11-7,4330,5168,4485,1704,1362,1828
RPL34,RPL34-25,2874,3022,2431,420,343,364
COPZ1,COPZ1-9,5433,5896,5271,2383,2300,2229
RPS24,RPS24-16,4960,5351,4541,1651,1479,1957
RPL6,RPL6-10,4002,4341,3690,1280,1107,1125
PSMA3,PSMA3-1,4693,4697,4191,1523,1286,1109
RPL5,RPL5-24,4911,5361,4947,2236,2113,2104
PSMC2,PSMC2-1,3947,4872,4325,1157,1590,1204
COPZ1,COPZ1-1,3240,2978,3012,517,649,832
COPZ1,COPZ1-8,6001,6098,5791,3620,3175,2881
RPL11,RPL11-10,2880,3149,2838,348,466,342
NUP93,NUP93-2,2993,3214,2933,378,464,731
PSMD7,PSMD7-25,3999,4610,4016,1557,1401,1333
NUP205,NUP205-4,2208,2709,2395,283,487,406
RPS27,RPS27-6,5230,5260,4389,2267,1937,2173
RPL11,RPL11-9,3758,4161,3430,1023,1110,905
RPL36,RPL36-38,3678,3856,3315,1132,1095,1049
NUP205,NUP205-11,3614,3747,2990,1200,1181,952
RPS11,RPS11-8,4113,4802,3919,2211,1879,1936
RPS27,RPS27-1,5340,5738,4685,2591,2498,2420
RPL6,RPL6-3,4333,4749,3783,1686,2007,1652
RPL3,RPL3-13,3234,3536,3295,837,986,925
RPL36,RPL36-26,4973,4834,4428,1991,1650,1818
RPL34,RPL34-13,3479,3784,3181,1078,868,921
RPL27,RPL27-20,3937,3935,3725,1465,1959,1898
