gene,fdr,category
COPA,0.01833168038135599,1
COPB1,7.555682489126463e-11,1
COPS2,1,1
COPS4,2.986391222509553e-4,1
COPS6,1,1
COPS8,1,1
COPZ1,2.7923039733764587e-24,1
NUP133,1.874014038868389e-8,1
NUP205,1.6022893485281821e-10,1
NUP54,1.1607863445809875e-6,1
NUP93,2.679904883157133e-21,1
NUP98,3.2577414246041486e-4,1
POLA1,1.0427883050662187e-17,1
POLR2A,1.5701340406077483e-12,1
POLR2D,2.881289138167005e-18,1
POLR2F,4.368596059369209e-4,1
PSMA3,1.0511924063542902e-18,1
PSMB2,1,1
PSMB3,0.5788055696692793,1
PSMC1,0.10299267457118529,1
PSMC2,1.6922797652310688e-4,1
PSMC4,1,1
PSMD1,3.771187812641983e-22,1
PSMD11,4.8351655059464725e-5,1
PSMD6,9.274850629784192e-6,1
PSMD7,5.547778163952679e-10,1
RPL11,2.7923039733764587e-24,1
RPL18A,0.003658676869804693,1
RPL27,0.1780649426203324,1
RPL3,2.1213186271767855e-5,1
RPL30,1.81339130218393e-5,1
RPL34,1.6422950408473507e-23,1
RPL35A,0.02838125442457948,1
RPL36,1.809274450205942e-14,1
RPL5,2.7739298747584768e-8,1
RPL6,3.502581017002279e-19,1
RPL9,0.0739580885120812,1
RPS11,5.309949180389046e-4,1
RPS13,1,1
RPS19,2.045380289715232e-9,1
RPS24,2.7923039733764587e-24,1
RPS27,8.720476511967047e-6,1
RPS3A,0.6745615892001264,1
RPS7,2.6452233392248505e-18,1
RPS8,1.5295733706674948e-20,1
RPS9,1,1
ABCG8,1,0
ADH7,1,0
CABP5,1,0
CRYGB,1,0
CYP7A1,1,0
DEFB129,1,0
DMRTB1,1,0
DMRTC2,1,0
FAM71B,1,0
FCRL4,1,0
HTR3D,1,0
IL1F10,1,0
IL22,1,0
KRT25,1,0
KRT74,1,0
KRT77,1,0
KRT9,1,0
LHX5,1,0
LUZP4,1,0
LYZL6,1,0
MAGEB3,1,0
MRGPRD,1,0
NLRP5,1,0
NPHS2,1,0
NPSR1,1,0
OC90,1,0
OLIG2,1,0
OR12D2,1,0
OR52E8,1,0
OR9Q2,1,0
OTUD6A,1,0
PIWIL3,1,0
PLA2G2E,1,0
POU4F2,1,0
RNASE9,1,0
RPTN,1,0
RXFP2,1,0
SAGE1,1,0
SPATA16,1,0
TAAR1,1,0
TAAR8,1,0
TAS2R13,1,0
TAS2R9,1,0
TGM6,1,0
TPH2,1,0
TRIM42,1,0
VN1R2,1,0
