gene,fdr,category
RPS24,0,1
RPL11,0,1
PSMA3,0,1
RPL34,0,1
RPS8,0,1
RPL30,0,1
COPZ1,0,1
POLR2D,0,1
PSMC2,0,1
RPS7,0,1
PSMD1,0,1
POLA1,0,1
RPL6,0,1
PSMD11,0,1
RPL36,0,1
NUP205,0,1
PSMC1,0,1
RPS19,0,1
NUP93,0,1
RPL9,0,1
POLR2A,0,1
COPB1,0,1
RPL5,0,1
PSMD7,0,1
RPS27,0,1
RPS11,0,1
RPL3,0,1
RPL27,0,1
NUP133,0,1
PSMD6,0,1
RPS3A,0,1
COPS4,0,1
NUP54,0,1
COPA,0,1
RPL35A,0,1
RPL18A,0,1
POLR2F,0,1
PSMB3,0,1
NUP98,0,1
RPS9,0.21809330083894896,1
COPS2,3.7225291726682094e-5,1
COPS8,0.40588206448405934,1
PSMB2,0.003263761251593161,1
COPS6,0.05529785967050949,1
RPS13,0.12398285352163249,1
PSMC4,0.41846355420265374,1
RPTN,0.2675108491521589,0
DMRTC2,0,0
CRYGB,0.3276199283896453,0
POU4F2,0.006799727590021526,0
IL1F10,0.43064864986761264,0
TAS2R9,0,0
CABP5,2.3919007515379083e-11,0
NPSR1,0.33543373601069654,0
NLRP5,0.18538206743686791,0
VN1R2,0,0
TAAR8,0.3505613026876234,0
TPH2,0,0
RXFP2,0.3196006937123545,0
TAAR1,0.37223482376590783,0
ADH7,0.4122391384809076,0
PLA2G2E,0.2766312154446284,0
MRGPRD,4.426638348804928e-12,0
LUZP4,0.3430817497976301,0
CYP7A1,0.3792246116220753,0
FCRL4,0.42456446827607763,0
OTUD6A,0.3860947398982611,0
TRIM42,0.11115395186882607,0
HTR3D,0.3928202548618907,0
PIWIL3,0.35791559042271504,0
NPHS2,0.22845493369289047,0
KRT77,0.17381495892690393,0
OC90,0.30295598826036546,0
MAGEB3,0.19661273514477723,0
IL22,0.3651539660159524,0
SPATA16,0.2386306334825868,0
OLIG2,0.2943343384734191,0
DEFB129,0.3113841601735256,0
LHX5,0.25814369422212374,0
SAGE1,0.43661092952207875,0
TGM6,0.09786049379018678,0
DMRTB1,0.3993938440096291,0
OR12D2,0.06997434026461882,0
TAS2R13,0.0157811246833175,0
KRT25,0.08412782372686614,0
KRT74,0.1370487264089136,0
ABCG8,0.24852292717023788,0
RNASE9,0.14970380326829258,0
LYZL6,0.2855040012307196,0
FAM71B,0.16195122463113934,0
KRT9,0.20750240005159518,0
OR52E8,0.041191967290176656,0
OR9Q2,0.02873870377660477,0
