gene,fdr,category
COPA,0.43172905270251044,1
COPB1,0.0032857699876100103,1
COPS2,0.9999676685316425,1
COPS4,0.9999676685316425,1
COPS6,0.9999676685316425,1
COPS8,0.9999676685316425,1
COPZ1,0.004380508828534357,1
NUP133,0.2026811603741962,1
NUP205,0.007257084462368585,1
NUP54,0.2794274606061591,1
NUP93,0,1
NUP98,0.2026811603741962,1
POLA1,0.001558269484212132,1
POLR2A,3.5466498938581116e-4,1
POLR2D,0.001279254760005788,1
POLR2F,0.2928453829141849,1
PSMA3,3.5466498938581116e-4,1
PSMB2,0.9999676685316425,1
PSMB3,0.9999676685316425,1
PSMC1,0.9999676685316425,1
PSMC2,0.9999676685316425,1
PSMC4,0.9999676685316425,1
PSMD1,0.0026920814400221613,1
PSMD11,0.9999676685316425,1
PSMD6,0.45819739473141663,1
PSMD7,0.09731253153562179,1
RPL11,0.0026920814400221613,1
RPL18A,0.9999676685316425,1
RPL27,0.9999676685316425,1
RPL3,0.9999676685316425,1
RPL30,0.9999676685316425,1
RPL34,1.2583594048731772e-4,1
RPL35A,0.9999676685316425,1
RPL36,0.9999676685316425,1
RPL5,0.9999676685316425,1
RPL6,3.5466498938581116e-4,1
RPL9,0.9999676685316425,1
RPS11,0.5474818824538903,1
RPS13,0.9999676685316425,1
RPS19,0.7255851910867127,1
RPS24,0.07430891732757304,1
RPS27,0.04437491738714013,1
RPS3A,0.9999676685316425,1
RPS7,0.07430891732757304,1
RPS8,0.08433498406972414,1
RPS9,0.9999676685316425,1
ABCG8,0.9999676685316425,0
ADH7,0.9999676685316425,0
CABP5,0.9999676685316425,0
CRYGB,0.9999676685316425,0
CYP7A1,0.9999676685316425,0
DEFB129,0.9999676685316425,0
DMRTB1,0.9999676685316425,0
DMRTC2,0.9999676685316425,0
FAM71B,0.9999676685316425,0
FCRL4,0.9999676685316425,0
HTR3D,0.9999676685316425,0
IL1F10,0.9999676685316425,0
IL22,0.9999676685316425,0
KRT25,0.9999676685316425,0
KRT74,0.9999676685316425,0
KRT77,0.9999676685316425,0
KRT9,0.9999676685316425,0
LHX5,0.9999676685316425,0
LUZP4,0.9999676685316425,0
LYZL6,0.9999676685316425,0
MAGEB3,0.9999676685316425,0
MRGPRD,0.9999676685316425,0
NLRP5,0.9999676685316425,0
NPHS2,0.9999676685316425,0
NPSR1,0.9999676685316425,0
OC90,0.9999676685316425,0
OLIG2,0.9999676685316425,0
OR12D2,0.9999676685316425,0
OR52E8,0.9999676685316425,0
OR9Q2,0.9999676685316425,0
OTUD6A,0.9999676685316425,0
PIWIL3,0.9999676685316425,0
PLA2G2E,0.9999676685316425,0
POU4F2,0.9999676685316425,0
RNASE9,0.9999676685316425,0
RPTN,0.9999676685316425,0
RXFP2,0.9999676685316425,0
SAGE1,0.9999676685316425,0
SPATA16,0.9999676685316425,0
TAAR1,0.9999676685316425,0
TAAR8,0.9999676685316425,0
TAS2R13,0.9999676685316425,0
TAS2R9,0.9999676685316425,0
TGM6,0.9999676685316425,0
TPH2,0.9999676685316425,0
TRIM42,0.9999676685316425,0
VN1R2,0.9999676685316425,0
