gene,fdr,category
RPL34,0,1
RPS24,0,1
NUP93,0,1
POLA1,0,1
COPZ1,0.0078,1
RPL11,0.0091,1
NUP54,0.01001,1
POLR2D,0.00546,1
RPL6,0.01001,1
PSMD1,0.006066666666666666,1
RPS7,0.013236363636363638,1
RPS8,0.04095,1
PSMA3,0.0497,1
NUP205,0.050050000000000004,1
PSMD7,0.06855333333333333,1
PSMD6,0.10170588235294117,1
POLR2A,0.10170588235294117,1
COPB1,0.22021999999999997,1
RPL36,0.22021999999999997,1
PSMC2,0.22021999999999997,1
NUP98,0.2691,1
RPS27,0.32056818181818186,1
RPL30,0.3671652173913043,1
RPS19,0.42333200000000004,1
RPL5,0.42333200000000004,1
COPA,0.4375,1
POLR2F,0.44960740740740734,1
RPS11,0.474175,1
NUP133,0.631351724137931,1
PSMD11,0.72527,1
RPL9,0.9998,1
RPL3,0.9998,1
RPL18A,0.9998,1
PSMC1,0.9998,1
COPS4,0.9998,1
COPS2,0.9998,1
RPS3A,0.9998,1
RPL35A,0.9998,1
COPS6,0.9998,1
PSMB3,0.9998,1
RPL27,0.9998,1
PSMB2,0.9998,1
RPS13,0.9998,1
PSMC4,0.9998,1
RPS9,0.9998,1
COPS8,0.9998,1
POU4F2,0.9998,0
DMRTC2,0.9998,0
VN1R2,0.9998,0
OR12D2,0.9998,0
TAS2R13,0.9998,0
RNASE9,0.9998,0
TAS2R9,0.9998,0
NLRP5,0.9998,0
KRT25,0.9998,0
FAM71B,0.9998,0
PIWIL3,0.9998,0
KRT74,0.9998,0
TRIM42,0.9998,0
DEFB129,0.9998,0
MRGPRD,0.9998,0
IL22,0.9998,0
RPTN,0.9998,0
NPHS2,0.9998,0
RXFP2,0.9998,0
ADH7,0.9998,0
PLA2G2E,0.9998,0
OTUD6A,0.9998,0
LUZP4,0.9998,0
CABP5,0.9998,0
KRT77,0.9998,0
TAAR8,0.9998,0
LHX5,0.9998,0
IL1F10,0.9998,0
CYP7A1,0.9998,0
ABCG8,0.9998,0
TAAR1,0.9998,0
SPATA16,0.9998,0
MAGEB3,0.9998,0
KRT9,0.9998,0
TGM6,0.9998,0
SAGE1,0.9998,0
HTR3D,0.9998,0
FCRL4,0.9998,0
DMRTB1,0.9998,0
CRYGB,0.9998,0
NPSR1,0.9998,0
OC90,0.9998,0
LYZL6,0.9998,0
TPH2,0.9998,0
OLIG2,0.9998,0
