gene,fdr,category
NUP93,1.0589187027260347e-5,1
RPL34,0.0010415296706043507,1
POLR2D,0.004111212232482538,1
POLA1,6.761604590750153e-4,1
PSMA3,0.009713841927362512,1
RPL6,0.0028155561728422434,1
POLR2A,0.04289976719783375,1
COPB1,0.09470487960429119,1
RPL11,0.0015203232184693273,1
COPZ1,9.934161574332078e-4,1
NUP205,0.03572671809922508,1
PSMD1,0.0028155561728422434,1
RPS8,0.012789831770577317,1
RPS7,0.012789831770577317,1
RPS24,7.067532261263363e-4,1
RPL36,0.05267541309314999,1
RPS11,0.1946487863639675,1
RPS27,0.11450754989589401,1
RPL30,0.21305941669483294,1
PSMD7,0.05147540886553003,1
PSMD11,0.24918320847195757,1
COPA,0.22010010898294124,1
PSMD6,0.27071055330302535,1
PSMC2,0.22010010898294124,1
NUP133,0.28250601468714176,1
RPS19,0.10621746303055968,1
RPL5,0.28919267192631626,1
NUP54,0.15202172070266468,1
PSMC1,0.6596577698512378,1
RPL3,0.5058510291365466,1
NUP98,0.37128930363789453,1
RPL18A,0.6819752239659692,1
POLR2F,0.6117814173097662,1
COPS4,0.7927817812900531,1
RPL9,0.9551786982917861,1
RPL27,1,1
RPS3A,1,1
RPL35A,1,1
PSMB3,1,1
RPS9,1,1
PSMB2,1,1
PSMC4,1,1
COPS6,1,1
RPS13,1,1
COPS8,1,1
COPS2,1,1
TAS2R9,1,0
VN1R2,1,0
POU4F2,1,0
TAS2R13,1,0
PIWIL3,1,0
TPH2,1,0
OR12D2,1,0
ADH7,1,0
PLA2G2E,1,0
FAM71B,1,0
KRT77,1,0
OTUD6A,1,0
RXFP2,1,0
TAAR1,1,0
SAGE1,1,0
NLRP5,1,0
TRIM42,1,0
RNASE9,1,0
IL22,1,0
FCRL4,1,0
LUZP4,1,0
NPHS2,1,0
CYP7A1,1,0
DEFB129,1,0
NPSR1,1,0
IL1F10,1,0
DMRTB1,1,0
HTR3D,1,0
RPTN,1,0
CRYGB,1,0
KRT74,1,0
KRT25,1,0
OR52E8,1,0
OR9Q2,1,0
LYZL6,1,0
TAAR8,1,0
MAGEB3,1,0
ABCG8,1,0
LHX5,1,0
DMRTC2,1,0
SPATA16,1,0
OLIG2,1,0
OC90,1,0
TGM6,1,0
KRT9,1,0
MRGPRD,1,0
CABP5,1,0
