gene,fdr,category
NUP93,0.0012498656058488335,1
POLR2D,0.0012498656058488335,1
RPL34,0.0012498656058488335,1
PSMA3,0.0012498656058488335,1
RPL6,0.0012498656058488335,1
RPL11,0.0012498656058488335,1
COPZ1,0.0012498656058488335,1
PSMD1,0.0012498656058488335,1
POLR2A,0.0033329749489302224,1
POLA1,0.003999569938716268,1
COPB1,0.005453959007340364,1
RPS8,0.00615318452110195,1
NUP205,0.00615318452110195,1
RPS24,0.007856298093906953,1
RPS27,0.02199763466293947,1
RPL36,0.04686996021933126,1
RPS7,0.0711688180271571,1
RPL30,0.08276887789843386,1
PSMD7,0.105778099694996,1
PSMD11,0.18598000215030644,1
RPL5,0.689925814428556,1
PSMC2,0.8517265983129869,1
NUP133,0.8519917213202882,1
RPS11,0.8519917213202882,1
PSMD6,0.9602967422857758,1
COPS4,1,1
RPS19,1,1
COPA,1,1
NUP54,1,1
RPL3,1,1
PSMC1,1,1
POLR2F,1,1
NUP98,1,1
RPL9,1,1
RPL18A,1,1
COPS6,1,1
COPS2,1,1
PSMB2,1,1
PSMB3,1,1
RPS13,1,1
RPL35A,1,1
RPS3A,1,1
RPL27,1,1
PSMC4,1,1
COPS8,1,1
RPS9,1,1
OR9Q2,1,0
OR52E8,1,0
VN1R2,1,0
PIWIL3,1,0
POU4F2,1,0
KRT77,1,0
MRGPRD,1,0
TRIM42,1,0
CYP7A1,1,0
TAS2R13,1,0
PLA2G2E,1,0
TPH2,1,0
RPTN,1,0
TGM6,1,0
KRT25,1,0
NLRP5,1,0
OR12D2,1,0
NPSR1,1,0
LYZL6,1,0
TAAR1,1,0
TAS2R9,1,0
RXFP2,1,0
NPHS2,1,0
OTUD6A,1,0
DMRTC2,1,0
FAM71B,1,0
LUZP4,1,0
ABCG8,1,0
IL22,1,0
DEFB129,1,0
CRYGB,1,0
RNASE9,1,0
KRT9,1,0
HTR3D,1,0
ADH7,1,0
DMRTB1,1,0
KRT74,1,0
LHX5,1,0
TAAR8,1,0
SPATA16,1,0
CABP5,1,0
SAGE1,1,0
IL1F10,1,0
MAGEB3,1,0
FCRL4,1,0
OC90,1,0
OLIG2,1,0
