gene,fdr,stat
RPL34,0.005726,6.2879e-6
POLA1,0.005726,2.6182e-5
COPZ1,0.005726,2.6764e-5
NUP93,0.011026,7.907e-5
RPL11,0.015586,1.3107e-4
RPL6,0.015586,1.32e-4
RPS24,0.022574,2.2342e-4
POLR2D,0.015586,2.3361e-4
RPS7,0.029759,4.4889e-4
PSMA3,0.028938,4.8984e-4
PSMD7,0.063687,0.0014485
PSMD1,0.073623,0.0015307
NUP54,0.074745,0.0016024
RPL30,0.118815,0.0031693
NUP205,0.223087,0.0086963
RPS8,0.228129,0.008781
RPL36,0.247251,0.0095172
POLR2A,0.223087,0.011256
COPB1,0.223087,0.013392
RPS27,0.260005,0.020441
POLR2F,0.573289,0.048319
NUP98,0.533559,0.051401
COPA,0.660187,0.053101
NUP133,0.684289,0.06368
PSMD11,0.941308,0.10048
PSMD6,0.941308,0.1089
RPS19,0.999985,0.1266
RPL5,0.999985,0.15031
RPL3,0.999985,0.16607
PSMC2,0.999985,0.16647
RPS11,0.999985,0.20276
COPS4,0.999985,0.28657
PSMC1,0.999985,0.32681
RPL9,0.999985,0.36657
RPL27,0.999985,0.45597
RPL18A,0.999985,0.48626
PSMB3,0.999985,0.52449
RPS3A,0.999985,0.64951
COPS6,0.999985,0.67931
RPL35A,0.999985,0.69423
KRT25,0.999985,0.71684
OR12D2,0.999985,0.72062
DMRTC2,0.999985,0.73832
OR52E8,0.999985,0.74744
RNASE9,0.999985,0.7631
VN1R2,0.999985,0.76877
POU4F2,0.999985,0.78228
KRT74,0.999985,0.78423
OR9Q2,0.999985,0.79575
TAS2R13,0.999985,0.80563
COPS2,0.999985,0.84515
NLRP5,0.999985,0.85135
TRIM42,0.999985,0.85539
RPS13,0.999985,0.89667
CABP5,0.999985,0.90266
FAM71B,0.999985,0.90468
TAS2R9,0.999985,0.9083
PSMB2,0.999985,0.91317
DEFB129,0.999985,0.91544
KRT77,0.999985,0.92152
PLA2G2E,0.999985,0.92804
PIWIL3,0.999985,0.92855
MRGPRD,0.999985,0.92892
IL22,0.999985,0.93856
RXFP2,0.999985,0.94554
RPTN,0.999985,0.94773
ABCG8,0.999985,0.94977
LUZP4,0.999985,0.95575
KRT9,0.999985,0.95611
NPHS2,0.999985,0.95645
RPS9,0.999985,0.95838
TAAR8,0.999985,0.95983
OTUD6A,0.999985,0.96087
SPATA16,0.999985,0.96688
COPS8,0.999985,0.97436
MAGEB3,0.999985,0.97688
TPH2,0.999985,0.97967
NPSR1,0.999985,0.97978
ADH7,0.999985,0.98069
HTR3D,0.999985,0.98124
TGM6,0.999985,0.98361
FCRL4,0.999985,0.9843
LHX5,0.999985,0.98484
PSMC4,0.999985,0.98674
CYP7A1,0.999985,0.98811
IL1F10,0.999985,0.98947
CRYGB,0.999985,0.98952
OC90,0.999985,0.99083
TAAR1,0.999985,0.99117
LYZL6,0.999985,0.99459
SAGE1,0.999985,0.99733
DMRTB1,0.999985,0.99831
OLIG2,0.999985,0.99998
