gene,fdr,stat
NUP93,1.0031690099687489e-5,1.72588216768817e-6
RPL34,0.0010927944542784348,4.112667301047873e-4
POLR2D,0.003975500820259345,0.0017953874672138974
POLA1,6.540843432856312e-4,2.1802811442854376e-4
PSMA3,0.009565975406785386,0.004834417678697991
RPL6,0.00287175905278586,0.0012351651839939183
POLR2A,0.042985529156713186,0.02727038946501159
COPB1,0.09726397342974732,0.06798019648315673
RPL11,0.0015768692998501626,6.273566031661937e-4
COPZ1,9.59383009949679e-4,3.5074217568052777e-4
NUP205,0.036469661643186144,0.022744520164567704
PSMD1,0.002833717287193528,0.0011883330559198666
RPS8,0.012877286499494971,0.006784806865325307
RPS7,0.012877286499494971,0.006719336917283033
RPS24,7.492787584993779e-4,2.5781634701053864e-4
RPL36,0.05199636682045724,0.03466424454697149
RPS11,0.19528063131663886,0.14698542142112603
RPS27,0.11429786989813748,0.08234362670080872
RPL30,0.2133077383049488,0.1628478432220577
PSMD7,0.05199636682045724,0.03455037080250332
PSMD11,0.24946115809994127,0.20117835330640424
COPA,0.2170639046869825,0.16804947459637354
PSMD6,0.27041073321543285,0.2209808142405688
PSMC2,0.21766138471695365,0.17085248477782383
NUP133,0.2878334435431569,0.23831371132067825
RPS19,0.10684957677692648,0.07582873190620588
RPL5,0.29014507258456584,0.2433474802322165
NUP54,0.15292633501753128,0.1118171051741089
PSMC1,0.6603246887031305,0.6106228304136476
RPL3,0.5057375794449102,0.45135719455836065
NUP98,0.3722182880836487,0.32018777469561177
RPL18A,0.6835726468842581,0.6468214293098355
POLR2F,0.6166525263871153,0.5636071477731699
COPS4,0.790436124148415,0.7564388714968702
RPL9,0.948959784557746,0.928552047255429
RPL27,1,1
RPS3A,1,1
RPL35A,1,1
TAS2R9,1,1
PSMB3,1,1
VN1R2,1,1
POU4F2,1,1
TAS2R13,1,1
PIWIL3,1,1
TPH2,1,1
RPS9,1,1
PSMB2,1,1
PSMC4,1,1
COPS6,1,1
OR12D2,1,1
ADH7,1,1
PLA2G2E,1,1
FAM71B,1,1
KRT77,1,1
OTUD6A,1,1
RXFP2,1,1
SAGE1,1,1
TAAR1,1,1
NLRP5,1,1
TRIM42,1,1
RNASE9,1,1
IL22,1,1
FCRL4,1,1
LUZP4,1,1
NPHS2,1,1
CYP7A1,1,1
DEFB129,1,1
NPSR1,1,1
IL1F10,1,1
RPS13,1,1
COPS8,1,1
DMRTB1,1,1
HTR3D,1,1
RPTN,1,1
CRYGB,1,1
KRT74,1,1
KRT25,1,1
OR52E8,1,1
OR9Q2,1,1
LYZL6,1,1
TAAR8,1,1
MAGEB3,1,1
ABCG8,1,1
LHX5,1,1
COPS2,1,1
DMRTC2,1,1
SPATA16,1,1
OLIG2,1,1
OC90,1,1
TGM6,1,1
KRT9,1,1
MRGPRD,1,1
CABP5,1,1
