gene,fdr,stat
NUP93,0.0012498656058488335,-4.044282896006117
POLR2D,0.0012498656058488335,-3.688995308709035
RPL34,0.0012498656058488335,-3.4893353056813012
PSMA3,0.0012498656058488335,-3.4547553832356854
RPL6,0.0012498656058488335,-3.1079882396762017
RPL11,0.0012498656058488335,-3.0398908324469236
COPZ1,0.0012498656058488335,-2.9918048963892288
PSMD1,0.0012498656058488335,-2.782923000263276
POLR2A,0.0033329749489302224,-2.427116681958996
POLA1,0.003999569938716268,-2.3532377267644646
COPB1,0.005453959007340364,-2.289117248895918
RPS8,0.00615318452110195,-2.270416741554749
NUP205,0.00615318452110195,-2.226757505025247
RPS24,0.007856298093906953,-2.1178424168027847
RPS27,0.02199763466293947,-1.8230757144364933
RPL36,0.04686996021933126,-1.6783109365871753
RPS7,0.0711688180271571,-1.5576655265851205
RPL30,0.08276887789843386,-1.4994301084319406
PSMD7,0.105778099694996,-1.4214081319364351
PSMD11,0.18598000215030644,-1.259530259339419
RPL5,0.689925814428556,-0.8744302336824447
PSMC2,0.8517265983129869,-0.7942673284781543
NUP133,0.8519917213202882,-0.7743765865784302
RPS11,0.8519917213202882,-0.7680155106065424
PSMD6,0.9602967422857758,-0.7044055881098528
COPS4,1,-0.4130079610461975
RPS19,1,-0.36778989005537044
COPA,1,-0.25487116412005695
NUP54,1,-0.23939582445844693
RPL3,1,-0.23007629960661768
PSMC1,1,-0.18548460984164739
POLR2F,1,-0.1431160637496037
NUP98,1,-0.13923232185007448
RPL9,1,-0.0011656253735211708
OR9Q2,1,1.0284426051879443
OR52E8,1,1.1583554274752552
VN1R2,1,1.192941202307055
RPL18A,1,1.2382356830195518
PIWIL3,1,1.2468385367142436
COPS6,1,1.2503914347581624
POU4F2,1,1.2655549887688915
KRT77,1,1.2703902417070838
COPS2,1,1.2742867164538902
MRGPRD,1,1.2809021012449422
TRIM42,1,1.305124556767124
CYP7A1,1,1.305285082306345
TAS2R13,1,1.310946317330748
PLA2G2E,1,1.3129271975487844
PSMB2,1,1.3458626769050868
PSMB3,1,1.3467330572549907
TPH2,1,1.368883497048652
RPS13,1,1.3888986566941746
RPTN,1,1.4038383595409594
TGM6,1,1.4288602148041392
KRT25,1,1.435779099846063
NLRP5,1,1.4371152621578107
OR12D2,1,1.4381952770700086
NPSR1,1,1.46249347634426
LYZL6,1,1.474142183059936
TAAR1,1,1.4750266851979512
TAS2R9,1,1.4849135139013034
RXFP2,1,1.4966966995742426
NPHS2,1,1.5155862225885535
RPL35A,1,1.5663946658399481
OTUD6A,1,1.566998415425978
DMRTC2,1,1.5704479990176166
FAM71B,1,1.5796777933626878
LUZP4,1,1.5932178497422904
ABCG8,1,1.5962385812173234
IL22,1,1.60534271117723
DEFB129,1,1.6055465519950884
RPS3A,1,1.6095660649461103
CRYGB,1,1.6183705557417205
RNASE9,1,1.6282290696836443
KRT9,1,1.6408952621638013
HTR3D,1,1.6428217692695213
ADH7,1,1.643187261209255
DMRTB1,1,1.6459680017281664
KRT74,1,1.6582991464945425
RPL27,1,1.6666568786546925
LHX5,1,1.6859491858154694
TAAR8,1,1.6864076298413084
PSMC4,1,1.6910955159641037
SPATA16,1,1.69244366151402
CABP5,1,1.7715020504460008
SAGE1,1,1.820722772332508
IL1F10,1,1.8271113977851479
COPS8,1,1.8328456328945975
MAGEB3,1,1.836316695522992
RPS9,1,1.9189570612240694
FCRL4,1,1.9398245402039884
OC90,1,1.9419519746574023
OLIG2,1,2.202986338017347
