gene,fdr,category
COPA,1.6978672000787146e-31,1
COPB1,1.285069769776223e-23,1
COPS2,1.1273710223149908e-11,1
COPS4,1.8532565784349478e-30,1
COPS6,3.9339947767146006e-17,1
COPS8,3.3545602904312317e-13,1
COPZ1,6.560644978659054e-21,1
NUP133,2.7451414804650203e-25,1
NUP205,2.469718763070586e-21,1
NUP54,7.115551160962502e-25,1
NUP93,5.11437873455965e-25,1
NUP98,3.335943535293302e-28,1
POLA1,2.454953873324287e-18,1
POLR2A,1.3703121046129901e-27,1
POLR2D,1.9465709019615453e-25,1
POLR2F,3.662518479964533e-23,1
PSMA3,2.454953873324287e-18,1
PSMB2,3.321989990019522e-63,1
PSMB3,1.3028165189739312e-15,1
PSMC1,7.438308292148761e-27,1
PSMC2,8.206894617519591e-27,1
PSMC4,2.3662382912648967e-27,1
PSMD1,4.514210224071099e-17,1
PSMD11,4.034601828201374e-29,1
PSMD6,1.6291129558721866e-57,1
PSMD7,3.109800297529017e-25,1
RPL11,2.3173337531527952e-31,1
RPL18A,7.160152079126858e-27,1
RPL27,2.876358097088442e-9,1
RPL3,9.351149300264279e-21,1
RPL30,2.9634778028054785e-9,1
RPL34,1.5503629482972702e-20,1
RPL35A,1.7144721230481655e-19,1
RPL36,1.6110713656250407e-25,1
RPL5,2.0408694411943507e-19,1
RPL6,8.936538947771284e-5,1
RPL9,2.253564424235575e-18,1
RPS11,1.7144721230481655e-19,1
RPS13,9.256076823274659e-31,1
RPS19,3.079247067421985e-28,1
RPS24,2.386575104699508e-8,1
RPS27,9.075771581693422e-10,1
RPS3A,2.4448887223820538e-17,1
RPS7,4.365453681804022e-4,1
RPS8,7.650005992245993e-25,1
RPS9,1.4709536531971626e-15,1
ABCG8,1,0
ADH7,1,0
CABP5,1,0
CRYGB,1,0
CYP7A1,1,0
DEFB129,1,0
DMRTB1,1,0
DMRTC2,1,0
FAM71B,1,0
FCRL4,1,0
HTR3D,1,0
IL1F10,1,0
IL22,1,0
KRT25,1,0
KRT74,1,0
KRT77,1,0
KRT9,1,0
LHX5,1,0
LUZP4,1,0
LYZL6,1,0
MAGEB3,1,0
MRGPRD,1,0
NLRP5,1,0
NPHS2,1,0
NPSR1,1,0
OC90,1,0
OLIG2,1,0
OR12D2,1,0
OR52E8,1,0
OR9Q2,1,0
OTUD6A,1,0
PIWIL3,1,0
PLA2G2E,1,0
POU4F2,1,0
RNASE9,1,0
RPTN,1,0
RXFP2,1,0
SAGE1,1,0
SPATA16,1,0
TAAR1,1,0
TAAR8,1,0
TAS2R13,1,0
TAS2R9,1,0
TGM6,1,0
TPH2,1,0
TRIM42,1,0
VN1R2,1,0
