gene,fdr,category
RPS19,0,1
NUP93,0,1
PSMD11,0,1
RPS3A,0,1
PSMB3,0,1
POLR2A,0,1
RPS8,0,1
RPL36,0,1
RPS13,0,1
RPS11,0,1
PSMC1,0,1
RPS9,0,1
COPB1,0,1
RPL5,0,1
RPL11,0,1
PSMB2,0,1
COPZ1,0,1
PSMD6,0,1
COPA,0,1
RPL18A,0,1
POLR2F,0,1
POLR2D,0,1
PSMA3,0,1
RPL34,0,1
RPS24,0,1
PSMC4,0,1
RPL27,0,1
RPL9,0,1
PSMC2,0,1
NUP54,0,1
COPS4,0,1
NUP133,0,1
RPL35A,0,1
RPL3,0,1
RPL30,0,1
POLA1,0,1
NUP98,0,1
COPS2,0,1
RPL6,0,1
PSMD7,0,1
COPS8,0,1
COPS6,0,1
NUP205,0,1
PSMD1,0,1
RPS7,0,1
RPS27,0,1
LYZL6,0.01795958033794789,0
CRYGB,0.09359387040570971,0
MRGPRD,0.0572219229771447,0
IL1F10,0.037972974550353034,0
OTUD6A,0.07576265153058698,0
KRT25,0.11076062068017721,0
PIWIL3,0.2276747217467088,0
TPH2,0.12729511207768612,0
RNASE9,0.49253775002182,0
NPSR1,0.26389513257605945,0
DMRTB1,0.21478884119809638,0
RPTN,0.14321902881573628,0
HTR3D,0.2014595735443376,0
DMRTC2,0.18766378903567635,0
OLIG2,0.28619008053197065,0
IL22,0.17337575154562324,0
OR9Q2,0.32691097074669917,0
RXFP2,0.34555733601143757,0
LUZP4,0.4179518563560543,0
KRT74,0.29683176557943625,0
OC90,0.15856937313946068,0
NPHS2,0.3171785077990865,0
FCRL4,0.41072024627241777,0
LHX5,0.3798728097974887,0
FAM71B,0.3071559822013907,0
CYP7A1,0.36318445684774314,0
SAGE1,0.4250062427934222,0
SPATA16,0.2401408651366383,0
TAAR8,0.4515689599103571,0
CABP5,0.39569595317524847,0
ADH7,0.35449325896590933,0
TGM6,0.497973707904196,0
TRIM42,0.3363672881435358,0
KRT9,0.4318888767834651,0
TAS2R13,0.4639374937912864,0
NLRP5,0.25220846003377334,0
MAGEB3,0.27521677475806583,0
VN1R2,0.457825099807008,0
ABCG8,0.4699114187617612,0
OR12D2,0.4757514559404974,0
POU4F2,0.37164137747371023,0
DEFB129,0.3878882918192884,0
KRT77,0.4814622349653241,0
PLA2G2E,0.4870485428245266,0
TAAR1,0.4386062570587174,0
TAS2R9,0.44516429834207555,0
OR52E8,0.4033040010548902,0
