gene,fdr,category
COPA,0,1
COPB1,0,1
COPS4,0,1
NUP93,0,1
NUP98,0,1
POLR2A,0,1
POLR2D,0,1
PSMB2,0,1
PSMC2,0,1
PSMD11,0,1
PSMD6,0,1
PSMD7,0,1
RPL11,0,1
RPS13,0,1
RPS19,0,1
RPS8,0,1
RPS9,0,1
RPL3,3.4416913763375e-15,1
RPL36,5.434249541609999e-15,1
COPS6,0.06023841634681501,1
COPZ1,0.09084671828627143,1
PSMC4,0.1369680805795773,1
POLR2F,0.1491748925543348,1
NUP133,0.16259191499591788,1
NUP205,0.16259191499591788,1
NUP54,0.16259191499591788,1
PSMC1,0.16259191499591788,1
PSMD1,0.16259191499591788,1
POLA1,0.1756613633019724,1
RPL35A,0.33696321423020004,1
RPL9,0.379539384963,1
PSMA3,0.3988916059231875,1
COPS8,0.5592381064551818,1
RPL34,0.8101604509194706,1
RPS3A,0.9510168218016,1
RPL18A,1,1
RPS11,1,1
PSMB3,1,1
RPL5,1,1
RPL30,1,1
COPS2,1,1
RPS24,1,1
RPL27,1,1
RPL6,1,1
RPS27,1,1
RPS7,1,1
ABCG8,1,0
ADH7,1,0
CABP5,1,0
CRYGB,1,0
CYP7A1,1,0
DEFB129,1,0
DMRTB1,1,0
DMRTC2,1,0
FAM71B,1,0
FCRL4,1,0
HTR3D,1,0
IL1F10,1,0
IL22,1,0
KRT25,1,0
KRT74,1,0
KRT77,1,0
KRT9,1,0
LHX5,1,0
LUZP4,1,0
LYZL6,1,0
MAGEB3,1,0
MRGPRD,1,0
NLRP5,1,0
NPHS2,1,0
NPSR1,1,0
OC90,1,0
OLIG2,1,0
OR12D2,1,0
OR52E8,1,0
OR9Q2,1,0
OTUD6A,1,0
PIWIL3,1,0
PLA2G2E,1,0
POU4F2,1,0
RNASE9,1,0
RPTN,1,0
RXFP2,1,0
SAGE1,1,0
SPATA16,1,0
TAAR1,1,0
TAAR8,1,0
TAS2R13,1,0
TAS2R9,1,0
TGM6,1,0
TPH2,1,0
TRIM42,1,0
VN1R2,1,0
