gene,fdr,category
PSMD6,0,1
PSMB2,0,1
NUP98,0,1
RPS13,0,1
PSMD11,0,1
COPB1,0,1
PSMC4,0,1
RPL11,7.153846153846155e-4,1
POLR2A,7.153846153846155e-4,1
RPS19,7.153846153846155e-4,1
COPS4,7.153846153846155e-4,1
POLR2D,7.153846153846155e-4,1
PSMD7,7.153846153846155e-4,1
RPL3,0.002188235294117647,1
RPL18A,0.001992857142857143,1
POLR2F,0.002188235294117647,1
NUP205,0.002188235294117647,1
NUP54,0.0046500000000000005,1
NUP93,0.006873913043478261,1
RPS8,0.005115000000000001,1
COPA,0.0054954545454545456,1
RPS9,0.0054954545454545456,1
PSMC2,0.005115000000000001,1
POLA1,0.0093,1
RPS3A,0.011904000000000001,1
COPS6,0.013234615384615386,1
RPL36,0.01928888888888889,1
PSMC1,0.020260714285714288,1
COPS8,0.03174827586206897,1
COPS2,0.049600000000000005,1
RPS11,0.05060294117647059,1
PSMD1,0.05060294117647059,1
RPL34,0.0501,1
RPS27,0.05060294117647059,1
COPZ1,0.058125,1
RPL5,0.060827027027027025,1
RPL35A,0.058125,1
NUP133,0.06607894736842104,1
RPL9,0.08059999999999999,1
PSMA3,0.18321,1
RPL6,0.20074390243902437,1
RPL30,0.2265214285714286,1
PSMB3,0.249153488372093,1
RPS24,0.35065227272727273,1
RPL27,0.9999,1
RPS7,0.9999,1
LYZL6,0.9999,0
OTUD6A,0.9999,0
IL1F10,0.9999,0
MRGPRD,0.9999,0
RPTN,0.9999,0
KRT25,0.9999,0
PIWIL3,0.9999,0
CRYGB,0.9999,0
IL22,0.9999,0
TPH2,0.9999,0
DMRTC2,0.9999,0
HTR3D,0.9999,0
DMRTB1,0.9999,0
RNASE9,0.9999,0
OC90,0.9999,0
OR9Q2,0.9999,0
KRT74,0.9999,0
NPHS2,0.9999,0
RXFP2,0.9999,0
FCRL4,0.9999,0
OLIG2,0.9999,0
CYP7A1,0.9999,0
SPATA16,0.9999,0
FAM71B,0.9999,0
LHX5,0.9999,0
KRT9,0.9999,0
CABP5,0.9999,0
TRIM42,0.9999,0
LUZP4,0.9999,0
ADH7,0.9999,0
SAGE1,0.9999,0
NPSR1,0.9999,0
ABCG8,0.9999,0
MAGEB3,0.9999,0
TAS2R13,0.9999,0
VN1R2,0.9999,0
NLRP5,0.9999,0
OR12D2,0.9999,0
POU4F2,0.9999,0
TAAR8,0.9999,0
DEFB129,0.9999,0
TAS2R9,0.9999,0
TAAR1,0.9999,0
KRT77,0.9999,0
TGM6,0.9999,0
PLA2G2E,0.9999,0
OR52E8,0.9999,0
