gene,fdr,category
RPS13,5.554958248217038e-4,1
RPS19,5.554958248217038e-4,1
RPL11,5.554958248217038e-4,1
PSMB2,5.554958248217038e-4,1
NUP93,5.554958248217038e-4,1
RPL18A,5.554958248217038e-4,1
COPB1,5.554958248217038e-4,1
POLR2D,5.554958248217038e-4,1
COPS4,5.554958248217038e-4,1
PSMD6,5.554958248217038e-4,1
PSMC1,5.554958248217038e-4,1
RPS3A,5.554958248217038e-4,1
PSMD11,5.554958248217038e-4,1
RPL35A,5.554958248217038e-4,1
RPS8,5.554958248217038e-4,1
RPL34,5.554958248217038e-4,1
POLR2A,5.554958248217038e-4,1
RPL36,5.554958248217038e-4,1
PSMD7,9.522785568372064e-4,1
COPA,9.522785568372064e-4,1
PSMC4,9.522785568372064e-4,1
POLR2F,0.001363489751835091,1
RPS9,0.0016664874744651112,1
PSMC2,0.0016664874744651112,1
RPL6,0.004399526932587894,1
RPS11,0.004614888390826462,1
RPL9,0.01892653631713948,1
NUP133,0.01892653631713948,1
RPL5,0.020342640205539633,1
POLA1,0.02233093215783249,1
NUP54,0.04062063219008709,1
NUP205,0.04062063219008709,1
PSMB3,0.05513692844087425,1
COPS6,0.05513692844087425,1
NUP98,0.05513692844087425,1
PSMA3,0.05943805325592231,1
COPZ1,0.08836887634866347,1
RPL3,0.23655351150696868,1
RPL30,0.26586884784928005,1
COPS2,0.31721589076443396,1
PSMD1,0.6709034695980762,1
RPL27,0.6839740734483235,1
RPS27,0.8001465208792253,1
RPS24,1,1
COPS8,1,1
RPS7,1,1
IL1F10,1,0
LYZL6,1,0
MRGPRD,1,0
OC90,1,0
DMRTB1,1,0
OR9Q2,1,0
HTR3D,1,0
DMRTC2,1,0
KRT25,1,0
TPH2,1,0
PIWIL3,1,0
FCRL4,1,0
RNASE9,1,0
OTUD6A,1,0
KRT9,1,0
KRT74,1,0
RPTN,1,0
SPATA16,1,0
OLIG2,1,0
OR12D2,1,0
LUZP4,1,0
ADH7,1,0
LHX5,1,0
CYP7A1,1,0
TAS2R13,1,0
CRYGB,1,0
NPSR1,1,0
ABCG8,1,0
RXFP2,1,0
NPHS2,1,0
POU4F2,1,0
CABP5,1,0
KRT77,1,0
IL22,1,0
TAAR8,1,0
SAGE1,1,0
TAS2R9,1,0
VN1R2,1,0
TRIM42,1,0
TAAR1,1,0
MAGEB3,1,0
PLA2G2E,1,0
DEFB129,1,0
TGM6,1,0
NLRP5,1,0
FAM71B,1,0
OR52E8,1,0
