gene,fdr,stat
ABCG8,1,1
ADH7,1,1
CABP5,1,1
COPA,1.6978672000787146e-31,5.4769909679958536e-33
COPB1,1.285069769776223e-23,3.0399499930190223e-24
COPS2,1.1273710223149908e-11,4.848907622860175e-12
COPS4,1.8532565784349478e-30,1.1956494054419019e-31
COPS6,3.9339947767146006e-17,1.4805356686560326e-17
COPS8,3.3545602904312317e-13,1.4067510895356778e-13
COPZ1,6.560644978659054e-21,1.7636142415750145e-21
CRYGB,1,0.9999999999999831
CYP7A1,1,1
DEFB129,1,1
DMRTB1,1,1
DMRTC2,1,1
FAM71B,1,0.9999999999999999
FCRL4,1,0.9999999999999993
HTR3D,1,1
IL1F10,1,0.9999999999999747
IL22,1,0.9999999999999997
KRT25,1,0.99999999999558
KRT74,1,0.9999999999999999
KRT77,1,1
KRT9,1,1
LHX5,1,0.9999999999999998
LUZP4,1,0.99999999999997
LYZL6,1,0.7041571573468144
MAGEB3,1,0.9999999999999999
MRGPRD,1,0.9999999999998512
NLRP5,1,1
NPHS2,1,0.9999999999999996
NPSR1,1,0.9999999999999983
NUP133,2.7451414804650203e-25,5.0180005556887466e-26
NUP205,2.469718763070586e-21,6.373467775666029e-22
NUP54,7.115551160962502e-25,1.5302260561209682e-25
NUP93,5.11437873455965e-25,1.0448730748025093e-25
NUP98,3.335943535293302e-28,3.228332453509647e-29
OC90,1,0.9999999999910218
OLIG2,1,1
OR12D2,1,0.9999999999999999
OR52E8,1,1
OR9Q2,1,0.9999999999965175
OTUD6A,1,1
PIWIL3,1,1
PLA2G2E,1,1
POLA1,2.454953873324287e-18,8.711126647279727e-19
POLR2A,1.3703121046129901e-27,1.4734538759279463e-28
POLR2D,1.9465709019615453e-25,3.3489391861704006e-26
POLR2F,3.662518479964533e-23,9.057841402062822e-24
POU4F2,1,1
PSMA3,2.454953873324287e-18,8.655487957035092e-19
PSMB2,3.321989990019522e-63,3.5720322473328196e-65
PSMB3,1.3028165189739312e-15,5.183248516347898e-16
PSMC1,7.438308292148761e-27,1.0397635247089666e-27
PSMC2,8.206894617519591e-27,1.2354465015620888e-27
PSMC4,2.3662382912648967e-27,2.798776473539125e-28
PSMD1,4.514210224071099e-17,1.7474362157694574e-17
PSMD11,4.034601828201374e-29,3.0367970749902814e-30
PSMD6,1.6291129558721866e-57,3.5034687223057777e-59
PSMD7,3.109800297529017e-25,6.018968317798097e-26
RNASE9,1,1
RPL11,2.3173337531527952e-31,9.96702689528084e-33
RPL18A,7.160152079126858e-27,9.238905908550785e-28
RPL27,2.876358097088442e-9,1.2990004309431673e-9
RPL3,9.351149300264279e-21,2.6142998043749595e-21
RPL30,2.9634778028054785e-9,1.3702101668885546e-9
RPL34,1.5503629482972702e-20,4.5010537208630424e-21
RPL35A,1.7144721230481655e-19,5.342495629323873e-20
RPL36,1.6110713656250407e-25,2.598502202621033e-26
RPL5,2.0408694411943507e-19,6.583449810304357e-20
RPL6,8.936538947771284e-5,4.324131748921589e-5
RPL9,2.253564424235575e-18,7.511881414118584e-19
RPS11,1.7144721230481655e-19,5.346203394451269e-20
RPS13,9.256076823274659e-31,4.976385388857343e-32
RPS19,3.079247067421985e-28,2.64881468165332e-29
RPS24,2.386575104699508e-8,1.129132307599767e-8
RPS27,9.075771581693422e-10,4.0011466112841974e-10
RPS3A,2.4448887223820538e-17,8.938302856020412e-18
RPS7,4.3654536818040136e-4,2.159256659817039e-4
RPS8,7.650005992245993e-25,1.7274207079265146e-25
RPS9,1.4709536531971626e-15,6.010348260375503e-16
RPTN,1,1
RXFP2,1,1
SAGE1,1,0.9999999999999999
SPATA16,1,1
TAAR1,1,0.9999999999999999
TAAR8,1,1
TAS2R13,1,1
TAS2R9,1,1
TGM6,1,1
TPH2,1,0.9999999999999925
TRIM42,1,1
VN1R2,1,0.9999999999999999
