gene,fdr,stat
RPS19,0,0
NUP93,0,0
PSMD11,0,0
RPS3A,0,0
PSMB3,0,0
POLR2A,0,0
RPS8,0,0
RPL36,0,0
RPS13,0,0
RPS11,0,0
PSMC1,0,0
RPS9,0,0
COPB1,0,0
RPL5,0,0
RPL11,0,0
PSMB2,0,0
COPZ1,0,0
PSMD6,0,0
COPA,0,0
RPL18A,0,0
POLR2F,0,0
POLR2D,0,0
PSMA3,0,0
RPL34,0,0
RPS24,0,0
PSMC4,0,0
RPL27,0,0
RPL9,0,0
PSMC2,0,0
NUP54,0,0
COPS4,0,0
NUP133,0,0
RPL35A,0,0
RPL3,0,0
RPL30,0,0
POLA1,0,0
NUP98,0,0
COPS2,0,0
RPL6,0,0
PSMD7,0,0
COPS8,0,0
COPS6,0,0
NUP205,0,0
PSMD1,0,0
RPS7,0,0
RPS27,0,0
LYZL6,0.01795958033794789,0.8441002758835509
CRYGB,0.09359387040570971,0.9851548141618465
MRGPRD,0.0572219229771447,0.9811714474631447
IL1F10,0.037972974550353034,0.9786025025333948
OTUD6A,0.07576265153058698,0.9842583506492583
KRT25,0.11076062068017721,0.9862648846780202
PIWIL3,0.2276747217467088,0.9879416741148423
TPH2,0.12729511207768612,0.9870886647481497
RNASE9,0.49253775002182,0.9920556049755209
NPSR1,0.26389513257605945,0.9884688301977979
DMRTB1,0.21478884119809638,0.9878863651161048
RPTN,0.14321902881573628,0.9871866159323941
HTR3D,0.2014595735443376,0.987819290538029
DMRTC2,0.18766378903567635,0.9877938884786512
OLIG2,0.28619008053197065,0.9884816500618789
IL22,0.17337575154562324,0.9877265638845637
OR9Q2,0.32691097074669917,0.9887184511843585
RXFP2,0.34555733601143757,0.9888606867645646
LUZP4,0.4179518563560543,0.9892490529633413
KRT74,0.29683176557943625,0.9885412936646982
OC90,0.15856937313946068,0.9874879666205784
NPHS2,0.3171785077990865,0.9886877228447085
FCRL4,0.41072024627241777,0.9891873732395671
LHX5,0.3798728097974887,0.9889988017570984
FAM71B,0.3071559822013907,0.9885542792503852
CYP7A1,0.36318445684774314,0.9889507043397803
SAGE1,0.4250062427934222,0.9893571577828526
SPATA16,0.2401408651366383,0.9881094685324077
TAAR8,0.4515689599103571,0.9895605316460104
CABP5,0.39569595317524847,0.9890782162282162
ADH7,0.35449325896590933,0.9889437887334029
TGM6,0.497973707904196,0.9980818330827895
TRIM42,0.3363672881435358,0.9888531885252603
KRT9,0.4318888767834651,0.9893822299769411
TAS2R13,0.4639374937912864,0.9896033764392291
NLRP5,0.25220846003377334,0.9883317487590126
MAGEB3,0.27521677475806583,0.9884802322244672
VN1R2,0.457825099807008,0.9895969910223306
ABCG8,0.4699114187617612,0.9896428911930679
OR12D2,0.4757514559404974,0.9896747276692835
POU4F2,0.37164137747371023,0.9889965831693057
DEFB129,0.3878882918192884,0.9890494434542618
KRT77,0.4814622349653241,0.9897215681748999
PLA2G2E,0.4870485428245266,0.9898162501527501
TAAR1,0.4386062570587174,0.989431439629405
TAS2R9,0.44516429834207555,0.9894817248607999
OR52E8,0.4033040010548902,0.9891236877873048
