gene,fdr,stat
RPS13,1.3092938015534944e-7,6.476076867899004e-8
RPL11,9.72997144585609e-6,5.6496608395293425e-6
RPS19,3.1808217866957217e-6,1.74432162496217e-6
RPL35A,0.011230442627244111,0.009298323465567705
PSMB2,1.6822275409827417e-8,7.778041318522354e-9
POLR2D,1.5061684976814088e-5,9.069401706468698e-6
NUP93,9.657119811865254e-5,6.230399878622745e-5
RPS8,3.8844898829275775e-4,2.6731973387888704e-4
POLR2A,0.0010572428769096093,7.730378024715423e-4
RPL18A,3.791766254538441e-5,2.3239857689106575e-5
RPL34,0.003447417952067462,0.0026689687370844866
RPL36,0.001659910520689734,0.001249395015572918
PSMD11,3.5887512214173686e-7,1.8522586949250934e-7
COPB1,5.947273123837622e-6,3.3253570154791005e-6
PSMD7,6.077833593589035e-6,3.4637116178518154e-6
COPA,2.7320525309548033e-4,1.821368353969869e-4
COPS4,1.2778058176108123e-5,7.556916125655342e-6
RPS3A,4.45928447255577e-4,3.116704201248656e-4
RPS9,0.007067851566017729,0.005775878699111263
PSMC4,6.79229492408268e-5,4.3090903281814854e-5
PSMD6,2.6968372883226615e-11,7.249562603017907e-12
RPL9,0.014517706848532413,0.012488349977232182
RPL6,0.014715022219721072,0.012816309675240934
PSMC1,0.001093512365280595,8.113156258533448e-4
POLR2F,6.694025263371662e-4,4.750598574005695e-4
PSMC2,2.631626465603849e-4,1.7261205849659653e-4
POLA1,0.00545122307598224,0.004337532340028879
RPS11,0.027069147486767545,0.024449552568693265
NUP205,0.0020062974150736983,0.001531689424411103
COPS6,8.937183307956778e-4,6.438615931538754e-4
NUP133,0.013572500359110735,0.011529328262040301
RPL5,0.02304546410223418,0.02056745720952083
NUP54,0.005774277129723868,0.004656675104616023
RPL3,0.005209049388546143,0.004088823713589983
PSMA3,0.02725712055385571,0.02491242201158855
PSMB3,0.07646372938994118,0.07235277619693359
COPZ1,0.011284648265434499,0.009464543706493451
NUP98,4.3060861113771974e-5,2.685516069461048e-5
COPS2,0.030381796783583624,0.02809499487514185
RPL30,0.08199722112290951,0.07847045892407468
RPS27,0.04145987016313431,0.03878503983002887
PSMD1,0.016696729261408607,0.014721847305758129
RPL27,0.2248127851255401,0.21997810157445322
COPS8,0.1340347488660172,0.12971104728969407
RPS24,0.40857257832003224,0.4041793247897093
RPS7,0.7489314293095062,0.7489314293095062
LYZL6,1,1
IL1F10,1,1
MRGPRD,1,1
DMRTC2,1,1
DMRTB1,1,1
KRT25,1,1
HTR3D,1,1
PIWIL3,1,1
OC90,1,1
OR9Q2,1,1
TPH2,1,1
KRT74,1,1
RNASE9,1,1
RPTN,1,1
FCRL4,1,1
KRT9,1,1
CRYGB,1,1
OTUD6A,1,1
CYP7A1,1,1
IL22,1,1
LUZP4,1,1
NPHS2,1,1
SPATA16,1,1
ABCG8,1,1
RXFP2,1,1
NPSR1,1,1
CABP5,1,1
OLIG2,1,1
OR12D2,1,1
TAS2R13,1,1
LHX5,1,1
KRT77,1,1
TRIM42,1,1
PLA2G2E,1,1
ADH7,1,1
TAAR8,1,1
SAGE1,1,1
VN1R2,1,1
TGM6,1,1
TAS2R9,1,1
MAGEB3,1,1
DEFB129,1,1
FAM71B,1,1
TAAR1,1,1
POU4F2,1,1
NLRP5,1,1
OR52E8,1,1
