gene,fdr,category
COPA,3.910416147525256e-24,1
COPB1,2.0771131747554684e-27,1
COPS2,1.9860374058496807e-16,1
COPS4,8.07730248298141e-21,1
COPS6,7.72884602206866e-14,1
COPS8,5.282920545405385e-9,1
COPZ1,2.1275284341047183e-14,1
NUP133,2.8241382126448236e-14,1
NUP205,3.4991336848925827e-13,1
NUP54,6.893389017146875e-14,1
NUP93,5.465585112421988e-26,1
NUP98,4.7146376603901e-12,1
POLA1,3.043943227561206e-9,1
POLR2A,5.274311531429647e-13,1
POLR2D,1.107187509676016e-24,1
POLR2F,1.8537240657279156e-15,1
PSMA3,2.588124542075952e-12,1
PSMB2,2.143063211610261e-50,1
PSMB3,1.935023747157663e-7,1
PSMC1,5.339382955925907e-17,1
PSMC2,1.601318381431719e-20,1
PSMC4,3.1086201508097013e-18,1
PSMD1,7.362577714723652e-13,1
PSMD11,8.784910992976467e-22,1
PSMD6,2.9163547001089405e-28,1
PSMD7,6.861808435392769e-21,1
RPL11,3.214262412450616e-22,1
RPL18A,9.053126133809731e-25,1
RPL27,1.2483048995164615e-6,1
RPL3,1.1918326167096526e-9,1
RPL30,6.180330950165202e-11,1
RPL34,1.3149303034013385e-14,1
RPL35A,4.220752286471375e-14,1
RPL36,1.546668971594801e-17,1
RPL5,3.8119729348555486e-10,1
RPL6,0.0029377776530444297,1
RPL9,1.601318381431719e-20,1
RPS11,8.898491878407071e-9,1
RPS13,3.1183637619724277e-21,1
RPS19,9.053126133809731e-25,1
RPS24,0.022228776786789282,1
RPS27,3.0363022814341647e-5,1
RPS3A,1.8708524995668045e-8,1
RPS7,0.005792740415266782,1
RPS8,3.6586467935269875e-19,1
RPS9,1.3149303034013385e-14,1
ABCG8,1,0
ADH7,1,0
CABP5,1,0
CRYGB,1,0
CYP7A1,1,0
DEFB129,1,0
DMRTB1,1,0
DMRTC2,1,0
FAM71B,1,0
FCRL4,1,0
HTR3D,1,0
IL1F10,1,0
IL22,1,0
KRT25,1,0
KRT74,1,0
KRT77,1,0
KRT9,1,0
LHX5,1,0
LUZP4,1,0
LYZL6,0.7550803627182627,0
MAGEB3,1,0
MRGPRD,1,0
NLRP5,1,0
NPHS2,1,0
NPSR1,1,0
OC90,1,0
OLIG2,1,0
OR12D2,1,0
OR52E8,1,0
OR9Q2,1,0
OTUD6A,1,0
PIWIL3,1,0
PLA2G2E,1,0
POU4F2,1,0
RNASE9,1,0
RPTN,1,0
RXFP2,1,0
SAGE1,1,0
SPATA16,1,0
TAAR1,1,0
TAAR8,1,0
TAS2R13,1,0
TAS2R9,1,0
TGM6,1,0
TPH2,1,0
TRIM42,1,0
VN1R2,1,0
