gene,fdr,category
RPS19,0,1
NUP93,0,1
PSMD11,0,1
RPS3A,0,1
PSMB3,0,1
POLR2A,0,1
RPS8,0,1
RPL36,0,1
RPS13,0,1
RPS11,0,1
PSMC1,0,1
RPS9,0,1
COPB1,0,1
RPL5,0,1
RPL11,0,1
PSMB2,0,1
COPZ1,0,1
PSMD6,0,1
COPA,0,1
RPL18A,0,1
POLR2F,0,1
POLR2D,0,1
PSMA3,0,1
RPL34,0,1
RPS24,0,1
PSMC4,0,1
RPL27,0,1
RPL9,0,1
PSMC2,0,1
NUP54,0,1
COPS4,0,1
NUP133,0,1
RPL35A,0,1
RPL3,0,1
RPL30,0,1
POLA1,0,1
NUP98,0,1
COPS2,0,1
RPL6,0,1
PSMD7,0,1
COPS8,0,1
COPS6,0,1
NUP205,0,1
PSMD1,0,1
RPS7,8.826443769254726e-7,1
RPS27,1.74617983649406e-6,1
LYZL6,0.019228330888952868,0
CRYGB,0.3665589275148784,0
MRGPRD,0.055969297589599426,0
IL1F10,0.13955393170307914,0
OTUD6A,0.3220160274832892,0
KRT25,0.07354229782023149,0
PIWIL3,0.12384721496443972,0
TPH2,0.09087907417646823,0
RNASE9,0.3747605243418643,0
NPSR1,0.446207804017699,0
DMRTB1,0.33142970407908406,0
RPTN,0.03770187630514229,0
HTR3D,0.39810698373770126,0
DMRTC2,0.29206650772399,0
OLIG2,0.43328535654396666,0
IL22,0.16938938647026608,0
OR9Q2,0.18353670912334244,0
RXFP2,0.4815887046323453,0
LUZP4,0.42659035290846753,0
KRT74,0.2104404317560513,0
OC90,0.31232582577110224,0
NPHS2,0.3581331658810663,0
FCRL4,0.10756003336115075,0
LHX5,0.2592825793438606,0
FAM71B,0.28147312900181676,0
CYP7A1,0.43982208810244955,0
SAGE1,0.4870382825927509,0
SPATA16,0.4760189780059894,0
TAAR8,0.22324840984796257,0
CABP5,0.3827467000248178,0
ADH7,0.15473956112889992,0
TGM6,0.492503218930402,0
TRIM42,0.40549651826362304,0
KRT9,0.19720962835098504,0
TAS2R13,0.3405787412274677,0
NLRP5,0.34947690858664565,0
MAGEB3,0.3023464183075868,0
VN1R2,0.39052561872423863,0
ABCG8,0.4524469338822863,0
OR12D2,0.47032415736515876,0
POU4F2,0.23564833759477374,0
DEFB129,0.46450006776021147,0
KRT77,0.2705511008790051,0
PLA2G2E,0.24765428228780734,0
TAAR1,0.4127024100655942,0
TAS2R9,0.4197309023172306,0
OR52E8,0.4585426668954305,0
