gene,fdr,category
PSMB2,0,1
PSMD6,0,1
PSMD7,0,1
RPS13,0,1
PSMD11,0,1
RPL18A,0,1
COPB1,0.0010333333333333334,1
RPS19,0.0010333333333333334,1
COPS4,0.0010333333333333334,1
RPL11,0.0018600000000000003,1
POLR2D,0.003381818181818182,1
COPA,0.0035769230769230774,1
PSMC4,0.0035769230769230774,1
NUP93,0.007971428571428572,1
RPL3,0.010539999999999999,1
RPS8,0.013949999999999999,1
PSMC2,0.024283333333333337,1
RPL9,0.024070588235294118,1
NUP54,0.03132631578947368,1
RPL36,0.03162,1
PSMA3,0.0403,1
COPS2,0.04100454545454546,1
RPL35A,0.0465,1
RPS3A,0.04488260869565218,1
PSMC1,0.04836,1
COPS6,0.056464285714285724,1
RPL34,0.056464285714285724,1
RPS9,0.056464285714285724,1
POLR2A,0.05676206896551724,1
NUP205,0.060450000000000004,1
POLR2F,0.10139999999999999,1
NUP98,0.15105454545454547,1
RPS27,0.15054375,1
RPS11,0.19639411764705883,1
PSMD1,0.23844166666666666,1
COPZ1,0.29172631578947367,1
RPL6,0.26668378378378377,1
NUP133,0.34505384615384616,1
POLA1,0.39408750000000003,1
PSMB3,0.4196341463414634,1
RPL30,0.6002928571428572,1
RPL5,0.6631116279069766,1
COPS8,0.9644522727272727,1
RPL27,0.9999,1
RPS7,0.9999,1
RPS24,0.9999,1
LYZL6,0.20008285714285715,0
MRGPRD,0.9999,0
FCRL4,0.9999,0
KRT25,0.9999,0
TPH2,0.9999,0
PIWIL3,0.9999,0
IL1F10,0.9999,0
ADH7,0.9999,0
IL22,0.9999,0
KRT9,0.9999,0
RNASE9,0.9999,0
PLA2G2E,0.9999,0
KRT74,0.9999,0
LHX5,0.9999,0
RPTN,0.9999,0
NPHS2,0.9999,0
DMRTB1,0.9999,0
KRT77,0.9999,0
DMRTC2,0.9999,0
TAS2R13,0.9999,0
MAGEB3,0.9999,0
OTUD6A,0.9999,0
CABP5,0.9999,0
CYP7A1,0.9999,0
OC90,0.9999,0
CRYGB,0.9999,0
TAAR8,0.9999,0
VN1R2,0.9999,0
OR9Q2,0.9999,0
NPSR1,0.9999,0
FAM71B,0.9999,0
TAAR1,0.9999,0
POU4F2,0.9999,0
OR12D2,0.9999,0
RXFP2,0.9999,0
SAGE1,0.9999,0
OLIG2,0.9999,0
NLRP5,0.9999,0
LUZP4,0.9999,0
TGM6,0.9999,0
DEFB129,0.9999,0
HTR3D,0.9999,0
SPATA16,0.9999,0
ABCG8,0.9999,0
OR52E8,0.9999,0
TAS2R9,0.9999,0
TRIM42,0.9999,0
