gene,fdr,category
COPA,0.020230191786782717,1
COPB1,0.005152286445817567,1
COPS2,0.09015711376059571,1
COPS4,0.006760829753919818,1
COPS6,0.18923436186449755,1
COPS8,1,1
COPZ1,1,1
NUP133,1,1
NUP205,0.12133888504649772,1
NUP54,0.09015711376059571,1
NUP93,0.020230191786782717,1
NUP98,0.5105049999754063,1
POLA1,1,1
POLR2A,0.21527817347243727,1
POLR2D,0.014028137045619582,1
POLR2F,0.23713737056616552,1
PSMA3,0.12359474334445104,1
PSMB2,6.982324040771719e-7,1
PSMB3,0.6966265141107687,1
PSMC1,0.1538154640303035,1
PSMC2,0.10069316688518042,1
PSMC4,0.016826740610704674,1
PSMD1,0.7870457896950986,1
PSMD11,0.003019951720402016,1
PSMD6,3.341950400261143e-4,1
PSMD7,0.0025703957827688645,1
RPL11,0.011168632477805612,1
RPL18A,0.004335108783875289,1
RPL27,1,1
RPL3,0.03097419299216581,1
RPL30,1,1
RPL34,0.18923436186449755,1
RPL35A,0.1076465213629835,1
RPL36,0.11402497875611688,1
RPL5,1,1
RPL6,0.5508076964054034,1
RPL9,0.10069316688518042,1
RPS11,0.3206269324505466,1
RPS13,0.0025703957827688645,1
RPS19,0.005807644175213118,1
RPS24,1,1
RPS27,0.38194427084004656,1
RPS3A,0.12133888504649772,1
RPS7,1,1
RPS8,0.04819477976251274,1
RPS9,0.08260379495771787,1
ABCG8,1,0
ADH7,1,0
CABP5,1,0
CRYGB,1,0
CYP7A1,1,0
DEFB129,1,0
DMRTB1,1,0
DMRTC2,0.9977000638225533,0
FAM71B,1,0
FCRL4,1,0
HTR3D,1,0
IL1F10,1,0
IL22,1,0
KRT25,0.7961593504173188,0
KRT74,1,0
KRT77,1,0
KRT9,1,0
LHX5,1,0
LUZP4,1,0
LYZL6,0.5370317963702527,0
MAGEB3,1,0
MRGPRD,0.7112135136533291,0
NLRP5,1,0
NPHS2,1,0
NPSR1,1,0
OC90,1,0
OLIG2,1,0
OR12D2,1,0
OR52E8,1,0
OR9Q2,1,0
OTUD6A,1,0
PIWIL3,1,0
PLA2G2E,1,0
POU4F2,1,0
RNASE9,1,0
RPTN,1,0
RXFP2,1,0
SAGE1,1,0
SPATA16,1,0
TAAR1,1,0
TAAR8,1,0
TAS2R13,1,0
TAS2R9,1,0
TGM6,1,0
TPH2,1,0
TRIM42,1,0
VN1R2,1,0
