gene,fdr,category
RPL11,2.745804980753627e-4,1
PSMB2,4.895180441431538e-9,1
PSMD7,3.303269202584586e-8,1
NUP93,1.919488401924855e-4,1
RPS19,7.987761759181438e-6,1
COPA,5.089484454427919e-4,1
RPS13,1.0575656139662202e-5,1
COPB1,4.872897666241364e-5,1
RPL35A,0.010058826015025628,1
PSMD11,2.9240676870413574e-5,1
RPL36,0.0038326998652392533,1
RPL18A,1.5337879751541573e-5,1
RPS8,3.85745376306579e-4,1
RPL9,0.007370203770461813,1
RPL34,0.0039738204798273405,1
COPS4,1.1621908424047474e-4,1
POLR2D,9.817430067577638e-5,1
RPS9,0.025586261953689786,1
POLR2A,0.03356263741049429,1
PSMD6,6.850558158871387e-7,1
PSMA3,0.014874406432204664,1
PSMC4,0.00454165051948693,1
RPL6,0.16028653414237645,1
COPS2,0.00835607316073092,1
PSMC1,0.008329234087412977,1
RPS11,0.05361091055889261,1
PSMB3,0.09497954497035672,1
NUP205,0.01961031464832015,1
NUP54,0.030117747467818624,1
RPL5,0.09503609894439775,1
COPZ1,0.022210301817111738,1
PSMC2,0.003249502996283799,1
POLA1,0.09087279753770475,1
POLR2F,0.014882280197586266,1
RPL30,0.10454571154983881,1
RPS3A,0.019308425916435244,1
COPS6,0.03311125088692507,1
NUP133,0.12333329181364382,1
PSMD1,0.03063154308948222,1
RPL3,0.016208805253854798,1
RPL27,0.314562552275016,1
COPS8,0.18041756724762248,1
NUP98,0.07470459339966326,1
RPS27,0.08167623469142202,1
RPS24,0.8796605433248622,1
RPS7,1,1
LYZL6,1,0
KRT25,1,0
MRGPRD,1,0
TPH2,1,0
KRT74,1,0
KRT9,1,0
DMRTC2,1,0
PIWIL3,1,0
IL22,1,0
RPTN,1,0
FCRL4,1,0
IL1F10,1,0
RNASE9,1,0
KRT77,1,0
NPHS2,1,0
ADH7,1,0
LHX5,1,0
OR9Q2,1,0
CABP5,1,0
DMRTB1,1,0
PLA2G2E,1,0
TAS2R13,1,0
CYP7A1,1,0
OR12D2,1,0
RXFP2,1,0
CRYGB,1,0
TAAR8,1,0
OTUD6A,1,0
TGM6,1,0
OC90,1,0
MAGEB3,1,0
NPSR1,1,0
SAGE1,1,0
VN1R2,1,0
TAAR1,1,0
DEFB129,1,0
POU4F2,1,0
LUZP4,1,0
FAM71B,1,0
ABCG8,1,0
NLRP5,1,0
SPATA16,1,0
OLIG2,1,0
OR52E8,1,0
HTR3D,1,0
TAS2R9,1,0
TRIM42,1,0
