gene,fdr,category
PSMB2,0.0011109916496434076,1
RPS19,0.0011109916496434076,1
NUP93,0.0011109916496434076,1
RPS13,0.0011109916496434076,1
RPL11,0.0011109916496434076,1
COPB1,0.0011109916496434076,1
PSMD7,0.0011109916496434076,1
RPL18A,0.0011109916496434076,1
PSMD11,0.0011109916496434076,1
RPS8,0.0011109916496434076,1
COPS4,0.0011109916496434076,1
COPA,0.0011109916496434076,1
RPL35A,0.0011109916496434076,1
POLR2D,0.0011109916496434076,1
RPL36,0.0011109916496434076,1
RPL34,0.0011109916496434076,1
PSMC1,0.0011109916496434076,1
PSMD6,0.0011109916496434076,1
RPS9,0.002105036809850667,1
RPL9,0.002499731211697667,1
POLR2A,0.008570507011534858,1
RPS11,0.01227140776651582,1
PSMA3,0.017389434516157685,1
POLR2F,0.0187479840877325,1
COPS2,0.025997204601655735,1
PSMC4,0.02692018227982103,1
PSMC2,0.04888363258430993,1
RPL5,0.06784984717465097,1
PSMB3,0.07619870314278405,1
NUP54,0.11198795828405547,1
RPL6,0.1315010116214288,1
POLA1,0.1315010116214288,1
RPS3A,0.1315010116214288,1
NUP205,0.1420435500294086,1
COPZ1,0.15941143041454836,1
RPL30,0.18275812636634053,1
NUP133,0.2729436241961777,1
PSMD1,0.4471314085334083,1
COPS6,0.4471314085334083,1
RPL27,0.9683958714116763,1
RPL3,1,1
COPS8,1,1
NUP98,1,1
RPS27,1,1
RPS24,1,1
RPS7,1,1
LYZL6,1,0
KRT25,1,0
MRGPRD,1,0
KRT74,1,0
TPH2,1,0
KRT9,1,0
DMRTC2,1,0
RNASE9,1,0
IL1F10,1,0
FCRL4,1,0
PIWIL3,1,0
KRT77,1,0
RPTN,1,0
ADH7,1,0
LHX5,1,0
OR9Q2,1,0
NPHS2,1,0
IL22,1,0
OC90,1,0
DMRTB1,1,0
CABP5,1,0
TAS2R13,1,0
PLA2G2E,1,0
OR12D2,1,0
OTUD6A,1,0
CYP7A1,1,0
POU4F2,1,0
RXFP2,1,0
MAGEB3,1,0
NPSR1,1,0
CRYGB,1,0
TAAR8,1,0
TAAR1,1,0
SAGE1,1,0
VN1R2,1,0
OLIG2,1,0
LUZP4,1,0
SPATA16,1,0
DEFB129,1,0
ABCG8,1,0
TGM6,1,0
HTR3D,1,0
NLRP5,1,0
TAS2R9,1,0
OR52E8,1,0
FAM71B,1,0
TRIM42,1,0
