gene,fdr,stat
ABCG8,1,0.9999999999999999
ADH7,1,0.9998129171335044
CABP5,1,0.9999999999999996
COPA,3.910416147525256e-24,3.3637988365808653e-25
COPB1,2.0771131747554684e-27,6.70036507985635e-29
COPS2,1.9860374058496807e-16,4.271048184622969e-17
COPS4,8.07730248298141e-21,1.129085293319982e-21
COPS6,7.72884602206866e-14,2.3269643937411018e-14
COPS8,5.282920545405385e-9,2.158612695972093e-9
COPZ1,2.1275284341047183e-14,5.490395958979919e-15
CRYGB,1,0.9999999964540407
CYP7A1,1,0.9999999999876782
DEFB129,1,0.9999999999988447
DMRTB1,1,0.9999999971942517
DMRTC2,1,0.9999999877935649
FAM71B,1,0.9999999998898449
FCRL4,1,0.9991132454262001
HTR3D,1,0.9999999999999862
IL1F10,1,0.9993864192474278
IL22,1,0.998981474897606
KRT25,1,0.6227123156834947
KRT74,1,0.9999997893743414
KRT77,1,0.9999999870982941
KRT9,1,0.9999338316183745
LHX5,1,0.9999999733202886
LUZP4,1,1
LYZL6,0.7550803627182627,0.38159975320170264
MAGEB3,1,0.999999999916041
MRGPRD,1,0.7933316290194067
NLRP5,1,0.9999999999999627
NPHS2,1,0.9999999965208807
NPSR1,1,0.9999999999999989
NUP133,2.8241382126448236e-14,7.59176938883017e-15
NUP205,3.4991336848925827e-13,1.0911277081923107e-13
NUP54,6.893389017146875e-14,2.0013064888490925e-14
NUP93,5.465585112421988e-26,2.3507892956653712e-27
NUP98,4.7146376603901e-12,1.6729359440093904e-12
OC90,1,0.9999999999824059
OLIG2,1,1
OR12D2,1,0.999999999999835
OR52E8,1,0.9999999999999999
OR9Q2,1,0.9963862592558045
OTUD6A,1,0.9999999998409081
PIWIL3,1,0.996436962211196
PLA2G2E,1,0.9999992926394966
POLA1,3.043943227561206e-9,1.2110311765566088e-9
POLR2A,5.274311531429647e-13,1.7013908165902087e-13
POLR2D,1.107187509676016e-24,8.333669427668937e-26
POLR2F,1.8537240657279156e-15,4.185828535514648e-16
POU4F2,1,0.9999999864297551
PSMA3,2.588124542075952e-12,8.905374768433384e-13
PSMB2,2.143063211610261e-50,2.304369044742216e-52
PSMB3,1.935023747157663e-7,8.530749853060665e-8
PSMC1,5.339382955925907e-17,1.0908416791676585e-17
PSMC2,1.601318381431719e-20,2.4727768097313006e-21
PSMC4,3.1086201508097013e-18,5.682423931587626e-19
PSMD1,7.362577714723652e-13,2.4541925715745505e-13
PSMD11,8.784910992976467e-22,9.446140852662868e-23
PSMD6,2.9163547001089405e-28,6.271730537868689e-30
PSMD7,6.861808435392769e-21,8.853946368248734e-22
RNASE9,1,0.9988764979362518
RPL11,3.214262412450616e-22,3.110576528178015e-23
RPL18A,9.053126133809731e-25,4.870180785880369e-26
RPL27,1.2483048995164615e-6,5.637505997816278e-7
RPL3,1.1918326167096526e-9,4.613545613069623e-10
RPL30,6.180330950165202e-11,2.259475831243192e-11
RPL34,1.3149303034013385e-14,3.1836719816188526e-15
RPL35A,4.220752286471375e-14,1.1799952628844704e-14
RPL36,1.546668971594801e-17,2.9935528482480015e-18
RPL5,3.8119729348555486e-10,1.434613470106927e-10
RPL6,0.0029377776530444297,0.0013899163089672569
RPL9,1.601318381431719e-20,2.582771582954385e-21
RPS11,8.898491878407071e-9,3.731625626428772e-9
RPS13,3.1183637619724277e-21,3.6883872453437315e-22
RPS19,9.053126133809731e-25,5.840726537941762e-26
RPS24,0.022228776786789282,0.010994878840777494
RPS27,3.0363022814341647e-5,1.4038817000179473e-5
RPS3A,1.8708524995668045e-8,8.046677417491631e-9
RPS7,0.005792740415266782,0.0028029389106129588
RPS8,3.6586467935269875e-19,6.294446096390516e-20
RPS9,1.3149303034013385e-14,3.251978169702235e-15
RPTN,1,0.9834433902583266
RXFP2,1,0.9999999999993974
SAGE1,1,1
SPATA16,1,1
TAAR1,1,0.9999999999999801
TAAR8,1,0.9999923045940223
TAS2R13,1,0.9999999463510607
TAS2R9,1,0.9999999999999999
TGM6,1,1
TPH2,1,0.9342959666687436
TRIM42,1,1
VN1R2,1,0.9999999999999996
