gene,fdr,category
AAMP,0.017975242666699674,1
AARS,1.2714938391839673e-6,1
AARS2,1.7015296419355851e-6,1
AASDHPPT,0.05529932714503533,1
AATF,8.472622426824505e-4,1
ABCB7,1.9885464560899337e-4,1
ABCF1,0.27793109836864055,1
ABHD11,5.959421813568064e-5,1
ABT1,1.9507278693114527e-6,1
ACACA,2.924683672862587e-4,1
ACLY,0.0017466411639041758,1
ACO2,2.489706088583734e-5,1
ACSL3,2.356004868203705e-4,1
ACTL6A,1.7849357679835335e-6,1
ACTR10,1.0094584821535585e-5,1
ACTR1A,5.1704992490617575e-5,1
ACTR3,2.1017732262233514e-5,1
ACTR6,1.9519336651046314e-6,1
ACTR8,1.5954417966366965e-4,1
ADSL,5.48072477843069e-6,1
AFG3L2,3.222701863275711e-6,1
AGO2,0.12652454956670406,1
AHCY,0.21707294479083616,1
AIFM1,2.8819327437357054e-5,1
AKIRIN2,2.6336325337430176e-4,1
ALDOA,0.0024584240743740645,1
ALG1,4.3043462091919654e-6,1
ALG13,1.882073168944202e-4,1
ALG14,9.090479568977169e-6,1
ALG2,1.6835639455545722e-5,1
ALG8,1.5340002157699712e-4,1
ALYREF,0.032476850101004436,1
ANAPC10,0.230598268471924,1
ANAPC11,0.06342396792048746,1
ANAPC15,1.2983764128071874e-4,1
ANAPC2,3.4759105961027685e-4,1
ANAPC4,3.0174296799699276e-6,1
ANAPC5,8.731070669798328e-6,1
ANKLE2,6.9710353088219045e-6,1
ANKRD49,0.016816280910235498,1
ANKRD63,0.999999999984129,1
AQR,7.988556614048258e-5,1
ARCN1,2.109891706856811e-5,1
ARFRP1,0.005310779917165214,1
ARGLU1,0.34902547963986735,1
ARIH1,3.1752517031387425e-6,1
ARL2,8.561751088670278e-6,1
ARMC7,2.2671438511067654e-5,1
ARPC4,0.06524605160249337,1
ASCC3,2.3750557591356316e-6,1
ASNA1,0.0018427693605495574,1
ASNS,0.999999999984129,1
ATF7,0.999999999984129,1
ATIC,1.76265050799163e-5,1
ATL2,6.213766878031864e-6,1
ATP13A1,0.262325615659482,1
ATP1A1,1.083391498812729e-5,1
ATP2A2,0.002193110292923353,1
ATP5A1,1.1400593641074202e-5,1
ATP5B,1.0493099814461088e-5,1
ATP5C1,2.7601912138587483e-6,1
ATP5D,2.1148930202464057e-4,1
ATP5F1,0.0015667075526110711,1
ATP5I,0.7670640875094302,1
ATP6AP2,2.09915718354511e-6,1
ATP6V0B,1.5393948719351968e-4,1
ATP6V0C,2.362176110935299e-4,1
ATP6V0D1,0.0023647603660393976,1
ATP6V1A,1.018536354421456e-6,1
ATP6V1B2,3.6145204384210026e-6,1
ATP6V1C1,5.48072477843069e-6,1
ATP6V1D,0.8757830535337245,1
