gene,fdr,category
PSMA5,5.291565e-5,1
UTP20,5.291565e-5,1
MRPL45,5.291565e-5,1
TARS2,5.291565e-5,1
RPL4,5.291565e-5,1
RPL10A,5.291565e-5,1
MDN1,5.291565e-5,1
AURKB,5.291565e-5,1
RTEL1,5.291565e-5,1
CWC22,5.291565e-5,1
WDR12,5.291565e-5,1
PPAN,5.291565e-5,1
GINS2,5.291565e-5,1
MIS18BP1,5.291565e-5,1
POLR2D,5.291565e-5,1
NUDC,5.291565e-5,1
SARS,5.291565e-5,1
RPS19BP1,5.291565e-5,1
IMP3,5.291565e-5,1
GEMIN2,5.291565e-5,1
MCM2,5.291565e-5,1
CLTC,5.291565e-5,1
CCT2,5.291565e-5,1
BDP1,5.291565e-5,1
PSMB5,5.291565e-5,1
SRP68,5.291565e-5,1
RUVBL2,5.291565e-5,1
SNRPD3,5.291565e-5,1
RPS13,5.291565e-5,1
GPN1,5.291565e-5,1
LAMTOR2,5.291565e-5,1
PSMB2,5.291565e-5,1
POLR2G,5.291565e-5,1
NUDCD3,5.291565e-5,1
GART,5.291565e-5,1
PSMD7,5.291565e-5,1
UTP3,5.291565e-5,1
EIF2B3,5.291565e-5,1
EXOSC1,5.291565e-5,1
GTF3C3,5.291565e-5,1
PSMA3,5.291565e-5,1
WDR5,5.291565e-5,1
CLNS1A,5.291565e-5,1
PLK4,5.291565e-5,1
GLRX3,5.291565e-5,1
GBF1,5.291565e-5,1
SCFD1,5.291565e-5,1
DDX41,5.291565e-5,1
UPF1,5.291565e-5,1
MIS18A,5.291565e-5,1
SNRNP25,5.291565e-5,1
HSD17B10,5.291565e-5,1
WDR36,5.291565e-5,1
E4F1,5.291565e-5,1
DKC1,5.291565e-5,1
DDX1,5.291565e-5,1
BIRC5,5.291565e-5,1
USP37,5.291565e-5,1
EIF2B5,5.291565e-5,1
PTPN23,5.291565e-5,1
ZBTB11,5.291565e-5,1
HSPA9,5.291565e-5,1
CPSF2,5.291565e-5,1
PI4KA,5.291565e-5,1
RPP30,5.291565e-5,1
EIF3M,5.291565e-5,1
DSCC1,5.291565e-5,1
POLR1A,5.291565e-5,1
LONP1,5.291565e-5,1
NDOR1,5.291565e-5,1
ACTR1A,5.291565e-5,1
MIPEP,5.291565e-5,1
XPO1,5.291565e-5,1
ATP6V1A,5.291565e-5,1
NUP98,5.291565e-5,1
RPS11,5.291565e-5,1
SURF6,5.291565e-5,1
RPS29,5.291565e-5,1
PGS1,5.291565e-5,1
SF3A2,5.291565e-5,1
ARCN1,5.291565e-5,1
TP53RK,5.291565e-5,1
COPA,5.291565e-5,1
RRP36,5.291565e-5,1
COG2,5.291565e-5,1
LRPPRC,5.291565e-5,1
ARL2,5.291565e-5,1
CSE1L,5.291565e-5,1
PPIL2,5.291565e-5,1
IARS2,5.291565e-5,1
SF3B5,5.291565e-5,1
TANGO6,5.291565e-5,1
TTC27,5.291565e-5,1
CTC1,5.291565e-5,1
RRM1,5.291565e-5,1
RBM17,5.291565e-5,1
RPLP2,5.291565e-5,1
WDHD1,5.291565e-5,1
TOMM40,5.291565e-5,1
TRMT5,5.291565e-5,1
FNTB,5.291565e-5,1
SF3A1,5.291565e-5,1
RPAP1,5.291565e-5,1
SYMPK,5.291565e-5,1
VCP,5.291565e-5,1
HMGCR,5.291565e-5,1
ISG20L2,5.291565e-5,1
SLC25A10,5.291565e-5,1
DHX37,5.291565e-5,1
DHDDS,5.291565e-5,1
EIF3D,5.291565e-5,1
NKAP,5.291565e-5,1
GFM1,5.291565e-5,1
MRPL37,5.291565e-5,1
ELP3,5.291565e-5,1
UNC45A,5.291565e-5,1
VPS18,5.291565e-5,1
CCT6A,5.291565e-5,1
RNF20,5.291565e-5,1
BARD1,5.291565e-5,1
SUPT5H,5.291565e-5,1
CENPE,5.291565e-5,1
LTV1,5.291565e-5,1
WDR18,5.291565e-5,1
BUD13,5.291565e-5,1
MARS,5.291565e-5,1
UVRAG,5.291565e-5,1
RFC2,5.291565e-5,1
RBM19,5.291565e-5,1
RBM28,5.291565e-5,1
RPL12,5.291565e-5,1
MRPL46,5.291565e-5,1
ATIC,5.291565e-5,1
DDB1,5.291565e-5,1
TCP1,5.291565e-5,1
EBNA1BP2,5.291565e-5,1
PGD,5.291565e-5,1
PLRG1,5.291565e-5,1
MED6,5.291565e-5,1
NUP153,5.291565e-5,1
RNF113A,5.291565e-5,1
WDR7,5.291565e-5,1
SRRT,5.291565e-5,1
OXSM,5.291565e-5,1
NUP85,5.291565e-5,1
RRM2,5.291565e-5,1
ATP6V1C1,5.291565e-5,1
PRPF6,5.291565e-5,1
COG4,5.291565e-5,1
CHMP6,5.291565e-5,1
DGCR14,5.291565e-5,1
RPA2,5.291565e-5,1
PLK1,5.291565e-5,1
PSMB7,5.291565e-5,1
CDC16,5.291565e-5,1
EIF3A,5.291565e-5,1
COPB2,5.291565e-5,1
DHODH,5.291565e-5,1
SRBD1,5.291565e-5,1
ATP1A1,5.291565e-5,1
NCL,5.291565e-5,1
ZC3H8,5.291565e-5,1
DDX47,5.291565e-5,1
YEATS4,5.291565e-5,1
U2AF1,5.291565e-5,1
BCCIP,5.291565e-5,1
SPCS3,5.291565e-5,1
RFC5,5.291565e-5,1
FARSB,5.291565e-5,1
BRCA1,5.291565e-5,1
HJURP,5.291565e-5,1
PNPT1,5.291565e-5,1
MED30,5.291565e-5,1
USP39,5.291565e-5,1
INTS3,5.291565e-5,1
EIF4E,5.291565e-5,1
TAF1C,5.291565e-5,1
WDR77,5.291565e-5,1
GINS3,5.291565e-5,1
SNRNP35,5.291565e-5,1
UMPS,5.291565e-5,1
POP4,5.291565e-5,1
SOD1,5.291565e-5,1
CDCA8,5.291565e-5,1
GPN2,5.291565e-5,1
PDCD11,5.291565e-5,1
POLR2C,5.291565e-5,1
PSMD4,5.291565e-5,1
EFTUD2,5.291565e-5,1
SRP72,5.291565e-5,1
NUP214,5.291565e-5,1
SNRPF,5.291565e-5,1
UQCRC1,5.291565e-5,1
ANAPC4,5.291565e-5,1
PRPF4,5.291565e-5,1
ANAPC2,5.291565e-5,1
NDUFAB1,5.291565e-5,1
PSMD1,5.291565e-5,1
COPZ1,5.291565e-5,1
TRAPPC5,5.291565e-5,1
LYRM4,5.291565e-5,1
PMPCA,5.291565e-5,1
ELP4,5.291565e-5,1
SMC2,5.291565e-5,1
AARS2,5.291565e-5,1
NOC3L,5.291565e-5,1
GTF3C1,5.291565e-5,1
RCL1,5.291565e-5,1
CTU2,5.291565e-5,1
NDUFA2,5.291565e-5,1
CCNA2,5.291565e-5,1
MRPS15,5.291565e-5,1
HMGCS1,5.291565e-5,1
ATP6V1B2,5.291565e-5,1
EIF5B,5.291565e-5,1
MDM2,5.291565e-5,1
TTC1,5.291565e-5,1
RARS,5.291565e-5,1
VMP1,5.291565e-5,1
CCT7,5.291565e-5,1
TRAPPC11,5.291565e-5,1
PRPF19,5.291565e-5,1
NOP2,5.291565e-5,1
XRCC2,5.291565e-5,1
POLR1C,5.291565e-5,1
NOP10,5.291565e-5,1
DCTN5,5.291565e-5,1
IMP4,5.291565e-5,1
UTP6,5.291565e-5,1
HAUS1,5.291565e-5,1
DNTTIP2,5.291565e-5,1
SMG6,5.291565e-5,1
SRSF1,5.291565e-5,1
RRP15,5.291565e-5,1
RPF2,5.291565e-5,1
FDX1L,5.291565e-5,1
TLN1,5.291565e-5,1
GFER,5.291565e-5,1
NUP107,5.291565e-5,1
SNUPN,5.291565e-5,1
PSMB1,5.291565e-5,1
TBCC,5.291565e-5,1
NAE1,5.291565e-5,1
BOP1,5.291565e-5,1
BRIX1,5.291565e-5,1
MVD,5.291565e-5,1
TBCA,5.291565e-5,1
MPHOSPH10,5.291565e-5,1
MRPL38,5.291565e-5,1
SNAPC2,5.291565e-5,1
BMS1,5.291565e-5,1
SEPT7,5.291565e-5,1
CDC5L,5.291565e-5,1
NSRP1,5.291565e-5,1
USP5,5.291565e-5,1
KIN,5.291565e-5,1
POP5,5.291565e-5,1
SPC25,5.291565e-5,1
MRPS26,5.291565e-5,1
CKAP5,5.291565e-5,1
NOL6,5.291565e-5,1
RTTN,5.291565e-5,1
PPP2R1A,5.291565e-5,1
SDHA,5.291565e-5,1
INTS7,5.291565e-5,1
FCF1,5.291565e-5,1
TTI2,5.291565e-5,1
LSG1,5.291565e-5,1
WARS2,5.291565e-5,1
TIMM44,5.291565e-5,1
CDK9,5.291565e-5,1
MED11,5.291565e-5,1
TICRR,5.291565e-5,1
DARS,5.291565e-5,1
AARS,5.291565e-5,1
TONSL,5.291565e-5,1
SEC61A1,5.291565e-5,1
