gene,fdr,category
MCM2,0.00495,1
POLR2G,0.007426,1
LRPPRC,0.011139,1
DDB1,0.012376,1
BRIX1,0.035272,1
RUVBL2,0.035272,1
CLTC,0.039745,1
BOP1,0.039745,1
ZBTB11,0.039745,1
RCL1,0.039745,1
CENPE,0.039745,1
MED30,0.039745,1
SYMPK,0.039745,1
RPL9,0.039745,1
RRM2,0.039745,1
NUDCD3,0.039745,1
MCM5,0.039745,1
PPP1R8,0.039745,1
HSD17B10,0.039745,1
PSMA5,0.039745,1
GINS3,0.039745,1
GEMIN2,0.039745,1
RFC5,0.039745,1
PELP1,0.039745,1
KIN,0.039745,1
INTS3,0.039745,1
EIF2B5,0.039745,1
RACGAP1,0.039745,1
TNPO3,0.039745,1
RIOK2,0.047548,1
LAS1L,0.047548,1
PPIL2,0.047548,1
PMPCA,0.047548,1
TTI2,0.047548,1
POLR2H,0.047592,1
NUBP1,0.048752,1
TAF2,0.048752,1
ACTR6,0.048978,1
NUF2,0.051155,1
NELFCD,0.051155,1
HEATR1,0.051155,1
HINFP,0.051155,1
FCF1,0.051155,1
DHDDS,0.051155,1
RRM1,0.05412,1
COX6B1,0.054538,1
PPAN,0.05741,1
NUP214,0.060566,1
NEDD1,0.060862,1
TANGO6,0.060862,1
EIF2B4,0.060862,1
NCL,0.061115,1
MRPL38,0.061115,1
ACTL6A,0.061115,1
EXOC3,0.061115,1
CKAP5,0.061115,1
EIF5B,0.061115,1
ZMAT2,0.061115,1
SRP68,0.061115,1
LONP1,0.061115,1
ATP6V1A,0.061115,1
TOP1,0.061115,1
BARD1,0.061115,1
SSRP1,0.061115,1
PHAX,0.061115,1
SARS,0.061115,1
RAN,0.061115,1
SRBD1,0.061115,1
PGD,0.061115,1
CTNNBL1,0.061115,1
TRAPPC11,0.061115,1
SMC2,0.061115,1
MRPL45,0.061115,1
DTYMK,0.061115,1
URM1,0.061115,1
CWC22,0.061115,1
DDX41,0.061115,1
GPN1,0.061115,1
GRPEL1,0.061115,1
SPCS3,0.061115,1
SRF,0.061115,1
XPO1,0.061115,1
TEFM,0.061115,1
MARS,0.062661,1
TRAPPC8,0.062661,1
UBL5,0.062661,1
BUD13,0.062661,1
SLC25A10,0.062661,1
WDR33,0.062661,1
POLR1B,0.062661,1
METTL16,0.062661,1
BDP1,0.062661,1
RPL12,0.062661,1
GFM1,0.062661,1
EIF3B,0.062661,1
TRMT5,0.062661,1
CCT2,0.062661,1
RPA1,0.062661,1
TTI1,0.062661,1
TARS2,0.062661,1
PRPF8,0.062661,1
WDR55,0.062661,1
ORC3,0.062661,1
NUP205,0.062661,1
CSE1L,0.062661,1
SF3A1,0.062661,1
TINF2,0.062661,1
GINS2,0.062661,1
NOL8,0.062661,1
ORC5,0.062661,1
RPP30,0.062661,1
PLK1,0.062661,1
GTF2E1,0.062661,1
CDC5L,0.062661,1
SF3B1,0.062661,1
DSN1,0.062661,1
CEP152,0.062661,1
PRPF6,0.062661,1
PSMB2,0.062661,1
GLRX3,0.062661,1
KAT8,0.062661,1
MED9,0.062661,1
FARSA,0.062661,1
ACTR10,0.062661,1
ARL2,0.062661,1
VARS,0.062661,1
CDAN1,0.062661,1
RPL4,0.062661,1
TPX2,0.062661,1
GTF3C3,0.062661,1
COPZ1,0.062661,1
POLR2L,0.062661,1
PGS1,0.062661,1
NAA15,0.064596,1
