gene,fdr,category
AAMP,0.09531624850227853,1
AARS,2.462164297312747e-4,1
AARS2,4.282599506333732e-4,1
AASDHPPT,0.5073846433836148,1
AATF,0.0011638350568875134,1
ABCB7,0.04281360632440063,1
ABCF1,0.9999999999999984,1
ABHD11,0.017035981626392128,1
ABT1,6.8236148377634e-4,1
ACACA,0.06604885053932523,1
ACLY,0.17262769840288347,1
ACO2,1.6544721932890334e-4,1
ACSL3,0.05167310058836986,1
ACTL6A,9.251184410226952e-4,1
ACTR10,1.3110789275058032e-4,1
ACTR1A,2.3061992476165044e-4,1
ACTR3,0.003843963314954744,1
ACTR6,0.0010564821071827547,1
ACTR8,0.009891102236690548,1
ADSL,0.009928088800261184,1
AFG3L2,0.001256556710211435,1
AGO2,0.9999999999999984,1
AHCY,0.9999999999999984,1
AIFM1,0.33678449648292197,1
AKIRIN2,0.11276927006784929,1
ALDOA,0.19678929090731045,1
ALG1,0.003960126753566203,1
ALG13,0.015033280370489082,1
ALG14,3.933721797653503e-4,1
ALG2,0.015507159423400339,1
ALG8,0.09703642805481348,1
ALYREF,0.6005849249015731,1
ANAPC10,0.9372201847678745,1
ANAPC11,0.9999999999999984,1
ANAPC15,0.02047163441549079,1
ANAPC2,4.7950704078231573e-4,1
ANAPC4,5.17443148872713e-4,1
ANAPC5,4.6285743835361285e-4,1
ANKLE2,0.02789842719482034,1
ANKRD49,0.7161959719343081,1
ANKRD63,0.9999999999999984,1
AQR,0.0016799517625546287,1
ARCN1,0.00020692324383315681,1
ARFRP1,0.6217530369044575,1
ARGLU1,0.9880930473367289,1
ARIH1,0.002961179626561666,1
ARL2,0.0020328997115930405,1
ARMC7,0.007427766853379343,1
ARPC4,0.5981232646599894,1
ASCC3,0.00691839833401352,1
ASNA1,0.020160635742507975,1
ASNS,0.9999999999999984,1
ATF7,0.9999999999999984,1
ATIC,3.730734544687829e-4,1
ATL2,0.004694317848604197,1
ATP13A1,0.9999999999999984,1
ATP1A1,1.9411020785141056e-4,1
ATP2A2,0.12304360676173609,1
ATP5A1,0.010076512968857122,1
ATP5B,0.01526650891443931,1
ATP5C1,0.01060380225631976,1
ATP5D,0.007360004114107023,1
ATP5F1,0.07663582971720928,1
ATP5I,0.9999999999999984,1
ATP6AP2,0.004177089412453977,1
ATP6V0B,0.002151087434094813,1
ATP6V0C,0.02501136115669645,1
ATP6V0D1,0.22631483550868428,1
ATP6V1A,7.202503433593557e-5,1
ATP6V1B2,0.0012386120773923582,1
ATP6V1C1,1.3032995755857512e-4,1
ATP6V1D,0.9999999999999984,1
ATP6V1E1,0.02283197906566934,1
ATP6V1G1,0.06326103955119196,1
ATP6V1H,0.01593967152697605,1
ATR,0.0036492892114332637,1
ATRIP,0.009916965620829579,1
ATRX,0.05898858357647752,1
ATXN7L3,0.02502822060812093,1
AURKAIP1,0.15538064267292825,1
AURKB,1.5515893910706918e-4,1
BAHD1,0.141693524865377,1
BAP1,0.01469490524234529,1
BARD1,3.4532210484358055e-4,1
BCAS2,1.1997204400491235e-4,1
BCCIP,5.811363612036207e-4,1
BCL2L1,0.9999999999999984,1
BCS1L,0.008641019379277203,1
BDP1,6.0022705688611566e-5,1
BIRC5,1.2076055120983899e-4,1
BLM,0.009833924749140452,1
BMS1,2.987550675012695e-4,1
BNIP1,0.054578532040018966,1
BOP1,5.959178527793292e-4,1
BORA,5.809411017584417e-4,1
BRAP,0.9999999999999984,1
BRAT1,0.002138731339370755,1
BRCA1,4.4146881999236354e-4,1
BRCA2,5.089380269728827e-4,1
BRD2,0.9999999999999984,1
BRD4,0.9999999999999984,1
BRD8,0.05612521007202943,1
BRF1,0.0069824029005986655,1
BRF2,0.010941547526222154,1
BRIX1,4.887964960240106e-4,1
BTAF1,0.11755534186430379,1
BUB1B,0.009615746359508568,1
BUB3,0.0014932791904227292,1
BUD13,0.0010937567342331632,1
BUD31,0.9999999999999984,1
BYSL,0.0025649766110673114,1
C11orf57,0.01948382797617912,1
C12orf45,0.014620258994433323,1
C12orf65,0.9999999999999984,1
C14orf178,0.9999999999999984,1
C14orf80,0.18602935837817494,1
C15orf41,0.008005487567170951,1
C16orf72,0.9999999999999984,1
C18orf21,1.4614508665661638e-4,1
C1orf109,0.6005849249015731,1
C1orf131,0.03494392406513507,1
C1QBP,0.016340969433376876,1
C21orf59,0.09120439730084295,1
C2orf49,0.9999999999999984,1
C8orf33,0.9999999999999984,1
C9orf78,0.00918742983427768,1
CACTIN,0.0028058069434476105,1
CAD,0.0010961239958575018,1
CARS,0.03493424905253126,1
CARS2,0.0012736299156408473,1
CBLL1,0.035873483393631715,1
CCDC115,0.5264197767141996,1
CCDC130,0.8249799469427931,1
CCDC84,0.00207644830956259,1
CCDC86,0.0021940715921223547,1
CCDC94,0.07820077431573307,1
CCNA2,3.4942346621702627e-4,1
CCNB1,0.014821117441423632,1
CCND1,5.942923258290929e-4,1
CCNH,0.023176998695366418,1
CCNK,0.008170502479595335,1
CCT2,7.202503433593557e-5,1
CCT3,8.943703051352633e-4,1
CCT4,0.005901199555644483,1
CCT5,0.06966381379463858,1
CCT6A,0.001775045645999037,1
CCT7,0.0010925233271196857,1
CD3EAP,0.0012957592199104556,1
CDAN1,0.0016476850726916893,1
CDC123,0.1659671252596731,1
CDC16,4.7060711930908724e-4,1
CDC20,0.002315602464240855,1
CDC23,0.0020971605806083147,1
CDC25A,0.9999999999999984,1
CDC37,0.9999999999999984,1
CDC45,0.0422263558394009,1
CDC5L,9.476090186775235e-5,1
CDC6,9.877128075998294e-4,1
CDC73,0.004976798729238243,1
CDCA3,0.2318759033912166,1
CDCA5,0.014134895147538922,1
CDCA8,0.001775045645999037,1
CDK12,0.011235179531795633,1
CDK2,0.9999999999999984,1
CDK9,8.715203152182137e-4,1
CDT1,4.568901169036539e-4,1
CEBPE,0.9999999999999984,1
CEBPZ,0.02388821060330934,1
CENPA,0.9999999999999984,1
CENPE,0.001137890177473002,1
CENPF,0.6133799001462811,1
CENPI,2.2334445754419624e-4,1
CENPJ,0.005211450564470479,1
CENPK,0.004823919274561834,1
CENPL,0.01034661016804983,1
CENPM,0.0015580981092228503,1
CENPN,0.009431864483423705,1
CENPO,0.9999999999999984,1
CENPP,0.0036666796956112938,1
CENPQ,0.06943930274840203,1
CENPT,0.006176047059394346,1
CENPW,0.0024731180644845785,1
CEP152,0.0019575980748593987,1
CEP192,0.017371281744718258,1
CEP57,0.990036540380063,1
CEP85,2.153587357659415e-4,1
CEP97,0.011561190613306646,1
CFDP1,0.004100800127033673,1
CHAF1A,0.003219789491081076,1
CHAF1B,0.002161377643602956,1
CHD1,0.08576853215745224,1
CHD4,0.004692776795440468,1
CHEK1,6.615850998567434e-4,1
CHERP,0.050220819757348344,1
CHMP2A,0.005175722403497966,1
CHMP3,0.015465918471203113,1
CHMP4B,6.574675305401674e-4,1
CHMP6,2.8789959288903327e-4,1
CIAO1,0.08970473592868518,1
CINP,0.0012288807223540118,1
CKAP5,0.0012034413103352512,1
CLASRP,0.0016599101691049639,1
CLNS1A,4.4757327268135763e-4,1
CLP1,0.9999999999999984,1
CLTC,8.556439802330695e-5,1
CNBP,0.9999999999999984,1
CNOT1,0.002748362275845324,1
CNOT2,0.9999999999999984,1
CNOT3,0.0032608355978790238,1
COA3,0.06624892542257392,1
COA5,0.004495646888723796,1
COASY,0.001244967349635644,1
COG2,8.34052276227917e-4,1
COG3,8.546444693900849e-4,1
COG4,8.797821912098818e-4,1
COG8,0.001137890177473002,1
COL9A3,0.9999999999999984,1
COMTD1,0.9999999999999984,1
COPA,8.308343257695243e-4,1
COPB1,0.004518449505811071,1
COPB2,0.0019445266766953248,1
COPE,0.009098205311347706,1
COPG1,0.0019484927988560148,1
COPS3,0.002834167639875096,1
COPS4,0.0012843990761851672,1
COPS5,0.061253581634119474,1
COPS6,0.0034204960764414854,1
COPZ1,7.806210930438065e-4,1
COQ2,0.47996730860355025,1
COQ4,0.05960068550097171,1
COQ5,0.059259879856170816,1
COX10,0.002073348613463221,1
COX15,0.9999999999999984,1
COX4I1,0.02031967260900034,1
COX5B,0.9999999999999984,1
COX6B1,0.013127823543703164,1
CPOX,0.5641555960507656,1
CPSF1,0.003058098783293882,1
CPSF2,4.992018364932138e-4,1
CPSF3,5.149744504861629e-4,1
CPSF4,0.005099126925530488,1
CPSF6,0.08724653324203507,1
CRCP,3.4942346621702627e-4,1
CRIPT,0.8530163745720868,1
CRKL,0.8660459650461381,1
CRLS1,0.07452087444075367,1
CRNKL1,0.9999999999999984,1
CSE1L,3.4942346621702627e-4,1
CSNK1A1,8.364384079261078e-4,1
CSNK2B,0.03458646294552517,1
CSTF1,0.006095462308856584,1
CSTF3,0.0031632486592542692,1
CT62,0.9999999999999984,1
CTC1,8.971787641498085e-5,1
CTCF,0.15642233257898142,1
CTDNEP1,0.40331386293370813,1
CTDP1,1.845820692129502e-4,1
CTNNBL1,0.0010925233271196857,1
