gene,fdr,category
PDCD11,0,1
BIRC5,0,1
POLR2G,0,1
PSMB6,0,1
CDC5L,0,1
ORC5,0,1
SARS,0,1
RPL4,0,1
GBF1,0,1
RPL31,0,1
BYSL,0,1
TCP1,0,1
RPL12,0,1
EXOSC8,0,1
HSPA9,0,1
SRBD1,0,1
FARSB,0,1
PSMC3,0.005712424242424243,1
BORA,0.005712424242424243,1
OXSM,0.005712424242424243,1
RIOK2,0.005712424242424243,1
KIF18A,0.005712424242424243,1
TAF1A,0.005712424242424243,1
NUFIP1,0.005712424242424243,1
MED7,0.005712424242424243,1
RFC3,0.005712424242424243,1
EIF2B3,0.005712424242424243,1
EIF2B4,0.009667179487179487,1
PPP1R8,0.009667179487179487,1
KIN,0.009667179487179487,1
SLC7A6OS,0.009667179487179487,1
PSMD1,0.0113106,1
NCL,0.0113106,1
GINS3,0.0113106,1
MDN1,0.0113106,1
TIMM44,0.0113106,1
POP5,0.0113106,1
CPSF1,0.0113106,1
ATP1A1,0.0113106,1
DCTN5,0.01216193548387097,1
RPAP1,0.01216193548387097,1
HINFP,0.01216193548387097,1
PGD,0.01216193548387097,1
IMP3,0.01216193548387097,1
DDX41,0.01216193548387097,1
RNF168,0.01216193548387097,1
RPS19BP1,0.01216193548387097,1
PMPCA,0.01216193548387097,1
BRIX1,0.01357272,1
SYMPK,0.01357272,1
ATP6V1A,0.01357272,1
PSMB1,0.01357272,1
METTL16,0.01357272,1
WARS2,0.01357272,1
WDHD1,0.01357272,1
SENP6,0.01357272,1
TOP1,0.01357272,1
ABT1,0.01357272,1
CLTC,0.01357272,1
TANGO6,0.01357272,1
NSA2,0.01357272,1
NSMCE1,0.01357272,1
BARD1,0.01357272,1
LRPPRC,0.01357272,1
SNRNP25,0.01357272,1
RBM17,0.01357272,1
TWISTNB,0.01357272,1
HAUS1,0.01357272,1
CCND1,0.01357272,1
TTI2,0.01357272,1
SCFD1,0.01357272,1
EIF3A,0.01357272,1
RPP14,0.01357272,1
PPIL2,0.01357272,1
EXOSC5,0.01357272,1
TRAPPC5,0.01357272,1
PSMD2,0.01357272,1
WDR55,0.01357272,1
POLE,0.01357272,1
GEMIN5,0.01357272,1
TAF1,0.01357272,1
LENG8,0.01357272,1
MED9,0.01357272,1
SNRPD3,0.01357272,1
PLK1,0.01357272,1
PGS1,0.01357272,1
DDX56,0.01357272,1
DSCC1,0.01357272,1
NDOR1,0.01357272,1
DCTN4,0.01357272,1
CHEK1,0.01357272,1
TUBG1,0.01357272,1
FBL,0.01357272,1
PSMB2,0.014500769230769232,1
LAMTOR2,0.014500769230769232,1
PSMA5,0.014500769230769232,1
GRPEL1,0.014500769230769232,1
MYBBP1A,0.015474701492537313,1
PSMC2,0.015474701492537313,1
UPF1,0.015474701492537313,1
PSMB5,0.016881492537313435,1
SF3B3,0.016881492537313435,1
MIS18BP1,0.016881492537313435,1
DICER1,0.016881492537313435,1
DGCR8,0.016881492537313435,1
HJURP,0.016881492537313435,1
SEC61A1,0.016881492537313435,1
USP37,0.016881492537313435,1
MRPS23,0.016881492537313435,1
ITGAV,0.016881492537313435,1
NUDC,0.016881492537313435,1
XRN1,0.016881492537313435,1
ATP6V1C1,0.016881492537313435,1
GINS4,0.016881492537313435,1
ATR,0.016881492537313435,1
MCM2,0.016881492537313435,1
MCM6,0.016881492537313435,1
BDP1,0.016881492537313435,1
RBM28,0.016881492537313435,1
TRMT5,0.016881492537313435,1
PPAN,0.016881492537313435,1
MRPL37,0.016881492537313435,1
GTPBP4,0.016881492537313435,1
LONP1,0.016881492537313435,1
ELP4,0.016881492537313435,1
SRP68,0.016881492537313435,1
HUS1,0.016881492537313435,1
NUP153,0.016881492537313435,1
INTS5,0.016881492537313435,1
CTDP1,0.016881492537313435,1
GFER,0.016881492537313435,1
COPZ1,0.016881492537313435,1
NUP85,0.016881492537313435,1
GEMIN2,0.016881492537313435,1
PFDN6,0.016881492537313435,1
DKC1,0.016881492537313435,1
MFAP1,0.016881492537313435,1
POLR2H,0.016881492537313435,1
TBCC,0.016881492537313435,1
SRFBP1,0.016881492537313435,1
VPS28,0.016881492537313435,1
RPL11,0.016881492537313435,1
UVRAG,0.016881492537313435,1
USP39,0.016881492537313435,1
DDB1,0.016881492537313435,1
TPR,0.016881492537313435,1
TEX10,0.016881492537313435,1
GTF2E2,0.016881492537313435,1
TPX2,0.016881492537313435,1
DTYMK,0.016881492537313435,1
ZNHIT6,0.017386844660194176,1
DSN1,0.017386844660194176,1
TAF2,0.017386844660194176,1
NGDN,0.01812596153846154,1
GTF3C3,0.018941196172248806,1
MARS,0.01961868778280543,1
CSE1L,0.01961868778280543,1
INTS4,0.01961868778280543,1
NRDE2,0.01961868778280543,1
SF3B2,0.01961868778280543,1
RABGGTA,0.01961868778280543,1
COG4,0.01961868778280543,1
ATIC,0.0201975,1
PLRG1,0.0201975,1
DCPS,0.0201975,1
PNPT1,0.020680421940928267,1
PGGT1B,0.020680421940928267,1
GTF2A2,0.020680421940928267,1
UPF2,0.020680421940928267,1
RUVBL2,0.020680421940928267,1
GPN3,0.020680421940928267,1
VPS13D,0.020680421940928267,1
FARSA,0.020680421940928267,1
RNF113A,0.020680421940928267,1
EIF2B5,0.020680421940928267,1
RPL27A,0.02102342007434944,1
MRPL9,0.02102342007434944,1
IMP4,0.02102342007434944,1
EIF3M,0.02102342007434944,1
RRP9,0.02102342007434944,1
POLR2L,0.02102342007434944,1
PREB,0.02102342007434944,1
DDX55,0.02102342007434944,1
MVD,0.02102342007434944,1
UTP20,0.02102342007434944,1
NXT1,0.02102342007434944,1
THOC2,0.02102342007434944,1
USP5,0.02102342007434944,1
CDT1,0.02102342007434944,1
WDR5,0.02102342007434944,1
SF3B1,0.02102342007434944,1
IPO9,0.02102342007434944,1
RTEL1,0.021405897435897436,1
TTI1,0.021405897435897436,1
DDX23,0.02193570909090909,1
RPLP2,0.02229688172043011,1
EIF5B,0.02229688172043011,1
KANSL3,0.0225680985915493,1
NOL10,0.0225680985915493,1
OGT,0.0225680985915493,1
PRPF40A,0.02315035087719298,1
FAM96B,0.023401241379310347,1
SLC25A10,0.023401241379310347,1
GGPS1,0.023401241379310347,1
RANBP2,0.023401241379310347,1
AURKB,0.02492166101694915,1
IARS2,0.02492166101694915,1
ARL2,0.02492166101694915,1
MIPEP,0.02576303333333333,1
COG2,0.02576303333333333,1
E4F1,0.02576303333333333,1
ZBTB11,0.02576303333333333,1
NUDCD3,0.02576303333333333,1
POLR1A,0.025873921568627452,1
HSD17B10,0.025873921568627452,1
CCT3,0.025873921568627452,1
ECT2,0.025873921568627452,1
RPA2,0.026317954545454544,1
RPA1,0.02727636655948553,1
YAE1D1,0.02727636655948553,1
BRAT1,0.02727636655948553,1
VPS72,0.028397339743589742,1
VARS,0.028634430379746837,1
TUBGCP6,0.028634430379746837,1
SURF6,0.028634430379746837,1
INCENP,0.028634430379746837,1
PSMA3,0.0294546875,1
WDR3,0.0294546875,1
LSG1,0.029614864048338366,1
PSMD8,0.029614864048338366,1
CPSF2,0.029614864048338366,1
POLR2D,0.029614864048338366,1
EXOC1,0.029614864048338366,1
DHDDS,0.029614864048338366,1
PNISR,0.029614864048338366,1
PFDN2,0.029614864048338366,1
ATP6V0C,0.030093463855421686,1
CHMP3,0.03094940298507463,1
TARS2,0.03094940298507463,1
SEC13,0.03151046920821114,1
NUP98,0.03151046920821114,1
SF3A1,0.03151046920821114,1
ILF2,0.03233165697674419,1
MED30,0.03233165697674419,1
RFC4,0.03250172413793103,1
PARN,0.03250172413793103,1
UTP14A,0.03250172413793103,1
TAF13,0.03250172413793103,1
PELP1,0.032646983240223464,1
SMC3,0.032646983240223464,1
COG3,0.032646983240223464,1
BRCA2,0.032873678474114446,1
EIF3B,0.032873678474114446,1
DDX18,0.032873678474114446,1
ACTR6,0.032873678474114446,1
DDX1,0.032873678474114446,1
NELFCD,0.032873678474114446,1
TEN1,0.032873678474114446,1
NOP10,0.03329660326086956,1
ACTR1A,0.033872890625,1
GART,0.033872890625,1
KARS,0.033872890625,1
TEFM,0.033872890625,1
CDK9,0.033872890625,1
ACTL6A,0.033872890625,1
NUF2,0.033872890625,1
TFAM,0.033872890625,1
SDHA,0.033872890625,1
PRPF19,0.03388407594936709,1
FCF1,0.03388407594936709,1
SKA3,0.03388407594936709,1
PSMG1,0.03388407594936709,1
MRPS10,0.03388407594936709,1
WDR12,0.03388407594936709,1
LTV1,0.03388407594936709,1
HEATR1,0.03388407594936709,1
DHODH,0.034188211586901766,1
NDUFA2,0.03496175438596491,1
MRPS14,0.03516977611940299,1
PPP1R7,0.03516977611940299,1
RPS11,0.03516977611940299,1
NOL6,0.03546227722772277,1
NOL7,0.03548965770171149,1
TP53RK,0.03548965770171149,1
RUVBL1,0.03577562043795621,1
NCAPD2,0.03577562043795621,1
CDAN1,0.03689217183770883,1
GLRX3,0.03689217183770883,1
TBCA,0.03689217183770883,1
SKA1,0.03689217183770883,1
RPS27,0.03689217183770883,1
ALG2,0.03689217183770883,1
DDX51,0.03689217183770883,1
SAMM50,0.03699728971962617,1
WDR18,0.03699728971962617,1
COPA,0.03699728971962617,1
MRPS26,0.03699728971962617,1
RRP15,0.03699728971962617,1
GPN2,0.037273568181818185,1
EXOSC7,0.037273568181818185,1
BUB1B,0.037273568181818185,1
CCT6A,0.037273568181818185,1
HMGCR,0.037273568181818185,1
BOP1,0.037273568181818185,1
RAD9A,0.037273568181818185,1
MRPS34,0.03753140271493213,1
ACO2,0.037702,1
XRCC2,0.037702,1
NOP56,0.037702,1
RFC5,0.037702,1
GTF2E1,0.037702,1
MAK16,0.037702,1
TUBGCP5,0.03786845474613686,1
RCL1,0.03827200863930886,1
RAD51,0.03827200863930886,1
SMG6,0.03827200863930886,1
ANAPC15,0.03827200863930886,1
DDX24,0.03827200863930886,1
OSBP,0.03827200863930886,1
YEATS4,0.03858626865671642,1
ATRIP,0.03858626865671642,1
RAN,0.03858626865671642,1
POLR3A,0.040337944915254234,1
SRSF1,0.041273768421052626,1
ELP2,0.041273768421052626,1
HGS,0.041273768421052626,1
POLR2C,0.041322651356993735,1
SSRP1,0.041322651356993735,1
PSMD7,0.041847655601659754,1
CKAP5,0.04344263374485596,1
CTU2,0.04344263374485596,1
EXOSC3,0.0435905476673428,1
ROMO1,0.0435905476673428,1
CCT2,0.0435905476673428,1
CCNA2,0.0435905476673428,1
CTC1,0.043998309859154934,1
CLNS1A,0.043998309859154934,1
MRPS22,0.04411134,1
CINP,0.04411134,1
NOP2,0.04411134,1
SUPT5H,0.04415883858267716,1
ISG20L2,0.04415883858267716,1
MRPL11,0.04415883858267716,1
RACGAP1,0.04415883858267716,1
WDR43,0.04415883858267716,1
RPAP2,0.044182031249999996,1
PRMT1,0.044182031249999996,1
MCM10,0.044182031249999996,1
USP36,0.044376867704280155,1
COPG1,0.04448398452611218,1
WDR36,0.04448398452611218,1
CDC16,0.04448398452611218,1
CBLL1,0.04458986538461539,1
POLR3H,0.04478015325670498,1
HMGCS1,0.04478015325670498,1
U2AF1,0.04490030245746692,1
NUP214,0.04490030245746692,1
GPN1,0.04490030245746692,1
PGK1,0.04490030245746692,1
RNF20,0.04490030245746692,1
COG8,0.0451712641509434,1
SMC5,0.045891947565543066,1
CCDC84,0.045891947565543066,1
EXOC3,0.045891947565543066,1
POLR1B,0.04615852336448598,1
POLG,0.04625152416356877,1
MRPS2,0.04625152416356877,1
NDC80,0.04625152416356877,1
ASNA1,0.046343493530499075,1
NUP160,0.046343493530499075,1
INTS6,0.04643444852941177,1
ACTR10,0.04643444852941177,1
SRRT,0.047555154264972775,1
RPL9,0.047555154264972775,1
UQCRC1,0.047634247311827964,1
FDX1L,0.047634247311827964,1
DGCR14,0.047634247311827964,1
DNTTIP2,0.047634247311827964,1
RPL38,0.04780075,1
XPO1,0.047880870337477795,1
CCT7,0.04810932291666667,1
MED11,0.04810932291666667,1
DDX47,0.04810932291666667,1
DHX8,0.04810932291666667,1
FNBP4,0.04810932291666667,1
GTF3C1,0.04810932291666667,1
RBM25,0.04810932291666667,1
DYNC1H1,0.04810932291666667,1
ZC3H8,0.04810932291666667,1
MRPS15,0.04810932291666667,1
RRM2,0.04810932291666667,1
CTNNBL1,0.048171209540034066,1
CRCP,0.048171209540034066,1
EBNA1BP2,0.048171209540034066,1
SOD2,0.048171209540034066,1
TBL3,0.048171209540034066,1
PET117,0.048171209540034066,1
TTC1,0.048171209540034066,1
SNRNP35,0.048409880952380954,1
RPL36A,0.04884976744186047,1
CUL2,0.04884976744186047,1
GMPPB,0.04884976744186047,1
NOB1,0.04884976744186047,1
NSRP1,0.04884976744186047,1
RPS13,0.04884976744186047,1
KNTC1,0.04884976744186047,1
RRP1,0.04884976744186047,1
VCP,0.049000115894039735,1
SPATA5,0.049000115894039735,1
SNRPF,0.04923071074380165,1
CDC73,0.04977161716171617,1
WDR77,0.05022799342105263,1
EWSR1,0.05051575163398693,1
RBM19,0.05051575163398693,1
ZBTB17,0.05104838499184339,1
EIF3J,0.05157928338762215,1
EXOSC1,0.05163401944894652,1
FNTB,0.05163401944894652,1
CENPK,0.051855501618122975,1
RPL8,0.052600370967741936,1
COPB2,0.052952247191011236,1
LAGE3,0.052952247191011236,1
MED4,0.053177147385103006,1
PSMD12,0.053177147385103006,1
GET4,0.053177147385103006,1
INTS3,0.053177147385103006,1
SEH1L,0.05335188679245283,1
PTPMT1,0.05335188679245283,1
MYBL2,0.05335188679245283,1
POLD3,0.054196625,1
TERF2,0.054196625,1
RPL7,0.054196625,1
RRP36,0.05448434312210201,1
SCD,0.05448434312210201,1
NUP62,0.05448434312210201,1
EIF4E,0.05501827956989247,1
SUGT1,0.05501827956989247,1
TRAPPC3,0.05501827956989247,1
USPL1,0.05571581929555896,1
WDR33,0.05591886850152906,1
MRPL46,0.05612129770992366,1
HARS,0.057210925644916547,1
BRCA1,0.05723641993957704,1
