gene,fdr,category
AAMP,0.6918309709189365,1
AARS,0.48194779762512735,1
AARS2,0.3169567463043491,1
AASDHPPT,0.29853826189179594,1
AATF,0.16218100973589297,1
ABCB7,1,1
ABCF1,1,1
ABHD11,0.4255984131337431,1
ABT1,0.05333348954876211,1
ACACA,1,1
ACLY,1,1
ACO2,0.10115794542598985,1
ACSL3,1,1
ACTL6A,0.09506047936562814,1
ACTR10,0.118576874816716,1
ACTR1A,0.09440608762859236,1
ACTR3,0.1468926277643867,1
ACTR6,0.09354056741475521,1
ACTR8,0.7079457843841379,1
ADSL,0.3881503659906483,1
AFG3L2,0.08203515443298182,1
AGO2,1,1
AHCY,1,1
AIFM1,1,1
AKIRIN2,0.8892011178579484,1
ALDOA,1,1
ALG1,0.6025595860743578,1
ALG13,0.9225714271547631,1
ALG14,0.09660508789898135,1
ALG2,0.098401110576113393,1
ALG8,1,1
ALYREF,1,1
ANAPC10,1,1
ANAPC11,1,1
ANAPC15,0.10351421666793438,1
ANAPC2,0.15812480392703832,1
ANAPC4,0.18749945080674188,1
ANAPC5,0.17139573075084252,1
ANKLE2,1,1
ANKRD49,0.9840111057611337,1
ANKRD63,1,1
AQR,0.24322040090738153,1
ARCN1,0.21527817347243727,1
ARFRP1,1,1
ARGLU1,1,1
ARIH1,0.17139573075084252,1
ARL2,0.08053784411990665,1
ARMC7,0.1552387009958082,1
ARPC4,1,1
ASCC3,0.7227698036021702,1
ASNA1,0.11776059735208072,1
ASNS,1,1
ATF7,1,1
ATIC,0.06870684400142321,1
ATL2,0.3515604405282981,1
ATP13A1,0.7144963260755134,1
ATP1A1,0.04655860935229589,1
ATP2A2,0.31550046233746265,1
ATP5A1,0.35481338923357547,1
ATP5B,0.26242185433844417,1
ATP5C1,0.32960971217745777,1
ATP5D,0.4335108783875289,1
ATP5F1,1,1
ATP5I,1,1
ATP6AP2,0.5520774392807574,1
ATP6V0B,0.09977000638225536,1
ATP6V0C,0.08629785477669702,1
ATP6V0D1,1,1
ATP6V1A,0.05035006087879047,1
ATP6V1B2,0.34994516702835726,1
ATP6V1C1,0.05847900841444806,1
ATP6V1D,1,1
ATP6V1E1,0.7925013304804718,1
ATP6V1G1,1,1
ATP6V1H,0.15631476426409538,1
ATR,0.05861381645140288,1
ATRIP,0.10447202192208001,1
ATRX,1,1
ATXN7L3,0.21577444091526662,1
AURKAIP1,1,1
AURKB,0.08035261221856173,1
BAHD1,0.7227698036021702,1
BAP1,0.5821032177708715,1
BARD1,0.05533501092157368,1
BCAS2,0.3475361614432058,1
BCCIP,0.6546361740672749,1
BCL2L1,1,1
BCS1L,0.18706821403658005,1
BDP1,0.05861381645140288,1
BIRC5,0.012941958414499863,1
BLM,0.8472274141405964,1
BMS1,0.0693425806016569,1
BNIP1,1,1
BOP1,0.1,1
BORA,0.03258367010020087,1
BRAP,1,1
BRAT1,0.08203515443298182,1
BRCA1,0.14125375446227545,1
BRCA2,0.09225714271547633,1
BRD2,1,1
BRD4,1,1
BRD8,1,1
BRF1,0.38994198667654345,1
BRF2,1,1
BRIX1,0.04909078761526031,1
BTAF1,1,1
BUB1B,0.09977000638225536,1
BUB3,0.8336811846196344,1
BUD13,0.17100153150902875,1
BUD31,1,1
BYSL,0.02890679882365476,1
C11orf57,0.8336811846196344,1
C12orf45,0.5457578610912709,1
C12orf65,1,1
C14orf178,1,1
C14orf80,1,1
C15orf41,0.9036494737223014,1
C16orf72,1,1
C18orf21,0.09506047936562814,1
C1orf109,0.7979946872679766,1
C1orf131,1,1
C1QBP,0.9268298233793493,1
C21orf59,1,1
C2orf49,1,1
C8orf33,1,1
C9orf78,0.2642408757321947,1
CACTIN,0.8790225168308843,1
CAD,0.1548816618912481,1
CARS,0.17660378206861643,1
CARS2,0.3013006024186121,1
CBLL1,0.11428783347897718,1
CCDC115,1,1
CCDC130,1,1
CCDC84,0.08035261221856173,1
CCDC86,0.118576874816716,1
CCDC94,0.6382634861905486,1
CCNA2,0.11066237839776664,1
CCNB1,0.8709635899560807,1
CCND1,0.05533501092157368,1
CCNH,0.9817479430199844,1
CCNK,1,1
CCT2,0.06426877173170198,1
CCT3,0.0812830516164099,1
CCT4,0.6668067692136221,1
CCT5,0.9204495717531713,1
CCT6A,0.09977000638225536,1
CCT7,0.12246161992650487,1
CD3EAP,0.20558905959841414,1
CDAN1,0.098401110576113393,1
CDC123,0.48194779762512735,1
CDC16,0.10280162981264736,1
CDC20,0.7030723198838335,1
CDC23,0.20137242498623883,1
CDC25A,1,1
CDC37,1,1
CDC45,0.6426877173170197,1
CDC5L,0.012941958414499863,1
CDC6,0.44360864393143257,1
CDC73,0.12793813041575247,1
CDCA3,1,1
CDCA5,0.8729713683881116,1
CDCA8,0.26181830082189855,1
CDK12,0.3061963433690677,1
CDK2,1,1
CDK9,0.09484184633008974,1
CDT1,0.07655966069112562,1
CEBPE,1,1
CEBPZ,1,1
CENPA,1,1
CENPE,0.26242185433844417,1
CENPF,1,1
CENPI,0.328095293113119,1
CENPJ,0.9840111057611337,1
CENPK,0.13121998990192033,1
CENPL,0.309741929921658,1
CENPM,0.12852866599436155,1
CENPN,0.4120975190973302,1
CENPO,1,1
CENPP,0.24043628000069334,1
CENPQ,1,1
CENPT,1,1
CENPW,0.28379190284415556,1
CEP152,0.22387211385683395,1
CEP192,0.5420008904016238,1
CEP57,1,1
CEP85,0.3357376142429547,1
CEP97,1,1
CFDP1,0.5420008904016238,1
CHAF1A,0.24043628000069334,1
CHAF1B,0.18836490894898006,1
CHD1,1,1
CHD4,0.7638357835776907,1
CHEK1,0.05533501092157368,1
CHERP,1,1
CHMP2A,0.2023019178678272,1
CHMP3,0.08790225168308842,1
CHMP4B,0.10399201658290592,1
CHMP6,0.7095777679633888,1
CIAO1,1,1
CINP,0.11220184543019636,1
CKAP5,0.1081433951297938,1
CLASRP,0.14321878992735435,1
CLNS1A,0.11142945335917301,1
CLP1,1,1
