gene,fdr,category
ESPL1,0.6247870352088116,1
RUVBL1,0.6259100444413307,1
CWC22,0.5852741044680889,1
ACTR10,0.7237951696570667,1
GINS2,0.6710398706552454,1
MIS18BP1,0.439373544951313,1
RPL10A,0.2694724361773125,1
POLR2G,0.2922277805885901,1
CTC1,0.6982642798681516,1
RPL4,0.42935265388415744,1
USP37,0.6947033876124813,1
ATIC,0.6731677828242235,1
UMPS,0.7576696418867607,1
PLK4,0.715733900748766,1
MDN1,0.571493194256176,1
PSMA5,0.28810962139764107,1
MRPL45,0.7127422736444583,1
RTEL1,0.26926241943773355,1
POLR2D,0.26926241943773355,1
PSMB2,0.5889541811296769,1
TARS2,0.26926241943773355,1
CDCA8,0.7901166397052035,1
NUDCD3,0.28053668284179073,1
RRM1,0.33284754506878933,1
PTPN23,0.7291838213940368,1
IMP3,0.28810962139764107,1
MED7,0.26926241943773355,1
NOL10,0.2954256301016322,1
NUFIP1,0.5217725176696689,1
TBL3,0.4553970650631946,1
WDR36,0.33819499639912626,1
CTDP1,0.3258137354764016,1
AURKB,0.2694724361773125,1
PSMA3,0.26926241943773355,1
ATP6V1A,0.26926241943773355,1
HMGCR,0.7710539458521789,1
TOMM40,0.7701206028290304,1
BDP1,0.26926241943773355,1
BIRC5,0.29276682435897466,1
PPAN,0.26926241943773355,1
PSMB5,0.26926241943773355,1
CCT2,0.42536598597225367,1
RPS13,0.5670354846371499,1
SCFD1,0.26926241943773355,1
SEH1L,0.7011526953734001,1
MCM2,0.26926241943773355,1
RPL12,0.26926241943773355,1
DKC1,0.2694724361773125,1
MDM2,0.6954177318600102,1
CLTC,0.2694724361773125,1
WDR5,0.26926241943773355,1
SF3B5,0.5110395211382526,1
ATP6V1C1,0.34992461411684955,1
PDCD11,0.27011624734269457,1
SRRT,0.5517950730763463,1
UTP20,0.26926241943773355,1
PPIL2,0.26926241943773355,1
NUP98,0.2694724361773125,1
PSMB6,0.48144541977634425,1
TRMT5,0.26926241943773355,1
GBF1,0.26926241943773355,1
SARS,0.26926241943773355,1
NUDC,0.3137520795341282,1
EXOSC8,0.6714457077135301,1
LYRM4,0.3935774797284038,1
SRP68,0.2694724361773125,1
INTS4,0.5644088816166237,1
PGD,0.26926241943773355,1
MIS18A,0.3361564307254068,1
EIF3M,0.2694724361773125,1
GLRX3,0.3099173089695284,1
SNRNP25,0.28053668284179073,1
TTC27,0.37322014033686424,1
RBM17,0.2706390578067483,1
SF3B4,0.3100853249537571,1
RRM2,0.2694724361773125,1
WDHD1,0.2694724361773125,1
RPS19BP1,0.26926241943773355,1
EXOSC1,0.26926241943773355,1
RPL23A,0.8118141913149146,1
RUVBL2,0.26926241943773355,1
WDR12,0.2694724361773125,1
XPO1,0.2694724361773125,1
EIF3A,0.3137520795341282,1
EIF2B5,0.26926241943773355,1
LAMTOR2,0.26926241943773355,1
DDX23,0.5762253592690175,1
PLRG1,0.35403419116333057,1
GINS3,0.26926241943773355,1
MIPEP,0.2694724361773125,1
DDX54,0.26926241943773355,1
RBM19,0.313815212109624,1
SNRNP35,0.2694724361773125,1
CDC5L,0.26926241943773355,1
COPG1,0.7293628311667122,1
METTL16,0.6193072544614473,1
EIF2B3,0.26926241943773355,1
GPN1,0.7295223119018581,1
DCTN2,0.468907100116477,1
KIF11,0.8377117242138739,1
TCP1,0.26926241943773355,1
HSPA9,0.30815872473664563,1
ZNF830,0.7342789051505589,1
RPAP1,0.29911541560662125,1
NDOR1,0.3647497324800864,1
SNRPD3,0.2694724361773125,1
PI4KA,0.3635816410155724,1
COPB2,0.3625939560142162,1
GEMIN2,0.26926241943773355,1
RPA2,0.3975347319205439,1
UTP3,0.29326637783173337,1
DDX41,0.26926241943773355,1
BCAS2,0.2909997717195615,1
PRPF6,0.2694724361773125,1
CHMP6,0.6193470928578348,1
POLR1A,0.347819383570359,1
NUP85,0.3530880052399909,1
ACO2,0.3137520795341282,1
WDR55,0.26926241943773355,1
DHX37,0.3100853249537571,1
SMC2,0.4041250091105325,1
DDX1,0.2694724361773125,1
OXSM,0.35319795756390626,1
PSMD1,0.26926241943773355,1
E4F1,0.26926241943773355,1
TAF1A,0.26926241943773355,1
IARS2,0.26926241943773355,1
ARCN1,0.2694724361773125,1
ORC5,0.26926241943773355,1
ZBTB11,0.26926241943773355,1
GART,0.2706390578067483,1
MRPL21,0.8489580683330961,1
SF3A2,0.3752973732081111,1
NGDN,0.3397862484432784,1
EIF3D,0.37179034329926475,1
DARS,0.26926241943773355,1
MRPL37,0.2706390578067483,1
DHDDS,0.26926241943773355,1
TP53RK,0.30048764774828923,1
NUP153,0.26926241943773355,1
CCNA2,0.4570494016588557,1
VPS28,0.46461229388592507,1
U2AF1,0.26926241943773355,1
NKAP,0.4355543896375566,1
GINS4,0.31051398297919247,1
RBM28,0.33284754506878933,1
ARL2,0.3137520795341282,1
RFC5,0.26926241943773355,1
DDX47,0.2694724361773125,1
CSE1L,0.2694724361773125,1
UPF1,0.26926241943773355,1
NOP2,0.26926241943773355,1
UVRAG,0.37287416217180486,1
PSMC3,0.26926241943773355,1
HSD17B10,0.26926241943773355,1
MRPS14,0.6687197462902076,1
POP5,0.27033873805145886,1
SF3A1,0.26926241943773355,1
RIOK2,0.26926241943773355,1
