gene,fdr
A1BG,0.9999999978564567
A1CF,0.9999999978564567
A2M,0.9731394797217303
A2ML1,0.891856007414989
A3GALT2,0.9999999978564567
A4GALT,0.8706900647021306
A4GNT,0.9999999978564567
AAAS,0.7653709330324103
AACS,0.9693098099980174
AADAC,0.1684101255979923
AADACL2,0.9999999978564567
AADACL3,0.4133215253084279
AADACL4,0.9999999978564567
AADAT,0.9807846260359211
AAED1,0.8680456210996061
AAGAB,0.5592398603463361
AAK1,0.28166048377419395
AAMDC,0.9999999978564567
AAMP,0.513262729051878
AANAT,0.18648045523577472
AAR2,0.6285945034672182
AARD,0.9999999978564567
AARS,0.6547916820495646
AARS2,0.5335109202016198
AARSD1,0.40313140638444955
AASDH,0.41660890024504965
AASDHPPT,0.164075625986109
AASS,0.4374440249105802
AATF,0.3927914288721403
AATK,0.440248220919127
ABAT,0.9999999978564567
ABCA1,0.6061718452120725
ABCA10,0.9999999978564567
ABCA12,0.5151685160201527
ABCA13,0.39737778945829966
ABCA2,0.9639152462367628
ABCA3,0.19462225811829337
ABCA4,0.572384300717145
ABCA5,0.9999999978564567
ABCA6,0.4543679147728406
ABCA7,0.30616644911917995
ABCA8,0.14182508792704765
ABCA9,0.6002049567827853
ABCB1,0.9999999978564567
ABCB10,0.8899104872437497
ABCB11,0.40195423915047784
ABCB4,0.9999999978564567
ABCB5,0.9999999978564567
ABCB6,0.20905443000955606
ABCB7,0.6152225081914269
ABCB8,0.6412788868135951
ABCB9,0.7853621047932523
ABCC1,0.3967534950547084
ABCC10,0.9999999978564567
ABCC11,0.4651841275413306
ABCC12,0.9999999978564567
ABCC2,0.9999999978564567
ABCC3,0.5067586892739976
ABCC4,0.5055803276732265
ABCC5,0.6768467158018482
ABCC6,0.6873385680501098
ABCC8,0.648809698598556
ABCC9,0.22739047114446792
ABCD1,0.7266894493561694
ABCD2,0.9999999978564567
ABCD3,0.7059177170112534
ABCD4,0.9999999978564567
ABCE1,0.3526096419817942
ABCF1,0.8486430616999969
ABCF2,0.700364557832074
ABCF3,0.9999999978564567
ABCG1,0.20113385448131357
ABCG2,0.22929909903602327
ABCG4,0.9999999978564567
ABCG5,0.8328265609640777
ABCG8,0.7861792123737762
ABHD1,0.9999999978564567
ABHD10,0.9999999978564567
ABHD11,0.2883750945229155
ABHD12,0.9999999978564567
ABHD12B,0.8348295159410816
ABHD13,0.4404508108990973
ABHD14A,0.21143674934200965
ABHD14B,0.9999999978564567
ABHD15,0.9999999978564567
ABHD16A,0.9967948113808442
ABHD16B,0.9999999978564567
ABHD17A,0.6586016338785379
ABHD17B,0.2965874664058459
ABHD17C,0.9999999978564567
ABHD2,0.9999999978564567
ABHD3,0.9999999978564567
ABHD4,0.9999999978564567
ABHD5,0.5217841867994393
ABHD6,0.896206261882688
ABHD8,0.9999999978564567
ABI1,0.8689289077213915
ABI2,0.9999999978564567
ABI3,0.9999999978564567
ABI3BP,0.3509045793332665
ABL1,0.37156974795828696
ABL2,0.6175625203211923
ABLIM1,0.9999999978564567
ABLIM2,0.8684129497084148
ABLIM3,0.39133174094171547
ABO,0.3927914288721403
ABR,0.565730766339091
ABRA,0.3897224117032338
ABRACL,0.9999999978564567
ABT1,0.4205773100439262
ABTB1,0.9999999978564567
ABTB2,0.9434297619711502
ACAA1,0.6640688131448134
ACAA2,0.4698810809891475
ACACA,0.5106471039503526
ACACB,0.9999999978564567
ACAD10,0.9999999978564567
ACAD11,0.9303223676573869
ACAD8,0.6051686396959902
ACAD9,0.5081852379575257
ACADL,0.2113638845052601
ACADM,0.3571145607877454
ACADS,0.2261927882333386
ACADSB,0.7258344870185006
ACADVL,0.45294708558035923
ACAN,0.9999999978564567
ACAP1,0.83232223610184
ACAP2,0.9999999978564567
ACAP3,0.5088003461498787
ACAT1,0.40770434745215195
ACAT2,0.6549063708150341
ACBD3,0.9999999978564567
ACBD4,0.9067060146107417
