gene,fdr,stat
GATA3,0.4880720562678089,0.8215113358617367
ANKH,7.680345373242096e-14,2.708722135480457e-12
SMARCAD1,0.3382176219488296,0.8007675245863515
JAG1,0.11138407037075088,0.6727034311076582
MAP1LC3C,0.3448605058520049,0.801916641522175
CCNI,0.020367627731802854,0.3084520984011595
TRAM1L1,0.4805777950423164,0.8206065016849722
POU6F1,0.42425094409544717,0.8140635446497062
OR4F4,0.42574404621302625,0.8142296084691882
CPA2,0.4535750101959633,0.8175803926480308
ANLN,0,0
GEMIN6,1.8585221541133113e-9,6.919157380380625e-8
AASDHPPT,0.00109135036275267,0.030080373249063985
OR7E24,0.16794353437407222,0.7348803529685117
SP8,0.512088933747368,0.8239984134342577
BCL11B,0.44810487056818615,0.8169252780731044
HIST1H2BF,0.3488718731384794,0.8027297895351071
C22orf42,0.19676847372899572,0.7537283419265213
OR11H2,0.2965715090447585,0.7912266387287354
CXCL11,0.517056597821092,0.8246376754012672
ETV4,1.6770965194450438e-7,6.418180769629522e-6
ZC3H13,0,0
RNF133,0.41199476324548245,0.8125232945550261
PRAMEF20,0.21873851664869207,0.7639841321840961
XAGE5,0.147990434253579,0.7186045437826256
MYO3B,0.4841101389399964,0.8210064283784344
ZEB2,0.4191096076657813,0.8134784339246357
GABRR3,6.2991835116450924e-6,2.615246137941396e-4
OR13H1,0.5046355537966901,0.8231975075508546
TMPRSS11B,0.4722591854606181,0.8197351660963921
WFDC11,0.3389822909470645,0.8008887834155342
HLA-DMB,0.49097169758605924,0.8217816925074864
ZC3H4,5.756239454769917e-5,0.0021291968776865344
CYLC1,0.48985307998683275,0.8216763259666283
E2F6,0.3659284111912331,0.8057722851207261
SERPINB12,0.11869714883892915,0.6826972219286569
GLTSCR1L,0.2519763379131079,0.7777287030470932
HDAC8,9.366079014327453e-17,5.995204332975845e-15
CSH2,0.4016969326301162,0.8109768097134559
NMNAT1,0.0010436677470838562,0.02859527751674551
GABRG2,0.31016112429324905,0.7947560721997462
TAS2R19,0.19297597529659544,0.7515738938262628
TNFRSF10C,0.3598327413522388,0.8046893431199218
CLEC4A,0.5237556489967579,0.8255557253602493
OR5K1,0.36556771075100586,0.8056971776547354
EXPH5,2.9758165564699044e-5,0.0010529953467479647
PIK3C2A,0.3295267814031574,0.7991220215978247
DPF3,0.4297005260129242,0.8147218314217853
TNFSF18,0.14073271586336394,0.7108406528845013
NR2F1,0.4541016886248617,0.8176293932979269
ZNF37A,0.5093197101134777,0.8237266674674519
IDO2,0.4575840570287529,0.818007078016209
ANKFN1,0.2723043676318029,0.7845619462179005
KLKB1,0.06816991119969021,0.5768312592630455
MRLN,0.32625475627481937,0.798368332606549
IL18RAP,0.4180259773684371,0.813299317910239
SPATA31D1,0.4498232246028708,0.8171252745465978
OR4E2,0.5037482546272624,0.8230773466546855
OR2AK2,0.45861423444766825,0.8181392514582723
CONTROL,0.5259847566297182,0.9682437045847953
MOAP1,0.392314283518376,0.809620642115895
CRIP3,0.14015405184773214,0.7102818703478608
DAZL,0.4436163786405475,0.8163567428181638
RXFP2,0.37543130856607093,0.8072646542209386
C2,0.37842422125172426,0.807666066539393
OR5D13,0.4924132716604528,0.8219157236980212
OVOS2,0.21958020351262772,0.764510539766357
SLC25A45,0.4747607718648307,0.8199916633244475
HDAC9,0.5164184935325034,0.8245373997039788
FAM86B2,0.3225568664487278,0.7976347892315383
PAPD4,0.44652060162900453,0.8167042983235656
DIEXF,0,0
PIWIL3,0.44542400645339,0.8165871143653834
HIGD1A,0.2331803668613485,0.7703703068985337
JKAMP,0.3567828400166436,0.8041743757593952
SYDE1,0.4988489130041336,0.8225815721291581
GSTCD,0.1260271080600289,0.6935128850242768
MAJIN,0.36833117631689016,0.8061397534317869
MLF1,0.4111697022735549,0.8123475275783806
GLIPR1L2,0.23605379941324456,0.7713016714098618
RFPL2,0.38861850505768886,0.8091631931112364
SPATA13,0.473492708758919,0.8198703105850687
LOC646588,0.4781347527753549,0.8203492836652316
C3AR1,0.4929556153634728,0.8219754114388443
CTAGE8,0.24212209057212886,0.7738612510496612
GCNT3,0.49355409512628906,0.8220310031595159
SP9,0.4424274139815755,0.816237642234493
RTCB,0,0
MMP20,3.185793090080771e-10,1.3009385568807375e-8
SYT16,0.4631824048352465,0.8187008585376419
POTEB3,0.2882215431826974,0.7889453095838523
SLCO1C1,0.5088095748008434,0.823668806852236
NKX3-2,0.5161827837363848,0.8245038598435223
OR2G6,0.38509345139433837,0.8085995057691819
ICE1,0,0
BTN3A3,0.49770507959151683,0.8224738545304932
PRMT6,0.10433305543870795,0.6594374132147975
RIPK2,0.4762751389883542,0.8201597488553017
OCLM,0.3895645093042485,0.8092449782267581
LCP2,0.32405072067684737,0.7978971124903773
PLP1,0.07082830230152104,0.5857830554343979
OR8I2,0.43788496040328495,0.8157050302787081
ZNF404,0.4615569421495953,0.8184947948800383
THRB,0.008999649388141247,0.18103621174035844
ELMOD3,0.04258166767588714,0.4804488200818533
OR13G1,0.44599799387597255,0.8166507645845277
TMX3,7.793900603872216e-12,3.0148583629596715e-10
PFDN1,0,0
CTSC,0.4315302080486014,0.8149728515540154
OR13C9,0.5126062440966122,0.8240611443347308
OR13C5,0.10193168933949463,0.6539678954809589
UTP11,0,0
FPR3,0.26074498154959136,0.7809301932347839
WDR24,1.4820357645907675e-9,5.841275352302944e-8
OR6C68,0.25555562982543384,0.7790332265645462
OR6C2,0.5044367652538811,0.8231766534052904
OR5M11,0.3127034802801301,0.7954725180276248
MBNL3,0.5084391986664314,0.8236309038770357
FAM83E,0.5026737082824664,0.8229557468078692
PCDHGC3,0.43448186704429714,0.8152534863787732
OR10AG1,0.40861591570455785,0.8120009749711632
EYA3,0.07484413372178939,0.5966072268131125
TBC1D15,0.2305147043583152,0.7690873496304845
KLHL4,0.43619053484851944,0.8155119304508502
MTERF1,0.011925625036818674,0.2223224616559325
CREB3L4,0.51317342670312,0.8241230843773985
PIN4,0.32831493496374453,0.7988448092399294
ATF7IP,0.021652829871228768,0.3238861727327317
ALDOB,0.3511031095369691,0.8032212525046706
OLFML3,0.4711047689726168,0.8195988544902215
SMNDC1,0,0
ZNF654,0.21236281751059655,0.7611468045138674
CASP4,0.483947381128682,0.8209883899837769
OAZ2,0.46583094847504264,0.8189904437976196
GPR150,0.4601723282122429,0.8183370633393143
CDV3,0.026306097799161175,0.3622348086069349
VPS16,0,0
OR2L3,0.25930895575535573,0.7804577212358819
SEMA4A,0,0
MYH15,0.428045312215707,0.8144805160589115
SHC4,0.4663696087123287,0.8190249169990731
GRIK2,0.23375711206434968,0.7704675629546482
WBSCR28,0.454340606473767,0.8176507659261173
ACOT4,0.16705149562459964,0.7343078625148403
MYO1A,0.29187738663395424,0.7900529094911817
CFLAR,0.029518837944848608,0.38686340923741047
FAM102B,0.10681073494019844,0.663777972562227
OR2L8,0.4913624929872367,0.8218237909387098
ATF6,0.34177965833220436,0.8013822397045628
OR6C75,0.46210795854117587,0.8185517680174528
PAPPA2,0.386384519950715,0.8087997609059142
VWA2,0.4797462966666187,0.8204956725196835
TAS2R31,0.1353596790154921,0.7048265794658861
SOX2,0.46438679984754955,0.8188326192270312
NTS,0.16138341059174066,0.7297196863456945
RBMS2,0.4122886762572815,0.8125570183726774
ZMYND8,0.4420210051364101,0.8161934473410841
CAPN6,0.31288103105078113,0.795519193528807
UCN3,0.48585046239668706,0.8212174753711518
CTPS2,0.49320684425493044,0.8219978200512948
KRTAP21-3,0.3813109951984099,0.8080385890943846
PMCH,0.3873070582513756,0.8089927076788606
OR6C74,0.17797419358680447,0.7419574757656007
SEL1L2,0.3192831623491594,0.7969872264265986
TMEM191C,0.012067146603199288,0.2234359271121733
NXPE2,0.5232077353039593,0.8254960108580232
PIH1D3,0.38763564349769314,0.8090238849386071
JADE2,0.016520191299270487,0.27237184984241825
MUC22,0.15620910634832574,0.7258515272730932
CDKAL1,0.5049603384869195,0.8232288469577103
OR6C76,0.4430607384993559,0.816293883832613
OR6C6,0.4915770593554262,0.8218405781390146
MACC1,0.3721186264700245,0.8067699547791543
MTSS1,0.4541494964372649,0.8176330248581435
DDX3Y,0.42413991175275606,0.8140453768078434
GRXCR2,0.24240294696415918,0.7739200970132932
TIMM23,0.4333170380047426,0.8151419996448995
OR13C3,0.37876574218572834,0.807702056152687
ZNF775,0.3378546228880508,0.8006716765003197
WIPF1,0.09742737552294764,0.6460300565384671
VSIG1,0.25017169149616453,0.7770123598154561
IKBKB,0.5056798433191525,0.8233124813817376
PHEX,0.48457723806786507,0.8210543102430823
SNX17,8.822432838988894e-8,3.5207777523416084e-6
CTDNEP1,1.2418672958256327e-5,4.5783773415108975e-4
MED4,0,0
ZNF311,0.04698500872094501,0.5009079231134277
FAM133A,0.4350880988367874,0.8153399049572194
PCDHA13,0.3338268670847482,0.7999669112271026
TNFRSF1A,0.006163458225789427,0.13664948390031972
DPH3P1,3.986005620529957e-6,1.6252989304055276e-4
CXorf21,0.4804118007705662,0.8205830607907536
MOV10L1,0.4349037825004229,0.8153188787221017
MREG,0.007995105802131173,0.1629727293084533
OR4S2,0.40384450476554934,0.8113209571544112
SLFN12,0.4651553866839985,0.8189340649201449
KRTAP9-7,0.46630236372089023,0.8190242428944547
OR6K6,0.5031480802256586,0.8230041666660599
SULT1C4,0.36005440853210935,0.8047329641877338
KDM5A,0.28111587272964367,0.7871372468308766
ACOT6,0.5136531458434029,0.8241829974237526
OR5T1,0.47756622817540245,0.8202946108231703
PMP22,0.4616259076859571,0.8185049772891678
C14orf93,0.21626294721201555,0.7626892842708632
SELE,0.45963888725652985,0.8182542073213503
GOLPH3,0.44847436203403,0.8169869579452007
SMC4,0,0
C2orf15,0.43059048052515675,0.8148276618401553
PCDHA11,0.4874543747083962,0.8214444521174341
PTGES3L,0.36582025600842316,0.8057412135177696
DPH3,0.001080577763682927,0.029770847220558005
MTMR6,0.2707677642457102,0.783965118511197
PRG4,0.43713074920670153,0.8156238633609548
FREM1,0.12410639364010928,0.689669079652437
TYSND1,0.4180545647401635,0.8133035662288295
AGTR2,0.35883273191471915,0.80453820940656
ZNF593,0,0
LURAP1L,0.3633920351746328,0.8053443433213688
FAM72B,0.5118642587390629,0.8239810721758506
UNC5C,0.4858705998868721,0.8212202239378215
LRTOMT,2.5972084636413396e-4,0.00820801489346612
OCM,0.4966861231506273,0.8223395365353989
OR2D3,0.45388640476246433,0.8176100605185768
SPRR2G,0.5161153766079193,0.8244994600886529
OR2T12,0.20649165666201522,0.7584744561633154
TCN1,0.4297815901195551,0.8147362016248578
CYP21A2,3.1081799712477815e-5,0.0011177442871458387
KLK12,0.32409327594273746,0.7979036063632985
KRTAP9-2,0.3935009439688738,0.8098147317825715
NRIP3,0.5106317442455816,0.8238430753039501
GKN2,0.36310044784596374,0.8053157945787238
PRTFDC1,0.4487940317045875,0.8170176808271338
BTN2A1,0.08367366888884602,0.6189214624355144
DDX28,0.19387927224304724,0.7520280517068744
GTF3C3,0,0
SULT1E1,0.4353511164508579,0.8153875815065844
ZRSR2,0,0
EBLN2,0.4709954906017857,0.8195809883828572
ALG8,9.529399972001552e-9,3.366487153488862e-7
RASGRP3,0.33611301686497425,0.8004197154832177
C15orf65,0.4362428846136182,0.8155173459423992
HGD,0.5028928153205988,0.8229825407508473
MAN1C1,0.4295112513206444,0.814703012118098
INTS7,0,0
SAMD5,0.4153215885613586,0.8129247395057904
LRRIQ3,0.48177668750060443,0.8207370804964503
LYZL4,0.31715144779272864,0.7964634237245806
OR10A3,0.4081374419103856,0.8119364459639664
KLHL40,0.4053051260104182,0.8115131819300719
CCDC58,0.4285351081652144,0.8145455704054031
SDF2,0,0
ZBTB4,4.7132109535973624e-18,4.440892098500626e-16
FGF2,0.45297475326102243,0.8175085362434804
CREBRF,0.2926412772731802,0.7903017439235493
KATNA1,0.07380128283942196,0.5936550922598687
FASTKD1,0.216505197551696,0.7627341798941155
ZNF785,0.4321720921112712,0.8150241460718815
SMAP2,2.9121358619425996e-5,0.0010382777281302547
TLE1,0,0
SMAD4,2.8116126996883276e-11,1.0148343276839e-9
RSPH6A,0.41753941389709726,0.8132142785953811
OR5D14,0.4748250135190334,0.8199992595892617
SMIM18,0.27515229018684534,0.7853229809004689
C2orf16,0.5191051640292067,0.8248553523568406
CREB5,0.26085108798009515,0.7809332334505071
ZNF544,0.05600306179147819,0.5343090502615715
PCDHB16,0.5227389130720947,0.8254478689880766
DR1,2.934158917263593e-13,1.2216228029160447e-11
NIPAL3,0.39696071468515914,0.8102839194593392
DYTN,0.5174583545962744,0.8246952115300406
CATIP,0.5234819280843852,0.8255230154553109
NAT14,0.44100136657762556,0.8160524146268913
PPP3R2,0.31105575341641656,0.7950203880022977
TRAPPC2,0.131776766311633,0.700953859529902
INPP1,0,0
HSD17B11,0.32621254674631406,0.7983555433442049
MED6,0,0
