gene,fdr,stat
ATP6AP1,5.291565e-5,1
RBM22,5.291565e-5,2
PSMA5,5.291565e-5,3
DCTN3,5.291565e-5,4
UTP20,5.291565e-5,5
MRPL45,5.291565e-5,6
SRP14,5.291565e-5,7
PRIM2,5.291565e-5,8
TARS2,5.291565e-5,9
RPL4,5.291565e-5,10
RPL10A,5.291565e-5,11
MDN1,5.291565e-5,12
AURKB,5.291565e-5,13
RTEL1,5.291565e-5,14
CWC22,5.291565e-5,15
WDR12,5.291565e-5,16
PPAN,5.291565e-5,17
GINS2,5.291565e-5,18
MIS18BP1,5.291565e-5,19
RPL26,5.291565e-5,20
CLSPN,5.291565e-5,21
POLR2D,5.291565e-5,22
NUDC,5.291565e-5,23
TCOF1,5.291565e-5,24
SARS,5.291565e-5,25
RPS19BP1,5.291565e-5,26
IMP3,5.291565e-5,27
GEMIN2,5.291565e-5,28
MCM2,5.291565e-5,29
CLTC,5.291565e-5,30
CCT2,5.291565e-5,31
RBSN,5.291565e-5,32
RPS17,5.291565e-5,33
IMPDH2,5.291565e-5,34
MEN1,5.291565e-5,35
BDP1,5.291565e-5,36
RPAP3,5.291565e-5,37
PSMB5,5.291565e-5,38
SRP68,5.291565e-5,39
RUVBL2,5.291565e-5,40
SNRPD3,5.291565e-5,41
FPGS,5.291565e-5,42
RPS13,5.291565e-5,43
CASP8AP2,5.291565e-5,44
PRELID1,5.291565e-5,45
GPN1,5.291565e-5,46
RRAGA,5.291565e-5,47
LAMTOR2,5.291565e-5,48
PSMB2,5.291565e-5,49
POLR2G,5.291565e-5,50
ATP6V1F,5.291565e-5,51
CEP295,5.291565e-5,52
NUDCD3,5.291565e-5,53
GART,5.291565e-5,54
PSMD7,5.291565e-5,55
UTP3,5.291565e-5,56
EIF2B3,5.291565e-5,57
EXOSC1,5.291565e-5,58
GTF3C3,5.291565e-5,59
PSMA3,5.291565e-5,60
WDR5,5.291565e-5,61
CLNS1A,5.291565e-5,62
PLK4,5.291565e-5,63
GLRX3,5.291565e-5,64
ASH2L,5.291565e-5,65
CIT,5.291565e-5,66
GBF1,5.291565e-5,67
SCFD1,5.291565e-5,68
DDX41,5.291565e-5,69
UPF1,5.291565e-5,70
MIS18A,5.291565e-5,71
SNRNP25,5.291565e-5,72
HSD17B10,5.291565e-5,73
WDR36,5.291565e-5,74
NUTF2,5.291565e-5,75
E4F1,5.291565e-5,76
POLR2K,5.291565e-5,77
EXOC2,5.291565e-5,78
DKC1,5.291565e-5,79
DDX1,5.291565e-5,80
BIRC5,5.291565e-5,81
EPHB4,5.291565e-5,82
USP37,5.291565e-5,83
EP400,5.291565e-5,84
EIF2B5,5.291565e-5,85
PTPN23,5.291565e-5,86
ZBTB11,5.291565e-5,87
HSPA9,5.291565e-5,88
CPSF2,5.291565e-5,89
PI4KA,5.291565e-5,90
RPP30,5.291565e-5,91
EIF3M,5.291565e-5,92
SMU1,5.291565e-5,93
BOD1L1,5.291565e-5,94
ANAPC1,5.291565e-5,95
DSCC1,5.291565e-5,96
POLR1A,5.291565e-5,97
LONP1,5.291565e-5,98
NDOR1,5.291565e-5,99
ACTR1A,5.291565e-5,100
NEDD8,5.291565e-5,101
MIPEP,5.291565e-5,102
HNRNPC,5.291565e-5,103
XPO1,5.291565e-5,104
ATP6V1A,5.291565e-5,105
RBM8A,5.291565e-5,106
EIF5A,5.291565e-5,107
NUP98,5.291565e-5,108
RPS11,5.291565e-5,109
SURF6,5.291565e-5,110
RPS29,5.291565e-5,111
PGS1,5.291565e-5,112
SF3A2,5.291565e-5,113
ARCN1,5.291565e-5,114
TP53RK,5.291565e-5,115
COPA,5.291565e-5,116
RRP36,5.291565e-5,117
TRNT1,5.291565e-5,118
COG2,5.291565e-5,119
LRPPRC,5.291565e-5,120
ARL2,5.291565e-5,121
CSE1L,5.291565e-5,122
PPIL2,5.291565e-5,123
EXOC5,5.291565e-5,124
EIF1AX,5.291565e-5,125
IARS2,5.291565e-5,126
GTF3C6,5.291565e-5,127
CFAP20,5.291565e-5,128
SF3B5,5.291565e-5,129
TANGO6,5.291565e-5,130
