gene,fdr,stat
MCM2,0.00495,5.7739e-8
POLR2G,0.007426,3.5824e-7
DRD2,0.011139,5.4759e-7
LRPPRC,0.011139,8.452e-7
DDB1,0.012376,1.066e-6
CLSPN,0.012376,1.1167e-6
BRIX1,0.035272,4.3736e-6
RUVBL2,0.035272,4.5461e-6
MYCBP2,0.039745,5.7792e-6
CLTC,0.039745,6.8282e-6
BOP1,0.039745,7.6006e-6
DCTN3,0.039745,8.0609e-6
ZBTB11,0.039745,8.8536e-6
RCL1,0.039745,9.8909e-6
CENPE,0.039745,1.054e-5
MED30,0.039745,1.0591e-5
SYMPK,0.039745,1.1271e-5
RPL9,0.039745,1.2287e-5
RRM2,0.039745,1.3184e-5
NUDCD3,0.039745,1.4499e-5
MCM5,0.039745,1.4562e-5
PPP1R8,0.039745,1.4753e-5
HSD17B10,0.039745,1.4763e-5
PSMA5,0.039745,1.5665e-5
GINS3,0.039745,1.7492e-5
GEMIN2,0.039745,1.778e-5
RFC5,0.039745,1.8254e-5
PELP1,0.039745,1.8774e-5
KIN,0.039745,1.9688e-5
INTS3,0.039745,1.9882e-5
EIF2B5,0.039745,2.0112e-5
TCOF1,0.039745,2.0993e-5
RACGAP1,0.039745,2.1277e-5
TRNT1,0.039745,2.2693e-5
TNPO3,0.039745,2.2778e-5
DCAF1,0.044967,2.6533e-5
PPIE,0.047548,2.9385e-5
RIOK2,0.047548,3.0182e-5
LAS1L,0.047548,3.0563e-5
UTP14C,0.047548,3.1825e-5
PPIL2,0.047548,3.3066e-5
PMPCA,0.047548,3.3949e-5
TTI2,0.047548,3.4116e-5
POLR2H,0.047592,3.4621e-5
NUBP1,0.048752,3.7043e-5
TAF2,0.048752,3.722e-5
ACTR6,0.048978,3.8235e-5
NUF2,0.051155,4.1073e-5
RPL26,0.051155,4.4646e-5
ZCRB1,0.051155,4.4847e-5
NMD3,0.051155,4.511e-5
NELFCD,0.051155,4.5859e-5
HEATR1,0.051155,4.7302e-5
HINFP,0.051155,4.765e-5
SLC38A6,0.051155,4.7929e-5
FCF1,0.051155,4.814e-5
DHDDS,0.051155,4.9058e-5
RRM1,0.05412,5.4664e-5
ATXN10,0.05412,5.4741e-5
COX6B1,0.054538,5.5955e-5
RPS17,0.055429,5.77e-5
PPAN,0.05741,5.9541e-5
SNRPG,0.058384,6.1836e-5
NUP214,0.060566,6.4444e-5
NEDD1,0.060862,6.7917e-5
TANGO6,0.060862,6.9251e-5
EIF2B4,0.060862,6.9519e-5
PRIM2,0.060862,7.042e-5
NCL,0.061115,7.2522e-5
MRPL38,0.061115,7.4103e-5
TWNK,0.061115,7.5991e-5
ACTL6A,0.061115,7.6947e-5
EXOC3,0.061115,7.8299e-5
CKAP5,0.061115,7.8688e-5
EIF5B,0.061115,7.9863e-5
NEFL,0.061115,8.255e-5
TREX2,0.061115,8.356e-5
ZMAT2,0.061115,8.9158e-5
RPS3A,0.061115,8.9582e-5
COPS8,0.061115,9.2481e-5
SRP68,0.061115,9.3899e-5
LONP1,0.061115,9.4009e-5
ATP6V1A,0.061115,9.4559e-5
TOP1,0.061115,9.489e-5
BARD1,0.061115,9.5887e-5
SSRP1,0.061115,9.6109e-5
PHAX,0.061115,9.6444e-5
SARS,0.061115,9.9033e-5
RAN,0.061115,9.9374e-5
SRBD1,0.061115,9.9945e-5
PGD,0.061115,1.0017e-4
