gene,fdr
A1BG,0.9999999999999984
A1CF,0.9999999999999984
A2M,0.9999999999999984
A2ML1,0.9999999999999984
A3GALT2,0.9999999999999984
A4GALT,0.9999999999999984
A4GNT,0.9999999999999984
AAAS,0.8557003229354806
AACS,0.9999999999999984
AADAC,0.9999999999999984
AADACL2,0.9999999999999984
AADACL3,0.9999999999999984
AADACL4,0.9999999999999984
AADAT,0.9999999999999984
AAED1,0.9999999999999984
AAGAB,0.0022137363827156665
AAK1,0.8764044070876816
AAMDC,0.9999999999999984
AAMP,0.09531624850227853
AANAT,0.9999999999999984
AAR2,0.02675314392662422
AARD,0.9999999999999984
AARS,2.462164297312747e-4
AARS2,4.282599506333732e-4
AARSD1,0.9999999999999984
AASDH,0.9999999999999984
AASDHPPT,0.5073846433836148
AASS,0.9999999999999984
AATF,0.0011638350568875134
AATK,0.9999999999999984
ABAT,0.9999999999999984
ABCA1,0.004240503334004534
ABCA10,0.9999999999999984
ABCA12,0.9999999999999984
ABCA13,0.9999999999999984
ABCA2,0.9999999999999984
ABCA3,0.9999999999999984
ABCA4,0.9999999999999984
ABCA5,0.9999999999999984
ABCA6,0.9999999999999984
ABCA7,0.9999999999999984
ABCA8,0.9999999999999984
ABCA9,0.9999999999999984
ABCB1,0.9999999999999984
ABCB10,0.9999999999999984
ABCB11,0.9999999999999984
ABCB4,0.9999999999999984
ABCB5,0.9999999999999984
ABCB6,0.9999999999999984
ABCB7,0.04281360632440063
ABCB8,0.9999999999999984
ABCB9,0.9999999999999984
ABCC1,0.656730571855073
ABCC10,0.9999999999999984
ABCC11,0.9999999999999984
ABCC12,0.5833958941548304
ABCC2,0.9999999999999984
ABCC3,0.9999999999999984
ABCC4,0.08069035720824824
ABCC5,0.9999999999999984
ABCC6,0.9999999999999984
ABCC8,0.9999999999999984
ABCC9,0.16173003288386312
ABCD1,0.9999999999999984
ABCD2,0.9999999999999984
ABCD3,0.1891186583183538
ABCD4,0.9999999999999984
ABCE1,0.011260510826576095
ABCF1,0.9999999999999984
ABCF2,0.9999999999999984
ABCF3,0.9999999999999984
ABCG1,0.9999999999999984
ABCG2,0.9999999999999984
ABCG4,0.9999999999999984
ABCG5,0.3918641923740528
ABCG8,0.9999999999999984
ABHD1,0.9644256181611948
ABHD10,0.9999999999999984
ABHD11,0.017035981626392128
ABHD12,0.9999999999999984
ABHD12B,0.9999999999999984
ABHD13,0.9525332408531846
ABHD14A,0.306745737786839
ABHD14B,0.9999999999999984
ABHD15,0.9999999999999984
ABHD16A,0.9999999999999984
ABHD16B,0.9999999999999984
ABHD17A,0.9999999999999984
ABHD17B,0.9999999999999984
ABHD17C,0.9999999999999984
ABHD2,0.9999999999999984
ABHD3,0.9999999999999984
ABHD4,0.9999999999999984
ABHD5,0.9999999999999984
ABHD6,0.006370786189373187
ABHD8,0.9999999999999984
ABI1,0.9999999999999984
ABI2,0.9999999999999984
ABI3,0.9999999999999984
ABI3BP,0.9999999999999984
ABL1,0.9999999999999984
ABL2,0.9999999999999984
ABLIM1,0.9999999999999984
ABLIM2,0.9999999999999984
ABLIM3,0.9999999999999984
ABO,0.7388150916658344
ABR,0.11030392744286892
ABRA,0.9999999999999984
ABRACL,0.9999999999999984
ABT1,6.8236148377634e-4
ABTB1,0.9999999999999984
ABTB2,0.9999999999999984
ACAA1,0.9999999999999984
ACAA2,0.9999999999999984
ACACA,0.06604885053932523
ACACB,0.9999999999999984
ACAD10,0.9999999999999984
ACAD11,0.33941856122839714
ACAD8,0.9999999999999984
ACAD9,0.1870301888151217
ACADL,0.9999999999999984
ACADM,0.9999999999999984
ACADS,0.9999999999999984
ACADSB,0.012776845317559295
ACADVL,0.9999999999999984
ACAN,0.9999999999999984
ACAP1,0.9999999999999984
ACAP2,0.9999999999999984
ACAP3,0.9999999999999984
ACAT1,0.9999999999999984
ACAT2,0.9999999999999984
ACBD3,0.9999999999999984
ACBD4,0.9999999999999984
ACBD5,0.040000550882073826
ACBD6,0.7258086818586497
ACBD7,0.9999999999999984
ACCS,0.9999999999999984
ACCSL,0.9999999999999984
ACD,5.221367017473301e-4
ACE,0.9999999999999984
ACE2,0.9999999999999984
ACER1,0.9999999999999984
ACER2,0.9999999999999984
ACER3,0.9999999999999984
ACHE,0.9999999999999984
ACIN1,0.4313733205841175
ACKR1,0.9999999999999984
ACKR2,0.9999999999999984
ACKR3,0.9999999999999984
ACKR4,0.9999999999999984
ACLY,0.17262769840288347
ACMSD,0.9999999999999984
ACO1,0.9999999999999984
ACO2,1.6544721932890334e-4
ACOD1,0.9999999999999984
ACOT1,0.9999999999999984
ACOT11,0.9999999999999984
ACOT12,0.9999999999999984
ACOT13,0.36793029620427903
ACOT2,0.9999999999999984
ACOT4,0.9999999999999984
ACOT6,0.9999999999999984
ACOT7,0.9999999999999984
ACOT8,0.9999999999999984
ACOT9,0.9999999999999984
ACOX1,0.3455851058258376
ACOX2,0.9999999999999984
ACOX3,0.9999999999999984
ACOXL,0.9999999999999984
ACP1,0.9999999999999984
ACP2,0.9999999999999984
ACP5,0.9999999999999984
ACP6,0.9999999999999984
ACPP,0.9999999999999984
ACPT,0.7714608795971158
ACR,0.9999999999999984
ACRBP,0.31214671380950854
ACRV1,0.9999999999999984
ACSBG1,0.9999999999999984
ACSBG2,0.9999999999999984
ACSF2,0.9999999999999984
ACSF3,0.9999999999999984
ACSL1,0.9999999999999984
ACSL3,0.05167310058836986
ACSL4,0.9999999999999984
ACSL5,0.9999999999999984
ACSL6,0.9999999999999984
ACSM1,0.9999999999999984
ACSM2A,0.9999999999999984
ACSM2B,0.9999999999999984
ACSM3,0.9999999999999984
ACSM4,0.9999999999999984
ACSM5,0.9999999999999984
ACSM6,0.9999999999999984
ACSS1,0.9999999999999984
ACSS2,0.9999999999999984
ACSS3,0.9602556220617267
ACTA1,0.15075400177237686
ACTA2,0.9999999999999984
ACTB,0.9999999999999984
ACTBL2,0.9999999999999984
ACTC1,0.9999999999999984
ACTG1,0.9999999999999984
ACTG2,0.9999999999999984
ACTL10,0.9999999999999984
ACTL6A,9.251184410226952e-4
ACTL6B,0.9999999999999984
ACTL7A,0.9999999999999984
ACTL7B,0.9182862971472211
ACTL8,0.9999999999999984
ACTL9,0.9999999999999984
ACTN1,0.3846983969616905
ACTN2,0.9999999999999984
ACTN3,0.9999999999999984
ACTN4,0.9999999999999984
ACTR10,1.3110789275058032e-4
ACTR1A,2.3061992476165044e-4
ACTR1B,0.9999999999999984
ACTR2,0.0015292464434882521
ACTR3,0.003843963314954744
ACTR3B,0.9999999999999984
ACTR3C,0.9999999999999984
ACTR5,0.9720399341952349
ACTR6,0.0010564821071827547
ACTR8,0.009891102236690548
ACTRT1,0.9999999999999984
ACTRT2,0.9999999999999984
ACTRT3,0.9999999999999984
ACVR1,0.2775931509783928
ACVR1B,0.9999999999999984
ACVR1C,0.9999999999999984
ACVR2A,0.9999999999999984
ACVR2B,0.9999999999999984
ACVRL1,0.9999999999999984
ACY1,0.008143500552911255
ACY3,0.9999999999999984
ACYP1,0.9999999999999984
ACYP2,0.9999999999999984
ADA,0.9999999999999984
ADA2,0.9999999999999984
ADAD1,0.9999999999999984
ADAD2,0.9999999999999984
ADAL,0.9190766030404482
ADAM10,0.4137800919620478
ADAM11,0.4682406395655344
ADAM12,0.9999999999999984
ADAM15,0.9999999999999984
ADAM17,0.9999999999999984
ADAM18,0.9999999999999984
ADAM19,0.9999999999999984
ADAM2,0.9999999999999984
ADAM20,0.9999999999999984
ADAM21,0.9999999999999984
ADAM22,0.8847020885540894
ADAM23,0.9999999999999984
ADAM28,0.9999999999999984
ADAM29,0.9999999999999984
ADAM30,0.9999999999999984
ADAM32,0.8198785284380958
ADAM33,0.9999999999999984
ADAM7,0.9999999999999984
ADAM8,0.9999999999999984
ADAM9,0.9999999999999984
ADAMDEC1,0.9999999999999984
ADAMTS1,0.9999999999999984
ADAMTS10,0.8306393819384752
ADAMTS12,0.9999999999999984
ADAMTS13,0.9999999999999984
ADAMTS14,0.9999999999999984
ADAMTS15,0.9999999999999984
ADAMTS16,0.9999999999999984
ADAMTS17,0.9999999999999984
ADAMTS18,0.9999999999999984
ADAMTS19,0.9999999999999984
ADAMTS2,0.9999999999999984
ADAMTS20,0.9999999999999984
ADAMTS3,0.9999999999999984
ADAMTS4,0.4508912659961882
ADAMTS5,0.9999999999999984
ADAMTS6,0.9999999999999984
ADAMTS7,0.9999999999999984
ADAMTS8,0.9999999999999984
ADAMTS9,0.9999999999999984
ADAMTSL1,0.9999999999999984
ADAMTSL2,0.9999999999999984
ADAMTSL3,0.9999999999999984
ADAMTSL4,0.9999999999999984
ADAMTSL5,0.7370659977428347
ADAP1,0.6731507493777628
ADAP2,0.9999999999999984
ADAR,0.004271762824942938
ADARB1,0.9999999999999984
ADARB2,0.9999999999999984
ADAT1,0.9999999999999984
ADAT2,4.441347077890378e-4
ADCK1,0.9999999999999984
ADCK2,0.9999999999999984
ADCK5,0.9999999999999984
ADCY1,0.9999999999999984
ADCY10,0.8534001031254123
ADCY2,0.5418005957559583
ADCY4,0.9999999999999984
ADCY5,0.9999999999999984
ADCY6,0.9535460696149353
ADCY7,0.9999999999999984
ADCY8,0.9999999999999984
ADCY9,0.9999999999999984
ADCYAP1,0.5401510853501053
ADCYAP1R1,0.9999999999999984
ADD1,0.9999999999999984
ADD2,0.9999999999999984
ADD3,0.39715346099029425
ADGB,0.9999999999999984
ADGRA1,0.9999999999999984
ADGRA2,0.9999999999999984
ADGRA3,0.6763719719110449
ADGRB1,0.4631426870692255
ADGRB2,0.9999999999999984
ADGRB3,0.9999999999999984
ADGRD1,0.7220066564876026
ADGRD2,0.9999999999999984
ADGRE1,0.9999999999999984
ADGRE2,0.9999999999999984
ADGRE3,0.9999999999999984
ADGRE5,0.9999999999999984
ADGRF1,0.9999999999999984
ADGRF2,0.9999999999999984
ADGRF3,0.9999999999999984
ADGRF4,0.9999999999999984
ADGRF5,0.9999999999999984
ADGRG1,0.9999999999999984
ADGRG2,0.9999999999999984
ADGRG3,0.9999999999999984
ADGRG4,0.9999999999999984
ADGRG5,0.9999999999999984
ADGRG6,0.9999999999999984
ADGRG7,0.9999999999999984
ADGRL1,0.9999999999999984
ADGRL2,0.9999999999999984
ADGRL3,0.9999999999999984
ADGRL4,0.9999999999999984
ADGRV1,0.9999999999999984
ADH1A,0.9999999999999984
ADH1B,0.9999999999999984
ADH1C,0.9999999999999984
ADH4,0.9999999999999984
ADH5,0.9999999999999984
ADH6,0.9999999999999984
ADH7,0.9999999999999984
ADHFE1,0.9999999999999984
ADI1,0.9999999999999984
ADIG,0.9999999999999984
ADIPOQ,0.9999999999999984
ADIPOR1,0.3367893650242421
ADIPOR2,0.9999999999999984
ADIRF,0.9999999999999984
ADK,0.9999999999999984
ADM,0.9999999999999984
ADM2,0.9999999999999984
ADM5,0.9999999999999984
ADNP,0.9999999999999984
ADNP2,0.9999999999999984
ADO,0.6883305761362615
ADORA1,0.9999999999999984
ADORA2A,0.9999999999999984
ADORA2B,0.9999999999999984
ADORA3,0.9999999999999984
ADPGK,0.9999999999999984
ADPRH,0.06844712953858806
ADPRHL1,0.9999999999999984
ADPRHL2,0.9999999999999984
ADPRM,0.7450529911450041
ADRA1A,0.9999999999999984
ADRA1B,0.9999999999999984
ADRA1D,0.9999999999999984
ADRA2A,0.9999999999999984
ADRA2B,0.9999999999999984
ADRA2C,0.6116731167280113
ADRB1,0.9999999999999984
ADRB2,0.9999999999999984
ADRB3,0.9999999999999984
ADRM1,0.11152004326761433
ADSL,0.009928088800261184
ADSS,0.003219789491081076
ADSSL1,0.9999999999999984
ADTRP,0.9999999999999984
AEBP1,0.9999999999999984
AEBP2,0.7929688658902592
AEN,0.9999999999999984
AES,0.9999999999999984
AFAP1,0.9999999999999984
AFAP1L1,0.3777407288996512
AFAP1L2,0.9999999999999984
AFDN,0.5697586797394237
AFF1,0.9999999999999984
AFF2,0.8139893674934547
AFF3,0.9999999999999984
AFF4,0.9999999999999984
AFG1L,0.9999999999999984
AFG3L2,0.001256556710211435
AFM,0.9999999999999984
AFMID,0.9999999999999984
AFP,0.9999999999999984
AFTPH,0.7200486704958798
AGA,0.9999999999999984
AGAP1,0.9999999999999984
AGAP11,0.9999999999999984
AGAP2,0.9999999999999984
AGAP3,0.9999999999999984
AGAP4,0.9999999999999984
AGAP5,0.9999999999999984
AGAP6,0.9999999999999984
AGAP9,0.9999999999999984
AGBL1,0.9999999999999984
AGBL2,0.9999999999999984
AGBL3,0.9999999999999984
AGBL4,0.9999999999999984
AGBL5,0.9999999999999984
AGER,0.9999999999999984
AGFG1,0.9999999999999984
AGFG2,0.9999999999999984
AGGF1,0.9999999999999984
AGK,0.023293480525806702
AGL,0.9999999999999984
AGMAT,0.9999999999999984
AGMO,0.9999999999999984
AGO1,0.9999999999999984
AGO2,0.9999999999999984
AGO3,0.9999999999999984
AGO4,0.9999999999999984
AGPAT1,0.9999999999999984
AGPAT2,0.0017879412881389558
AGPAT3,0.9999999999999984
AGPAT4,0.9999999999999984
AGPAT5,0.9999999999999984
AGPS,0.18170185598938846
AGR2,0.9999999999999984
AGR3,0.9999999999999984
AGRN,0.31976885817979084
AGRP,0.9999999999999984
AGT,0.9999999999999984
AGTPBP1,0.9999999999999984
AGTR1,0.9999999999999984
AGTR2,0.9999999999999984
AGTRAP,0.9999999999999984
AGXT,0.9999999999999984
AGXT2,0.9999999999999984
AHCTF1,0.05753323686059878
AHCY,0.9999999999999984
AHCYL1,0.034659443652295674
AHCYL2,0.9999999999999984
AHDC1,0.9999999999999984
AHI1,0.9999999999999984
AHNAK,0.914574400098875
AHNAK2,0.9999999999999984
AHR,0.21097653490145116
AHRR,0.9999999999999984
AHSA1,0.9999999999999984
AHSA2,0.9999999999999984
AHSG,0.9999999999999984
AHSP,0.9999999999999984
AICDA,0.9999999999999984
AIDA,0.9999999999999984
AIF1,0.9999999999999984
AIF1L,0.9999999999999984
AIFM1,0.33678449648292197
AIFM2,0.9999999999999984
