gene,fdr,stat
MCM2,0,0
DCTN3,0,0
RRM1,0,0
TARS2,0,0
CLSPN,0,0
SCFD1,0,0
PSMA5,0,0
RPL26,0,0
TRMT5,0,0
RPAP3,0,0
WDR5,0,0
RPS17,0,0
BDP1,0,0
POLR2D,0,0
RUVBL2,0,0
PRIM2,0,0
TRNT1,0,0
POLR2G,0,0
SEM1,0,0
MED7,0,0
FPGS,0,0
CWC22,0,0
EIF5B,0.007854583333333335,1e-5
CAMLG,0.007854583333333335,1e-5
CASP8AP2,0.011781875,2e-5
EXOC5,0.011781875,2e-5
KIAA0586,0.011781875,2e-5
NUDCD3,0.011781875,2e-5
GLRX3,0.011781875,2e-5
PPAN,0.011781875,2e-5
GBF1,0.011781875,2e-5
BUB1,0.011781875,2e-5
IMP3,0.015451639344262297,3e-5
HSD17B10,0.015451639344262297,3e-5
ZBTB11,0.015451639344262297,4e-5
PPIL2,0.015451639344262297,5e-5
POLR2C,0.015451639344262297,5e-5
DKC1,0.015451639344262297,5e-5
GEMIN2,0.015451639344262297,5e-5
PRELID1,0.015451639344262297,5e-5
CENPE,0.015451639344262297,5e-5
IMPDH2,0.015451639344262297,5e-5
WWTR1,0.015451639344262297,5e-5
MIS18BP1,0.015451639344262297,5e-5
GINS3,0.015451639344262297,5e-5
ATP6V1A,0.015451639344262297,5e-5
DDX41,0.015451639344262297,5e-5
WDR36,0.015451639344262297,5e-5
PMPCA,0.015451639344262297,5e-5
TCOF1,0.015451639344262297,5e-5
LRPPRC,0.015451639344262297,5e-5
HNRNPC,0.015451639344262297,5e-5
WDR12,0.015451639344262297,5e-5
MIPEP,0.015451639344262297,5e-5
UTP20,0.015451639344262297,5e-5
POLR1B,0.015451639344262297,5e-5
VPS72,0.015451639344262297,5e-5
RPL10A,0.015451639344262297,5e-5
SSB,0.015451639344262297,5e-5
CEP295,0.015451639344262297,5e-5
MNAT1,0.015451639344262297,5e-5
NEFL,0.016092317073170728,6e-5
IARS2,0.016092317073170728,7e-5
TCP1,0.016092317073170728,7e-5
TAF2,0.016092317073170728,7e-5
NUDC,0.016092317073170728,7e-5
MOB4,0.016092317073170728,7e-5
RPL4,0.016092317073170728,7e-5
RPS11,0.016092317073170728,7e-5
RRAGA,0.016092317073170728,7e-5
RBSN,0.016092317073170728,7e-5
DDB1,0.016092317073170728,7e-5
CLTC,0.016092317073170728,7e-5
WDR55,0.016092317073170728,7e-5
RPL9,0.016092317073170728,7e-5
E4F1,0.016092317073170728,7e-5
EIF2B5,0.016092317073170728,7e-5
PSMB5,0.016092317073170728,7e-5
EIF1AX,0.016092317073170728,7e-5
HMGCS1,0.016092317073170728,7e-5
PHAX,0.016092317073170728,7e-5
CCND1,0.016092317073170728,7e-5
SRP68,0.016457222222222224,8e-5
PSMB2,0.016457222222222224,9e-5
CCT2,0.016457222222222224,9e-5
BRCA1,0.016457222222222224,9e-5
RPS19BP1,0.016457222222222224,9e-5
MEN1,0.016457222222222224,9e-5
GFM1,0.016457222222222224,9e-5
