gene,fdr,stat
A1BG,1,0.5861381645140287
A1CF,1,1.2676518658578455
A2M,1,0.580764417521312
A2ML1,1,0.46131757456037936
A3GALT2,1,2.937649651961531
A4GALT,1,0.3572728381519289
A4GNT,1,2.4210290467361784
AAAS,0.5546257129579107,0.06966265141107687
AACS,1,2.2335722228305315
AADAC,1,0.7498942093324559
AADACL2,1,1.3740419750125152
AADACL3,1,1.4757065332758945
AADACL4,1,2.6121613543992064
AADAT,1,1.8281002161427427
AAED1,1,0.9705099672454897
AAGAB,0.17660378206861643,0.01386755828871888
AAK1,1,0.6576578373554205
AAMDC,1,0.7481695005111544
AAMP,0.9594006315159331,0.16749428760264373
AANAT,1,0.662216503701762
AAR2,0.6456542290346555,0.08770008211436349
AARD,1,2.28559880337543
AARS,0.07430191378967013,0.002648500138606701
AARS2,0.06591738952443213,0.0018407720014689563
AARSD1,1,1.355189412351036
AASDH,1,1.3645831365889245
AASDHPPT,0.5445026528424212,0.06760829753919818
AASS,1,2.5703957827688635
AATF,0.17701089583174212,0.013899526312133533
AATK,1,0.263633138582538
ABAT,1,1.4791083881682074
ABCA1,0.2600159563165272,0.024322040090738146
ABCA10,1,2.113489039836647
ABCA12,1,0.84527884516029
ABCA13,1,2.594179362118814
ABCA2,1,0.995405417351527
ABCA3,1,1.330454417978091
ABCA4,1,1.2735030810166617
ABCA5,1,0.6950243175887968
ABCA6,1,1.7021585083949506
ABCA7,1,0.4355118736855686
ABCA8,1,2.344228815319922
ABCA9,1,1.8706821403658007
ABCB1,1,2.0941124558508926
ABCB10,1,1.2078138351067802
ABCB11,1,1.7458221529205038
ABCB4,1,1.5031419660900223
ABCB5,1,1.9543394557753946
ABCB6,1,1.428893958511103
ABCB7,0.6180164001384159,0.08184647881347899
ABCB8,1,1.7100153150902877
ABCB9,1,1.4655478409559115
ABCC1,0.6194410750767815,0.08222426499470713
ABCC10,1,1.8967059212111463
ABCC11,1,0.6591738952443214
ABCC12,0.4295364267648873,0.04875284901033863
ABCC2,1,1.9142559250210855
ABCC3,1,1.297179270983956
ABCC4,0.9311078754678304,0.15776112696993486
ABCC5,1,0.84527884516029
ABCC6,1,0.9840111057611337
ABCC8,1,1.5488166189124815
ABCC9,0.9120108393559098,0.15240527537972914
ABCD1,1,1.7988709151287878
ABCD2,1,1.5031419660900223
ABCD3,1,0.27669416454115114
ABCD4,1,2.055890595984142
ABCE1,0.4045758916974427,0.04446312674691086
ABCF1,1,1.288249551693134
ABCF2,1,0.3881503659906483
ABCF3,1,1.840772001468956
ABCG1,1,0.9506047936562815
ABCG2,1,1.0739894123412448
ABCG4,1,1.4521116175877422
ABCG5,1,0.31045595881283555
ABCG8,1,1.4157937799570817
ABHD1,1,0.6095368972401691
ABHD10,1,2.7925438412373382
ABHD11,0.4207266283844441,0.047206304126359046
ABHD12,1,2.0137242498623884
ABHD12B,1,0.5597576014951101
ABHD13,1,0.2594179362118814
ABHD14A,1,0.2703958364108844
ABHD14B,1,0.5296634438916578
ABHD15,1,1.0115794542598986
ABHD16A,1,0.8279421637123342
ABHD16B,1,1.6292960326397223
ABHD17A,1,1.2676518658578455
ABHD17B,1,0.7888601176185545
ABHD17C,1,0.7128530301265196
ABHD2,1,0.5445026528424212
ABHD3,1,0.7227698036021702
ABHD4,1,2.2335722228305315
ABHD5,1,0.9375620069258802
ABHD6,0.5046612975635284,0.06095368972401691
ABHD8,1,1.9906733389871867
ABI1,1,0.6095368972401691
ABI2,1,0.8016780633876791
ABI3,1,1.5739828644662195
ABI3BP,1,1.6405897731995394
ABL1,1,0.21037784397664752
ABL2,1,2.5003453616964313
ABLIM1,1,2.654605561975539
ABLIM2,1,0.45919801283686856
ABLIM3,1,1.3867558288718884
ABO,0.7798301105232587,0.11721953655481303
ABR,0.8147042840208396,0.12589254117941673
ABRA,1,1.4723125024327188
ABRACL,1,2.654605561975539
ABT1,0.04698941086052153,5.382697825162882e-4
ABTB1,0.9397233105646379,0.16106456351782703
ABTB2,1,2.7669416454115114
ACAA1,1,1.6443717232149315
ACAA2,1,0.3890451449942806
ACACA,0.25351286304979076,0.023550492838960102
ACACB,1,1.5240527537972912
ACAD10,1,2.735268726306712
ACAD11,0.9506047936562815,0.16443717232149316
ACAD8,1,0.3047894989627983
ACAD9,0.24717241450161304,0.022750974307720707
ACADL,1,0.2202926463053456
ACADM,1,0.881048873008014
ACADS,0.9141132414702502,0.15310874616820302
ACADSB,0.5482769649208538,0.06854882264526617
ACADVL,1,0.2202926463053456
ACAN,1,0.9638290236239705
ACAP1,1,0.40926065973001086
ACAP2,1,1.406047524129914
ACAP3,1,1.5559656316050745
ACAT1,1,0.6918309709189365
ACAT2,1,0.9484184633008972
ACBD3,1,0.449779854893288
ACBD4,1,2.2387211385683394
ACBD5,0.8260379495771787,0.1294195841449986
ACBD6,1,0.5272298614228227
ACBD7,1,0.6456542290346555
ACCS,1,0.6591738952443214
ACCSL,1,0.7516228940182055
ACD,0.07294575102545688,0.0025061092530321138
ACE,1,0.3435579478998746
ACE2,1,1.3273944577297394
ACER1,1,0.7362070974947361
ACER2,1,0.881048873008014
ACER3,1,0.4931738039549359
ACHE,1,1.4791083881682074
ACIN1,1,0.29308932452503206
ACKR1,1,1.1803206356517297
ACKR2,1,1.7906058540352943
ACKR3,1,1.3708817661648536
ACKR4,1,2.280342072000418
ACLY,1,0.21777097723531585
ACMSD,1,2.06062991327
ACO1,1,0.24154608344449405
ACO2,0.062230028516915954,0.0015667510701081486
ACOD1,1,2.41546083444494
ACOT1,1,1.5240527537972912
ACOT11,1,0.6025595860743578
ACOT12,1,0.7261059574351547
ACOT13,0.8629785477669702,0.13899526312133534
ACOT2,1,0.995405417351527
ACOT4,1,2.8054336379517135
ACOT6,1,1.5922087270511702
ACOT7,1,0.40550853544838383
ACOT8,1,1.3458603540559484
ACOT9,1,0.8128305161640993
ACOX1,0.519995996533516,0.0633869711256927
ACOX2,1,1.169499391019871
ACOX3,1,0.7762471166286917
ACOXL,1,0.9682778562612492
ACP1,1,2.3878112829131775
ACP2,1,0.7709034690644301
ACP5,1,1.7864875748520508
ACP6,1,2.202926463053456
ACPP,1,0.8394599865193975
ACPT,1,0.2910717118066605
ACR,1,0.9418895965228413
ACRBP,1,0.24099054286865948
ACRV1,1,2.529297996446145
ACSBG1,1,1.5703628043335525
ACSBG2,1,0.9682778562612492
ACSF2,1,0.6397348354826481
ACSF3,1,0.350751873952568
ACSL1,1,1.3708817661648536
ACSL3,0.8222426499470711,0.12793813041575247
ACSL4,1,0.42657951880159267
ACSL5,1,1.803017740859569
ACSL6,1,0.24043628000069334
ACSM1,1,0.9141132414702502
ACSM2A,1,1.9098532585662382
ACSM2B,1,1.9453600816226626
ACSM3,1,1.6106456351782703
ACSM4,1,1.4487718535447616
ACSM5,1,1.3899526312133532
ACSM6,1,1.0616955571987245
