gene,fdr,stat
ESPL1,0.6247870352088116,0.06560022393609409
RUVBL1,0.6259100444413307,0.0658765519310936
CWC22,0.5852741044680889,0.05591827158640587
ACTR10,0.7237951696570667,0.09604380299903355
GINS2,0.6710398706552454,0.07644982757544413
KNL1,0.4752030087101612,0.03642539134095739
MIS18BP1,0.439373544951313,0.03127082567947519
RPL10A,0.2694724361773125,0.00810045393482452
POLR2G,0.2922277805885901,0.012355275515413457
CTC1,0.6982642798681516,0.08435481801984285
RPL4,0.42935265388415744,0.02987611069201328
USP37,0.6947033876124813,0.08321661526034883
MED21,0.6034266231577464,0.06021618364261174
ATIC,0.6731677828242235,0.07736134360291928
PRELID1,0.4686794705433798,0.035190829462049066
UMPS,0.7576696418867607,0.10869099371123972
ATP6AP1,0.26926241943773355,0.005375490652958098
PLK4,0.715733900748766,0.09146363221792123
MDN1,0.571493194256176,0.05311515215334967
PSMA5,0.28810962139764107,0.011742992666772097
MRPL45,0.7127422736444583,0.08959534566244938
RTEL1,0.26926241943773355,0.0018389911739665084
POLR2D,0.26926241943773355,0.004045602673005517
IMPDH2,0.3137520795341282,0.01497380037752953
PSMB2,0.5889541811296769,0.0569694276169462
TARS2,0.26926241943773355,0.0032398763429989214
CDCA8,0.7901166397052035,0.1289159002843992
NUDCD3,0.28053668284179073,0.011160962997643197
RRM1,0.33284754506878933,0.017528812974820274
PTPN23,0.7291838213940368,0.09846952652119706
DCTN3,0.26926241943773355,0.0017220557869793512
IMP3,0.28810962139764107,0.011754287125493769
MED7,0.26926241943773355,0.005956492852174386
RPS17,0.26926241943773355,0.0026989791084667553
NOL10,0.2954256301016322,0.012881295333037621
MEN1,0.29050319476587444,0.011913428719629204
NUFIP1,0.5217725176696689,0.04347100952883213
TBL3,0.4553970650631946,0.03303785459845697
PRIM2,0.26926241943773355,0.004959736924353251
MRPL57,0.5481706729435678,0.04829633667324799
CLSPN,0.26926241943773355,0.003333581224268046
WDR36,0.33819499639912626,0.018041699243500606
CTDP1,0.3258137354764016,0.016757362319014948
AURKB,0.2694724361773125,0.0073958504027852945
PSMA3,0.26926241943773355,0.004690672682000173
ATP6V1A,0.26926241943773355,8.883350186716863e-4
HMGCR,0.7710539458521789,0.11560986495490558
CFAP20,0.48189152757464104,0.03740791993607781
TOMM40,0.7701206028290304,0.11442139941521401
RPL26,0.26926241943773355,9.97436587153617e-4
BDP1,0.26926241943773355,0.0010269865174659838
BIRC5,0.29276682435897466,0.012409049968861188
RBM22,0.3197067611849724,0.01575224187998694
PPAN,0.26926241943773355,0.005699891901063123
MAPK11,0.45632472542212543,0.03341973651276416
PSMB5,0.26926241943773355,0.003700938998591416
CCT2,0.42536598597225367,0.029539164898306238
RPS13,0.5670354846371499,0.05238882189525155
TCOF1,0.26926241943773355,0.005115203573547493
SCFD1,0.26926241943773355,0.004049332461718479
SEH1L,0.7011526953734001,0.08555710210239499
MCM2,0.26926241943773355,0.0029107567700040952
RBSN,0.3137520795341282,0.015017219745227173
RPAP3,0.26926241943773355,0.0041834423021835975
NELFE,0.8052424791123878,0.14592956658007405
RPL12,0.26926241943773355,0.004510599422183292
DKC1,0.2694724361773125,0.006872321619148394
MDM2,0.6954177318600102,0.08364295187415617
EXOC2,0.2694724361773125,0.006047271999035211
ATXN10,0.6824924638449571,0.07963254750651554
EPHB4,0.26926241943773355,0.003978048645180768
CLTC,0.2694724361773125,0.009186239858246632
CIT,0.3446830120898409,0.018800061916993845
SSB,0.5045020926585396,0.041111928388938034
CEP295,0.2787791308831885,0.010851120882937586
WDR5,0.26926241943773355,0.004043452011598264
SF3B5,0.5110395211382526,0.04188804202789466
ATP6V1C1,0.34992461411684955,0.019442313727521008
PDCD11,0.27011624734269457,0.009607797089931501
