gene,fdr,stat
RUVBL2,2.339178810966248e-5,-6.144831807826416
MCM2,2.339178810966248e-5,-6.064154275118968
HSD17B10,2.339178810966248e-5,-5.748241188052188
DRD2,2.339178810966248e-5,-5.738862855623199
POLR2G,2.339178810966248e-5,-5.677991104472834
LRPPRC,2.339178810966248e-5,-5.655476023867195
DDB1,2.339178810966248e-5,-5.63397826271137
SYMPK,2.339178810966248e-5,-5.560062570502133
CENPE,2.339178810966248e-5,-5.432232453421392
RIOK2,2.339178810966248e-5,-5.368498823101022
BRIX1,2.339178810966248e-5,-5.358496910047824
RRM2,2.339178810966248e-5,-5.3442731843775455
CLSPN,2.339178810966248e-5,-5.29907688532837
DCTN3,2.339178810966248e-5,-5.28891147319045
MED30,2.339178810966248e-5,-5.2125172388717225
RPL9,2.339178810966248e-5,-5.151058490179444
EIF2B5,2.339178810966248e-5,-5.1394554609723375
GINS3,2.339178810966248e-5,-5.132429028712756
INTS3,2.339178810966248e-5,-5.117371448314498
PPP1R8,2.339178810966248e-5,-5.053833567415527
CTNNBL1,2.339178810966248e-5,-5.050209922104111
SEM1,2.339178810966248e-5,-5.043343160161906
RAN,2.339178810966248e-5,-5.014193792149131
ZWINT,2.339178810966248e-5,-4.9853630024010736
XPO1,2.339178810966248e-5,-4.979631200256627
ZBTB11,2.339178810966248e-5,-4.969725387993958
PMPCA,2.339178810966248e-5,-4.954988173027964
BOP1,2.339178810966248e-5,-4.95458588528215
RCL1,2.339178810966248e-5,-4.947793483207857
TNPO3,2.339178810966248e-5,-4.942000991202772
GEMIN2,2.339178810966248e-5,-4.9363633749299
EIF5A,2.339178810966248e-5,-4.936060723337859
TRNT1,2.339178810966248e-5,-4.935816024379027
PGD,2.339178810966248e-5,-4.917277536501567
ADAT2,2.339178810966248e-5,-4.91308473881813
RFC5,2.339178810966248e-5,-4.889014174489149
MCM5,2.339178810966248e-5,-4.888145858668735
TWNK,2.339178810966248e-5,-4.867522917934834
COPS8,2.339178810966248e-5,-4.86739720059667
POLR1B,2.339178810966248e-5,-4.853096668195899
BUB1,2.339178810966248e-5,-4.8467484317318545
PSMA5,2.339178810966248e-5,-4.839495126946035
MRPL11,2.339178810966248e-5,-4.821473917454134
NUDCD3,2.339178810966248e-5,-4.821185283858901
PPAN,2.339178810966248e-5,-4.819749833489421
CLTC,2.339178810966248e-5,-4.812713610711083
DHDDS,2.339178810966248e-5,-4.7863591922561435
POLR2L,2.339178810966248e-5,-4.786123982552581
FBXO5,2.339178810966248e-5,-4.78440958784155
EIF3M,2.339178810966248e-5,-4.762489814293609
HINFP,2.339178810966248e-5,-4.735658257133721
BORA,2.339178810966248e-5,-4.735132501872219
NCL,2.339178810966248e-5,-4.725354932757045
PPIL2,2.339178810966248e-5,-4.72234519205512
MARS,2.339178810966248e-5,-4.720890786283581
BDP1,2.339178810966248e-5,-4.720074009849484
RACGAP1,2.339178810966248e-5,-4.710126518831531
TINF2,2.339178810966248e-5,-4.707590599155077
SLC38A6,2.339178810966248e-5,-4.706753814698561
DCAF1,2.339178810966248e-5,-4.705411739570168
ACTR6,2.339178810966248e-5,-4.7035463073274935
NMD3,2.339178810966248e-5,-4.702382240795136
CINP,2.339178810966248e-5,-4.6976440000091575
EP400,2.339178810966248e-5,-4.686991338326639
LAS1L,2.339178810966248e-5,-4.6859803526365615
TREX2,2.339178810966248e-5,-4.685460045718579
KIAA0586,2.339178810966248e-5,-4.683977964625033
RRM1,2.339178810966248e-5,-4.681339954716363
TRMT5,2.339178810966248e-5,-4.659234542457968
EXOC3,2.339178810966248e-5,-4.6581847905947305
SEC13,2.339178810966248e-5,-4.65656695805164
PPIE,2.339178810966248e-5,-4.655401278251135
AP2M1,2.339178810966248e-5,-4.654890514445509
SNRPD1,2.339178810966248e-5,-4.651832433362607
TTI2,2.339178810966248e-5,-4.6365499541547335
DNAJC21,2.339178810966248e-5,-4.634227737750102
RPL26,2.339178810966248e-5,-4.630564604503391
POLR2C,2.339178810966248e-5,-4.619940287320074
RNF40,2.339178810966248e-5,-4.616105407558665
RAD50,2.339178810966248e-5,-4.6145008092837365
RTEL1,2.339178810966248e-5,-4.605970652818331
PRIM2,2.339178810966248e-5,-4.604892276522994
PLK1,2.339178810966248e-5,-4.604771510387556
