gene,fdr,category
AAMP,1.2058431208744489e-7,1
AARS,7.907023465517203e-9,1
AARS2,9.364778751409983e-8,1
AASDHPPT,2.4870781404263224e-8,1
AATF,1.5059899689752777e-9,1
ABCB7,4.832019140451764e-9,1
ABCF1,1.0206778535800614e-8,1
ABHD11,1.1025194947384764e-8,1
ABT1,1.1861563065938293e-8,1
ACACA,0.014214887462770751,1
ACLY,2.137000017509601e-7,1
ACO2,8.911472522535014e-6,1
ACSL3,1.4002827034294732e-6,1
ACTL6A,8.047501069291443e-10,1
ACTR10,1.351054224211142e-8,1
ACTR1A,2.782963051371571e-9,1
ACTR3,3.9032415930889e-7,1
ACTR6,2.5214512786173955e-6,1
ACTR8,0.0019383111234825925,1
ADAT3,4.924985496498577e-6,1
ADSL,2.4225648220760384e-9,1
AFG3L2,8.168646562848139e-8,1
AGO2,0.18034231730230058,1
AHCY,8.623240262051199e-4,1
AIFM1,0.17290675584310822,1
AKIRIN2,1.0320746516662353e-4,1
ALDOA,1.0688922975032784e-10,1
ALG1,1.1220654365632876e-8,1
ALG11,2.878572610755973e-5,1
ALG13,4.348773815401677e-6,1
ALG14,6.658398548283757e-6,1
ALG2,8.040191616991748e-8,1
ALG8,0.0014976050365323383,1
ALYREF,2.137000017509601e-7,1
ANAPC10,1.1053027496281657e-7,1
ANAPC11,2.5439644138448707e-9,1
ANAPC15,1.5233363842432826e-5,1
ANAPC2,2.9722065392082225e-6,1
ANAPC4,2.29485016981752e-8,1
ANAPC5,1.6404927245164474e-5,1
ANKLE2,6.04887761952294e-7,1
ANKRD49,3.3768656521763545e-6,1
ANKRD63,0.18033327772374025,1
AQR,1.7474211635104466e-10,1
ARCN1,2.5836225789073797e-7,1
ARFRP1,2.4924681606539594e-6,1
ARGLU1,4.5040066747835654e-8,1
ARIH1,1.3356840822626878e-8,1
ARL2,2.6167076399904796e-9,1
ARMC7,8.674232357620769e-11,1
ARPC4,5.702158036166227e-9,1
ASCC3,1.475295006026894e-6,1
ASNA1,2.12088160639572e-7,1
ASNS,0.89815298133285415,1
ATF7,0.04105121637271473,1
ATIC,8.546936573474208e-8,1
ATL2,2.343323166639038e-5,1
ATP13A1,0.010067744886143001,1
ATP1A1,1.6815866948188985e-10,1
ATP2A2,3.0982418947929053e-7,1
ATP5A1,1.2760382040995464e-8,1
ATP5B,2.6685619791362834e-5,1
ATP5C1,1.7957265634148017e-5,1
ATP5D,8.832975308772129e-6,1
ATP5F1,1.837296812190164e-6,1
ATP5I,0.010050953190897514,1
ATP6AP2,4.5357518689712335e-6,1
ATP6V0B,1.6358170772242745e-8,1
ATP6V0C,4.733086628311523e-10,1
ATP6V0D1,5.632947313979064e-6,1
ATP6V1A,7.062670893297535e-8,1
ATP6V1B2,7.828366701175156e-6,1
ATP6V1C1,6.098765056922442e-10,1
ATP6V1D,4.584241131038626e-9,1
ATP6V1E1,9.17548622588963e-9,1
ATP6V1G1,1.6626022026026887e-8,1
ATP6V1H,0.0017727603313763514,1
ATR,5.573635313903984e-4,1
ATRIP,1.0953432278911656e-5,1
ATRX,0.011712849736665584,1
ATXN7L3,3.789559533809696e-6,1
AURKAIP1,5.39616214147854e-5,1
AURKB,1.5445720912614622e-7,1
BAHD1,0.6360467830372651,1
BAP1,0.0153549888161388,1
BARD1,1.5944721473199426e-6,1
BCAS2,2.518053470217811e-7,1
BCCIP,2.4783737477103405e-6,1
BCL2L1,0.9999999996019021,1
BCS1L,2.6001880262556185e-9,1
BDP1,1.169179447568841e-7,1
BIRC5,1.8858285383953514e-8,1
BLM,1.443230896045516e-6,1
BMS1,2.5258011435880686e-5,1
BNIP1,1.16353295628335e-5,1
BOP1,2.425637105396849e-6,1
BORA,3.7653005805322796e-5,1
BRAP,0.016892384814246857,1
BRAT1,9.721635667899953e-4,1
BRCA1,4.009760041393334e-5,1
BRCA2,0.002786417924498002,1
BRD2,0.0015883118297970885,1
BRD4,4.7137493099336973e-4,1
BRD8,0.0023706602897737923,1
BRF1,1.203761191951374e-9,1
BRF2,8.119956297645478e-6,1
BRIX1,2.8052668809351313e-6,1
BTAF1,0.013393146511764608,1
BUB1B,6.961068482162337e-7,1
BUB3,4.398950877776115e-13,1
BUD13,0.013988175644834837,1
BUD31,2.8780414056687894e-10,1
BYSL,4.6941676880881534e-4,1
C11orf57,1.1234149216389052e-6,1
C12orf45,3.784152509817232e-9,1
C12orf65,0.005524682049615041,1
C14orf178,0.03444664724792886,1
C14orf80,2.4783737477103405e-6,1
C15orf41,2.253799226351065e-6,1
C16orf72,9.746558044141995e-4,1
C18orf21,8.255489593221553e-7,1
C1orf109,3.3977916524853454e-9,1
C1orf131,3.5335357024683604e-6,1
C1QBP,6.698924586243064e-6,1
C21orf59,7.08046612059561e-6,1
C2orf49,0.3243191421812343,1
C8orf33,0.007873402598088117,1
C9orf78,8.444682322965095e-5,1
CACTIN,4.265001603003536e-4,1
CAD,3.71030563276789e-9,1
CARS,3.8302165372992597e-10,1
CBLL1,0.057767268728863355,1
CCDC115,1.0831047232974756e-6,1
CCDC130,7.224047048682543e-5,1
CCDC84,1.834930174722904e-9,1
CCDC86,0.013386604027157094,1
CCDC94,6.074640809906457e-9,1
CCNA2,8.47479979782113e-9,1
CCNB1,3.1780823810103214e-9,1
CCND1,5.953178813308779e-8,1
CCNH,3.500999198313262e-6,1
CCNK,0.025015105710393993,1
CCT2,2.1329433054621611e-7,1
CCT3,2.5074846414507417e-10,1
CCT4,1.838891675763741e-10,1
CCT5,5.166931249457862e-10,1
CCT6A,7.183045585873858e-10,1
CCT7,5.689690175331488e-11,1
CD3EAP,9.859257376234023e-8,1
CDAN1,3.4249062803088636e-7,1
CDC123,9.053294559849773e-7,1
CDC16,1.1346290818273607e-8,1
CDC20,2.24093043437491e-8,1
CDC23,4.67025608759586e-8,1
CDC25A,0.004596606342251301,1
CDC37,8.005361178662474e-4,1
CDC45,1.574444354085576e-10,1
CDC5L,3.2192491420442637e-7,1
CDC6,5.375942074719477e-4,1
CDC73,2.889984981458879e-8,1
CDCA3,0.6098554048024627,1
CDCA5,7.25574639723797e-4,1
CDCA8,6.074640809906457e-9,1
CDK12,2.9205296012883054e-6,1
CDK2,0.004796082500593197,1
CDK9,5.3406869216774095e-5,1
CDT1,5.665186303507693e-5,1
CEBPE,0.014378234490768506,1
CEBPZ,3.684464333958451e-9,1
CENPA,1.2198592763499676e-6,1
CENPE,2.4437751164942496e-5,1
CENPF,0.001721727184574935,1
CENPI,6.057720334177685e-5,1
CENPJ,0.0845133145436467,1
CENPK,3.161923884908444e-9,1
CENPL,9.966498779776749e-9,1
CENPM,4.147236015857485e-9,1
CENPN,7.056385830638121e-8,1
CENPO,0.007619059009846731,1
CENPP,0.19810788522125483,1
CENPQ,0.0016301158033073001,1
CENPT,0.0018623213135482914,1
CENPW,4.1115842209895043e-10,1
CEP152,1.0379970439197866e-4,1
CEP192,1.7708133953283948e-5,1
CEP57,2.1329925192885196e-7,1
CEP85,1.625806411739806e-5,1
CEP97,7.889203169047994e-4,1
CFDP1,2.203447407789891e-4,1
CHAF1A,7.26465658203814e-7,1
CHAF1B,2.7294558695512667e-9,1
CHD1,4.435486399065128e-5,1
CHD4,9.169667258108953e-7,1
CHEK1,3.402817813904359e-8,1
CHERP,2.2452415429825134e-5,1
CHMP2A,1.2590060336277135e-7,1
CHMP3,7.770927366784323e-5,1
CHMP4B,6.614296987814086e-8,1
CHMP6,1.506268173218692e-8,1
CIAO1,2.5226900022372022e-8,1
CINP,1.2264799354203647e-8,1
CKAP5,2.362610888637456e-9,1
CLASRP,7.892223063040683e-4,1
