gene,fdr,category
BUB3,5.232041e-5,1
NUBP1,5.232041e-5,1
TOP2A,5.232041e-5,1
U2AF1,5.232041e-5,1
WDR43,5.232041e-5,1
HSPA9,5.232041e-5,1
TSR2,5.232041e-5,1
PRPF19,5.232041e-5,1
RPS15A,5.232041e-5,1
UBA3,5.232041e-5,1
RPL4,5.232041e-5,1
RPS13,5.232041e-5,1
MARS,5.232041e-5,1
RPL11,5.232041e-5,1
SNRPF,5.232041e-5,1
RFC3,5.232041e-5,1
TUT1,5.232041e-5,1
RPP21,5.232041e-5,1
CCT5,5.232041e-5,1
GPN2,5.232041e-5,1
LARS,5.232041e-5,1
PSMB7,5.232041e-5,1
RPL23A,5.232041e-5,1
RPL7,5.232041e-5,1
ORAOV1,5.232041e-5,1
NAA20,5.232041e-5,1
DHX36,5.232041e-5,1
MDM2,5.232041e-5,1
XRCC5,5.232041e-5,1
RPL19,5.232041e-5,1
SOD1,5.232041e-5,1
PSMC6,5.232041e-5,1
DCTN5,5.232041e-5,1
POLR2L,5.232041e-5,1
CLP1,5.232041e-5,1
DDX51,5.232041e-5,1
RPL31,5.232041e-5,1
ELP2,5.232041e-5,1
CLNS1A,5.232041e-5,1
RPLP0,5.232041e-5,1
DARS,5.232041e-5,1
GRPEL1,5.232041e-5,1
EIF2S1,5.232041e-5,1
NFS1,5.232041e-5,1
CARS,5.232041e-5,1
SRP54,5.232041e-5,1
PPP6C,5.232041e-5,1
ALDOA,5.232041e-5,1
PSMA5,5.232041e-5,1
RABGGTB,5.232041e-5,1
EFTUD2,5.232041e-5,1
PGS1,5.232041e-5,1
MAK16,5.232041e-5,1
MCM7,5.232041e-5,1
RPL12,5.232041e-5,1
ARL2,5.232041e-5,1
NUP85,5.232041e-5,1
ACTR10,5.232041e-5,1
SNRNP25,5.232041e-5,1
CCT6A,5.232041e-5,1
RPS4X,5.232041e-5,1
RFC2,5.232041e-5,1
PPP4C,5.232041e-5,1
GTPBP4,5.232041e-5,1
COPA,5.232041e-5,1
DNA2,5.232041e-5,1
EIF3A,5.232041e-5,1
YRDC,5.232041e-5,1
DHFR,5.232041e-5,1
TXNL4B,5.232041e-5,1
RUVBL2,5.232041e-5,1
CPSF3,5.232041e-5,1
