gene,fdr,category
RPL19,3.3e-4,1
BUB3,3.3e-4,1
RPP21,3.3e-4,1
NUBP1,3.3e-4,1
HSPA9,3.3e-4,1
ALDOA,3.3e-4,1
RPL7,3.3e-4,1
PFDN2,3.3e-4,1
RPL11,3.3e-4,1
SNRPF,3.3e-4,1
RPS15A,3.3e-4,1
TOP2A,4.79e-4,1
PGS1,4.79e-4,1
RPLP0,4.79e-4,1
PRMT5,4.79e-4,1
DHFR,4.79e-4,1
UBA3,4.79e-4,1
RPS13,4.79e-4,1
DCTN5,4.79e-4,1
TSR2,4.79e-4,1
EIF6,4.79e-4,1
ATP6V0C,4.79e-4,1
RPS4X,4.79e-4,1
CARS,4.79e-4,1
SKA2,6.35e-4,1
ANAPC11,6.35e-4,1
XRCC5,6.35e-4,1
POLR1A,6.35e-4,1
NOP58,7.07e-4,1
KPNB1,7.07e-4,1
RFC3,7.07e-4,1
PRMT1,7.07e-4,1
TUT1,7.07e-4,1
FBL,7.3e-4,1
MCM7,7.3e-4,1
PCNA,7.3e-4,1
POLR2G,7.3e-4,1
DNA2,7.3e-4,1
PSMA5,7.3e-4,1
TRMT5,7.3e-4,1
TRRAP,7.3e-4,1
ELP2,7.45e-4,1
EXOSC8,7.45e-4,1
BUD31,7.45e-4,1
HMGCS1,7.45e-4,1
MAK16,7.45e-4,1
NUP85,7.45e-4,1
EIF3I,7.45e-4,1
UBE2I,7.45e-4,1
WDR43,7.45e-4,1
PSMB1,7.45e-4,1
BRF1,7.45e-4,1
RABGGTB,7.45e-4,1
RPL4,7.45e-4,1
CCT4,7.45e-4,1
PSMB3,7.45e-4,1
CCT5,7.45e-4,1
KARS,7.45e-4,1
PHB,7.45e-4,1
UBA2,7.45e-4,1
CPSF2,7.45e-4,1
PRPF19,7.45e-4,1
U2AF1,7.45e-4,1
IMP4,7.45e-4,1
ORAOV1,7.45e-4,1
RPL23A,7.45e-4,1
DARS,7.45e-4,1
POLR2L,7.45e-4,1
GPN1,7.45e-4,1
G6PD,7.45e-4,1
GNL3L,7.45e-4,1
LARS,7.45e-4,1
GPN2,7.45e-4,1
NFS1,7.45e-4,1
MDM2,7.45e-4,1
MRPL13,7.45e-4,1
