gene,fdr,category
AAMP,0.0011976523010189617,1
AARS,2.9896289397440253e-5,1
AARS2,1.0726804254544739e-5,1
AASDHPPT,0.00030304921223782113,1
AATF,9.230456123660651e-5,1
ABCB7,9.96322864836485e-6,1
ABCF1,5.758709940778659e-5,1
ABHD11,5.51891485571776e-5,1
ABT1,1.8941429436703403e-4,1
ACACA,0.3391253367068473,1
ACLY,0.0011600984436552612,1
ACO2,3.9668720401084476e-5,1
ACSL3,0.0019902448643403063,1
ACTL6A,3.756428894066003e-5,1
ACTR10,6.252556293200024e-8,1
ACTR1A,2.976446437060938e-5,1
ACTR3,0.001115662648646141,1
ACTR6,3.63310605584477e-5,1
ACTR8,0.08290107848258227,1
ADAT3,0.00701131540029098,1
ADSL,9.227860341380179e-6,1
AFG3L2,5.032981551556505e-4,1
AGO2,0.9999999999985838,1
AHCY,0.001175840704738339,1
AIFM1,0.9999999999985838,1
AKIRIN2,0.0010880516580980201,1
ALDOA,3.028248001732818e-6,1
ALG1,6.181727755869996e-4,1
ALG11,0.0010510962211325978,1
ALG13,3.498127672885014e-6,1
ALG14,0.016293878371117027,1
ALG2,1.0721025340555286e-5,1
ALG8,0.5185615822138984,1
ALYREF,2.5809781016161796e-4,1
ANAPC10,2.2319228291483846e-4,1
ANAPC11,2.7461558587404328e-5,1
ANAPC15,0.0016671020514525095,1
ANAPC2,4.324318781042547e-4,1
ANAPC4,6.566199485356308e-4,1
ANAPC5,3.00921536307553e-4,1
ANKLE2,1.5036791421383606e-4,1
ANKRD49,6.286604139883734e-4,1
ANKRD63,0.9999999999985838,1
AQR,1.9485299628204186e-5,1
ARCN1,1.467433888730725e-4,1
ARFRP1,6.881024681805283e-4,1
ARGLU1,1.7562542149041107e-4,1
ARIH1,1.3491305568540557e-4,1
ARL2,3.614491183212344e-7,1
ARMC7,9.441904398858818e-7,1
ARPC4,0.0013656708286290172,1
ASCC3,0.0014444297037268705,1
ASNA1,0.002978676665969119,1
ASNS,0.9999999999985838,1
ATF7,0.9999999999985838,1
ATIC,0.00045139194230204243,1
ATL2,8.567534328143652e-4,1
ATP13A1,0.2880615988567095,1
ATP1A1,1.658280057027564e-5,1
ATP2A2,2.0820164360787788e-6,1
ATP5A1,4.0215631030718417e-4,1
ATP5B,3.4826785181058423e-4,1
ATP5C1,0.007991059773373783,1
ATP5D,0.036626071869966435,1
ATP5F1,0.16313398982132732,1
ATP5I,0.1231383647712496,1
ATP6AP2,0.002495137180783505,1
ATP6V0B,6.348285361771562e-5,1
ATP6V0C,4.003751027636474e-6,1
ATP6V0D1,4.5808385708790767e-4,1
ATP6V1A,6.763824416833926e-4,1
ATP6V1B2,2.700350126768684e-7,1
ATP6V1C1,2.262977530853451e-5,1
ATP6V1D,1.0909311491309122e-5,1
ATP6V1E1,2.414888920008068e-6,1
ATP6V1G1,4.981751511226122e-5,1
ATP6V1H,0.0971010845922053,1
ATR,0.014076049403913802,1
ATRIP,0.02561140431402744,1
ATRX,0.07364459733378946,1
ATXN7L3,2.121622910376212e-4,1
AURKAIP1,0.002969629176112552,1
AURKB,7.608823961305303e-4,1
BAHD1,0.9999999999985838,1
BAP1,0.522206181027629,1
BARD1,9.938402361358554e-4,1
BCAS2,5.585997577022771e-4,1
BCCIP,2.976446437060938e-5,1
BCL2L1,0.9999999999985838,1
BCS1L,3.150918484716035e-5,1
BDP1,0.005772940543016826,1
BIRC5,3.136877898814316e-8,1
BLM,0.06154361142654893,1
BMS1,0.0027869285516902947,1
BNIP1,0.0022802053529278176,1
BOP1,3.287667470130544e-4,1
BORA,0.08739142395897351,1
BRAP,0.9999999999985838,1
BRAT1,0.06991618569969033,1
BRCA1,0.0030984386124682057,1
BRCA2,0.522206181027629,1
BRD2,0.15175709503068974,1
BRD4,0.2545289098988684,1
BRD8,0.42908158323827916,1
BRF1,1.1510912081216855e-4,1
BRF2,1.4271812528527481e-4,1
BRIX1,2.730102217226512e-4,1
BTAF1,0.9999999999985838,1
BUB1B,0.0012740758712634333,1
BUB3,4.287624939566689e-8,1
BUD13,0.43014763165969555,1
BUD31,1.4331450318188045e-5,1
BYSL,0.014266994023121047,1
C11orf57,3.8726999380622333e-4,1
C12orf45,1.8090632049527766e-4,1
C12orf65,0.1789467024358371,1
C14orf178,0.9999999999985838,1
C14orf80,2.756172773334684e-4,1
C15orf41,0.0012175451227792653,1
C16orf72,0.00740025413175127,1
C18orf21,3.342622171314123e-4,1
C1orf109,3.0479357208105286e-5,1
C1orf131,0.001679752328482168,1
C1QBP,0.12148153812593643,1
C21orf59,0.01469085963609501,1
C2orf49,0.9999999999985838,1
C8orf33,0.522206181027629,1
C9orf78,0.015227355975456162,1
CACTIN,0.018142273621821327,1
CAD,7.010733842666943e-9,1
CARS,1.381681443464331e-5,1
CBLL1,0.8897859875508938,1
CCDC115,0.0023696366760143778,1
CCDC130,0.09316099599313306,1
CCDC84,4.188086755742006e-5,1
CCDC86,0.05412257382235579,1
CCDC94,7.703697059789017e-5,1
CCNA2,1.1275017505061899e-5,1
CCNB1,2.509639042528771e-5,1
CCND1,0.0015006343965133064,1
CCNH,0.0019464054006452592,1
CCNK,0.8376724481999982,1
CCT2,2.5807003497974875e-5,1
CCT3,1.0316910517880708e-7,1
CCT4,2.666332181295414e-5,1
CCT5,4.1482746238052925e-8,1
CCT6A,7.434510304049625e-8,1
CCT7,1.2498424325665887e-5,1
CD3EAP,0.001507064837239906,1
CDAN1,4.758317013289206e-4,1
CDC123,6.654223532954105e-5,1
CDC16,5.1797885473071153e-5,1
CDC20,6.469549028916113e-5,1
CDC23,4.717367811044817e-5,1
CDC25A,0.19388104776824638,1
CDC37,0.002281507480790568,1
CDC45,1.4641141183891995e-4,1
CDC5L,2.50246497233741e-4,1
CDC6,0.003093561415926323,1
CDC73,3.3551633856126377e-4,1
CDCA3,0.9999999999985838,1
CDCA5,0.074180055188107,1
CDCA8,4.5397204820881045e-4,1
CDK12,0.010542573203455466,1
CDK2,0.46827628255503145,1
CDK9,9.363512437972125e-6,1
CDT1,0.1540027084680733,1
CEBPE,0.9999999999985838,1
CEBPZ,6.469549028916113e-5,1
CENPA,4.179512010371589e-6,1
CENPE,0.022732036113059788,1
CENPF,0.17063485676024348,1
CENPI,9.430772285721372e-4,1
CENPJ,0.9059634891750517,1
CENPK,1.6856748185552194e-7,1
CENPL,9.139053364990884e-5,1
CENPM,4.77581656899766e-5,1
CENPN,1.4974491152008909e-4,1
CENPO,0.9999999999985838,1
CENPP,0.9999999999985838,1
CENPQ,0.3552457015803435,1
CENPT,0.4833421359998875,1
CENPW,8.464079570296614e-5,1
CEP152,0.93199042605497,1
CEP192,0.022563252967420434,1
CEP57,0.002589969542802642,1
CEP85,0.02593739125540484,1
CEP97,0.04068610096376174,1
CFDP1,0.00879588707633953,1
CHAF1A,8.544810738809705e-4,1
CHAF1B,1.5143152605844255e-7,1
CHD1,0.013943204891645898,1
CHD4,5.699446746609891e-5,1
CHEK1,2.716810667585093e-7,1
CHERP,0.0016895447817701604,1
CHMP2A,0.00032920086602700773,1
CHMP3,0.005319238311963224,1
CHMP4B,1.4236728876022988e-4,1
CHMP6,0.0031199995933184044,1
CIAO1,2.9745092236632686e-5,1
CINP,9.007991394370729e-4,1
CKAP5,4.329216443623832e-5,1
CLASRP,0.10335778063643267,1
CLNS1A,3.941129379108229e-7,1
CLP1,2.333055387581748e-6,1
CLTC,3.716283627686561e-5,1
CNBP,0.9448427532557786,1
CNOT1,0.00452611072803515,1
CNOT2,0.9999999999985838,1
CNOT3,7.121955255989343e-5,1
COA3,0.14729054370553538,1
COA5,0.0010403386073532432,1
COASY,4.875038601933901e-5,1
COG2,0.005011373367916902,1
COG3,1.1060952956007591e-4,1
COG4,5.686857881243233e-4,1
COG8,5.834561370561151e-4,1
COL9A3,0.9999999999985838,1
COMTD1,0.9999999999985838,1
COPA,3.775472819707355e-7,1
COPB1,3.865712021060286e-5,1
COPB2,1.5239077963102879e-4,1
COPE,0.9164386750082725,1
COPG1,0.002695540633194804,1
COPS3,0.014649252811256256,1
COPS4,3.9668720401084476e-5,1
COPS5,4.2460662267071766e-5,1
COPS6,2.784884426944046e-5,1
COPZ1,8.35116546547696e-5,1
COQ2,0.9999999999985838,1
COQ5,0.16054217361100068,1
COX10,0.3204740408875075,1
COX15,1.1795477177803523e-5,1
COX4I1,2.346208405930591e-4,1
COX5B,0.018524357730868725,1
COX6B1,0.0025586889691000757,1
CPOX,0.9999999999985838,1
CPSF1,5.290515020974523e-4,1
CPSF2,3.156602578768819e-8,1
CPSF3,6.799421299481927e-8,1
CPSF4,2.922434798728007e-4,1
CPSF6,0.19703093733252036,1
CRCP,2.4273793108266345e-4,1
CRIPT,0.14993157453268438,1
CRKL,0.9999999999985838,1
CRLS1,0.017028248188329424,1
CRNKL1,1.6886583100102733e-4,1
CSE1L,3.5337689559309044e-5,1
CSNK1A1,1.5946686416455065e-7,1
CSNK2B,2.1729130608161284e-06,1
CSTF1,2.333055387581748e-6,1
CSTF3,1.0030092256813709e-4,1
CT62,0.9999999999985838,1
CTC1,0.0010187190334711908,1
CTCF,0.0059829414833623305,1
CTDNEP1,0.0014035891406393862,1
CTDP1,3.494331576373947e-6,1
CTNNBL1,2.5358256633157423e-5,1
CTPS1,0.017675537396407693,1
CTR9,0.0010623279386063726,1
CTU1,1.0742756163396844e-4,1
CTU2,9.13525070418189e-5,1
CUL1,0.004784959253578396,1
CUL2,0.001169428701006493,1
CUL3,0.04615813209091453,1
CWC22,1.184211244632764e-4,1
CWF19L2,0.15389952195676898,1
CYFIP1,0.4399481652748683,1
DAD1,1.6850518284475044e-6,1
DAP3,3.583136836751223e-4,1
DARS,1.1878998406821401e-6,1
DARS2,6.917677724190711e-4,1
DBR1,1.768029512421804e-5,1
DCAF7,0.14864681820651218,1
DCLRE1B,0.021714120109876073,1
DCPS,2.333055387581748e-6,1
DCTN2,0.01851582474684595,1
DCTN4,0.0010063580455255395,1
DCTN5,3.2985324681828844e-7,1
DCTN6,1.0139506964112692e-5,1
DDB1,7.306853858047892e-5,1
DDI2,0.16662392699509526,1
DDN,0.9999999999985838,1
DDOST,0.0035113658935045818,1
DDX1,0.0010510962211325978,1
DDX18,4.195836319942359e-7,1
DDX20,5.494625655553694e-5,1
DDX21,8.117040754237773e-7,1
DDX23,9.934311167625987e-5,1
DDX24,0.12400052127155434,1
DDX27,9.339666942007135e-4,1
DDX39B,0.9999999999985838,1
DDX3X,1.6380223211079874e-4,1
DDX41,1.3750146624738334e-4,1
DDX42,2.1196840132912988e-4,1
DDX46,1.240395753895704e-6,1
DDX47,2.2691694772826904e-7,1
DDX49,5.072969162461248e-4,1
