gene,fdr,category
AAMP,1,1
AARS,0.021978598727848252,1
AARS2,0.17378008287493754,1
AASDHPPT,0.14521116175877424,1
AATF,0.02157744409152667,1
ABCB7,0.016330519478943345,1
ABCF1,0.23388372386593548,1
ABHD11,0.23550492838960096,1
ABT1,0.1552387009958082,1
ACACA,1,1
ACLY,0.5093308710571954,1
ACO2,0.08871560120379608,1
ACSL3,0.01039920165829059,1
ACTL6A,0.010256519262514073,1
ACTR10,0.006295061828571974,1
ACTR1A,0.0918332596483581,1
ACTR3,0.053210825926679424,1
ACTR6,0.2588212915153092,1
ACTR8,1,1
ADAT3,0.042169650342858224,1
ADSL,0.7943282347242815,1
AFG3L2,0.7888601176185545,1
AGO2,1,1
AHCY,1,1
AIFM1,1,1
AKIRIN2,0.370680721782576,1
ALDOA,1.5667510701081484e-4,1
ALG1,0.17418068733916142,1
ALG11,0.05105049999754062,1
ALG13,0.6668067692136221,1
ALG14,1,1
ALG2,0.6714288529259523,1
ALG8,1,1
ALYREF,0.03828247433168226,1
ANAPC10,0.45498806015004856,1
ANAPC11,0.0035645113342624426,1
ANAPC15,0.5675446054085471,1
ANAPC2,0.18836490894898006,1
ANAPC4,1,1
ANAPC5,0.0304088502567628,1
ANKLE2,0.09977000638225536,1
ANKRD49,0.8871560120379609,1
ANKRD63,1,1
AQR,0.0054450265284242145,1
ARCN1,0.11803206356517296,1
ARFRP1,1,1
ARGLU1,0.38725764492161724,1
ARIH1,0.03828247433168226,1
ARL2,0.012705741052085419,1
ARMC7,0.012133888504649774,1
ARPC4,0.19010782799233,1
ASCC3,0.3311311214825911,1
ASNA1,0.2937649651961531,1
ASNS,1,1
ATF7,1,1
ATIC,0.37411058827205335,1
ATL2,1,1
ATP13A1,0.5445026528424212,1
ATP1A1,0.01039920165829059,1
ATP2A2,0.14825180851459538,1
ATP5A1,0.20044720273651614,1
ATP5B,0.27797132677592884,1
ATP5C1,0.8892011178579484,1
ATP5D,1,1
ATP5F1,1,1
ATP5I,1,1
ATP6AP2,0.38725764492161724,1
ATP6V0B,0.015066070661867418,1
ATP6V0C,0.006982324040771711,1
ATP6V0D1,1,1
ATP6V1A,0.13963683610559377,1
ATP6V1B2,0.14421153515248689,1
ATP6V1C1,0.14454397707459277,1
ATP6V1D,0.09908319448927676,1
ATP6V1E1,0.025763211570025753,1
ATP6V1G1,0.27797132677592884,1
ATP6V1H,0.49090787615260306,1
ATR,1,1
ATRIP,1,1
ATRX,1,1
ATXN7L3,0.8203515443298183,1
AURKAIP1,0.14321878992735435,1
AURKB,0.9840111057611337,1
BAHD1,1,1
BAP1,0.6025595860743578,1
BARD1,0.263633138582538,1
BCAS2,0.06251726927756858,1
BCCIP,0.6854882264526616,1
BCL2L1,1,1
BCS1L,0.18323144223712115,1
BDP1,1,1
BIRC5,0.18407720014689558,1
BLM,0.628058358813318,1
BMS1,0.25822601906345966,1
BNIP1,0.34994516702835726,1
BOP1,0.11534532578210924,1
BORA,1,1
BRAP,1,1
BRAT1,1,1
BRCA1,1,1
BRCA2,0.3341950400261143,1
BRD2,0.7726805850957024,1
BRD4,1,1
BRD8,1,1
BRF1,0.02890679882365476,1
BRF2,1,1
BRIX1,1,1
BTAF1,1,1
BUB1B,0.17823787674480895,1
BUB3,0.0019543394557753942,1
BUD13,1,1
BUD31,0.02360478233180577,1
BYSL,1,1
C11orf57,0.16982436524617442,1
C12orf45,0.03953666200681279,1
C12orf65,0.8912509381337456,1
C14orf178,1,1
C14orf80,0.21428906011200585,1
C15orf41,0.06531305526474723,1
C16orf72,0.11066237839776664,1
C18orf21,0.6918309709189365,1
C1orf109,0.03083187950249355,1
C1orf131,1,1
C1QBP,1,1
C21orf59,0.8749837752274361,1
C2orf49,1,1
C8orf33,1,1
C9orf78,1,1
CACTIN,0.9594006315159331,1
CAD,0.05420008904016239,1
CARS,0.0013061708881318419,1
CBLL1,1,1
CCDC115,0.8394599865193975,1
CCDC130,0.8260379495771787,1
CCDC84,0.02328091257665008,1
CCDC86,1,1
CCDC94,0.013708817661648536,1
CCNA2,0.46558609352295893,1
CCNB1,0.12359474334445104,1
CCND1,0.13489628825916536,1
CCNH,0.5533501092157367,1
CCNK,1,1
CCT2,0.03483373150360118,1
CCT3,0.04159106104940221,1
CCT4,0.033806483620598154,1
CCT5,0.01039920165829059,1
CCT6A,0.01324341535194665,1
CCT7,0.004207266283844442,1
CD3EAP,0.06165950018614822,1
CDAN1,0.015703628043335523,1
CDC123,0.10789467222298288,1
CDC16,0.32960971217745777,1
CDC20,0.1798870915128788,1
CDC23,0.19860949173573716,1
CDC25A,1,1
CDC37,1,1
CDC45,0.032136605386403165,1
CDC5L,0.7870457896950986,1
CDC6,0.24490632418447456,1
CDC73,0.6295061828571975,1
CDCA3,1,1
CDCA5,1,1
CDCA8,0.1355189412351036,1
CDK12,0.18967059212111465,1
CDK2,1,1
CDK9,1,1
CDT1,1,1
CEBPE,1,1
CEBPZ,0.027227013080779128,1
CENPA,0.5571857489319298,1
CENPE,1,1
CENPF,1,1
CENPI,1,1
CENPJ,1,1
CENPK,0.09977000638225536,1
CENPL,0.688652296344276,1
CENPM,0.17179083871575881,1
CENPN,0.17139573075084252,1
CENPO,1,1
CENPP,1,1
CENPQ,1,1
CENPT,1,1
CENPW,0.057279603098582925,1
CEP152,1,1
CEP192,1,1
