gene,fdr,category
HSPA9,0.179858525584026,1
PRPF19,0.179858525584026,1
RPS15A,0.17704197076839204,1
GPN2,0.15943082385225954,1
NUBP1,0.179858525584026,1
RPS13,0.15943082385225954,1
RPL4,0.179858525584026,1
BUB3,0.179858525584026,1
RPP21,0.179858525584026,1
RPL11,0.179858525584026,1
XRCC5,0.179858525584026,1
TOP2A,0.179858525584026,1
FBL,0.179858525584026,1
U2AF1,0.179858525584026,1
SNRPF,0.179858525584026,1
KPNB1,0.179858525584026,1
TSR2,0.179858525584026,1
XPO1,0.179858525584026,1
RPL23A,0.179858525584026,1
RFC3,0.179858525584026,1
WDR43,0.179858525584026,1
POLR2L,0.179858525584026,1
MARS,0.179858525584026,1
MAK16,0.179858525584026,1
LARS,0.179858525584026,1
PPP6C,0.18104256262671067,1
PSMC6,0.179858525584026,1
NOP58,0.179858525584026,1
POLR1C,0.179858525584026,1
EIF4A3,0.179858525584026,1
CCT5,0.179858525584026,1
YRDC,0.179858525584026,1
PSMB7,0.179858525584026,1
RABGGTB,0.18470423896246185,1
TUT1,0.179858525584026,1
PCNA,0.179858525584026,1
MDM2,0.179858525584026,1
UBA3,0.179858525584026,1
POLR1A,0.179858525584026,1
ORAOV1,0.179858525584026,1
IARS,0.179858525584026,1
PPP4C,0.179858525584026,1
DNA2,0.179858525584026,1
CAD,0.179858525584026,1
MCM7,0.18470423896246185,1
DHX36,0.18104256262671067,1
UBE2I,0.179858525584026,1
DCTN5,0.179858525584026,1
NFS1,0.19334276453953889,1
EFTUD2,0.179858525584026,1
TRIAP1,0.179858525584026,1
RPL18,0.179858525584026,1
RPL12,0.179858525584026,1
TBL3,0.179858525584026,1
SOD1,0.179858525584026,1
ACTR10,0.18470423896246185,1
TUFM,0.179858525584026,1
NUP85,0.18470423896246185,1
BIRC5,0.179858525584026,1
SUPT4H1,0.179858525584026,1
CPSF3,0.179858525584026,1
GTPBP4,0.18029773915343164,1
CPSF2,0.179858525584026,1
RPL31,0.179858525584026,1
NLE1,0.179858525584026,1
CCT6A,0.179858525584026,1
NAA20,0.179858525584026,1
CHAF1B,0.179858525584026,1
EIF5,0.179858525584026,1
SDAD1,0.179858525584026,1
RPS27,0.18470423896246185,1
SKIV2L2,0.179858525584026,1
UBA1,0.179858525584026,1
COPA,0.179858525584026,1
SRP54,0.179858525584026,1
PGS1,0.18470423896246185,1
VCP,0.179858525584026,1
CLP1,0.179858525584026,1
RPL7,0.18470423896246185,1
RFC2,0.18470423896246185,1
CLNS1A,0.179858525584026,1
PNPT1,0.18470423896246185,1
RPS9,0.18470423896246185,1
ELP2,0.18470423896246185,1
DARS,0.18470423896246185,1
GPN1,0.18104256262671067,1
ARL2,0.179858525584026,1
CCT3,0.179858525584026,1
HINFP,0.179858525584026,1
MCM3,0.18470423896246185,1
UTP15,0.179858525584026,1
GMPPB,0.18470423896246185,1
DHFR,0.22342251606195196,1
SNRPD3,0.18104256262671067,1
FAM96B,0.179858525584026,1
DDX21,0.179858525584026,1
RRM1,0.1974269098659372,1
LSM7,0.2103822224454876,1
DHX37,0.1964775101317237,1
EIF4A1,0.179858525584026,1
EIF6,0.18470423896246185,1
NUF2,0.18104256262671067,1
PGD,0.19171702074081165,1
MRPL20,0.179858525584026,1
PSMG3,0.18470423896246185,1
DDX51,0.179858525584026,1
RPL19,0.179858525584026,1
NAA50,0.179858525584026,1
PCID2,0.18004204245714148,1
SEC61A1,0.1965987775041618,1
RPS29,0.179858525584026,1
FCF1,0.179858525584026,1
IARS2,0.18470423896246185,1
RAN,0.19171702074081165,1
SRSF7,0.179858525584026,1
GRPEL1,0.18790468308054928,1
KIF18A,0.2029789071905715,1
NOL10,0.179858525584026,1
MRPL11,0.23104438086896184,1
VPS25,0.22753251094944374,1
EIF2S1,0.179858525584026,1
RBBP4,0.1964775101317237,1
PSMB1,0.179858525584026,1
DHPS,0.179858525584026,1
ENO1,0.18470423896246185,1
SFPQ,0.2508450026708844,1
POLR2G,0.25865696204245825,1
UTP6,0.18470423896246185,1
RPS4X,0.18029773915343164,1
QARS,0.22753251094944374,1
HARS,0.18470423896246185,1
RPLP0,0.179858525584026,1
KRR1,0.23168091011043088,1
PPAN,0.179858525584026,1
RPF2,0.25430742958371416,1
EIF2B5,0.28386122950590204,1
SNRNP25,0.1854409217820827,1
POLR3A,0.2053074482315817,1
PRMT5,0.18470423896246185,1
ETF1,0.179858525584026,1
DCPS,0.179858525584026,1
KARS,0.27345939936650826,1
WDR75,0.179858525584026,1
RUVBL1,0.179858525584026,1
ATP6V0C,0.179858525584026,1
YARS2,0.240957441344311,1
TXNL4B,0.1964775101317237,1
PSMA7,0.18029773915343164,1
ELP3,0.179858525584026,1
PFDN2,0.18540520102066865,1
POLD1,0.18470423896246185,1
ALDOA,0.179858525584026,1
RAD51C,0.24077575197015125,1
RRP9,0.2496755643872048,1
LRPPRC,0.179858525584026,1
SDHA,0.20271750540497732,1
TFAM,0.198987370172834,1
NOP56,0.1853146608896808,1
RPL9,0.3234396018468354,1
RPL3,0.1919594401270345,1
DDX5,0.18470423896246185,1
CSNK2B,0.179858525584026,1
CENPK,0.22048175437561057,1
SNRPD2,0.20730633359848297,1
PES1,0.18470423896246185,1
RPL27A,0.179858525584026,1
ATP1A1,0.179858525584026,1
VARS,0.18470423896246185,1
DAD1,0.21162224373940525,1
EXOSC2,0.179858525584026,1
TCP1,0.179858525584026,1
MMS19,0.2699272466591449,1
ATP6V1E1,0.19835989225553702,1
PAFAH1B1,0.20931138223614748,1
SNRNP200,0.2380593808025565,1
DKC1,0.18470423896246185,1
ARMC7,0.18104256262671067,1
VMP1,0.25006736865716767,1
ATP6V1B2,0.26112026640223596,1
MRPL37,0.179858525584026,1
EIF3I,0.179858525584026,1
EIF3A,0.179858525584026,1
TAF2,0.23293759799702293,1
RAD51,0.22804230338720344,1
ABCB7,0.20271750540497732,1
PHB2,0.18004204245714148,1
NOP2,0.20780596589866987,1
RNGTT,0.23293759799702293,1
CCT4,0.18470423896246185,1
PWP2,0.18470423896246185,1
PHB,0.18180856491578076,1
POLR2I,0.20911916037510547,1
RPL8,0.20772627261087223,1
SKA2,0.2001275659662214,1
NAA25,0.179858525584026,1
PSMD7,0.23861284000938934,1
RPL10A,0.179858525584026,1
NARS,0.19171702074081165,1
U2SURP,0.2380593808025565,1
AQR,0.179858525584026,1
TRAPPC1,0.2074682176063473,1
SPATA5L1,0.2272917753310577,1
TANGO6,0.21162224373940525,1
CARS,0.179858525584026,1
EPRS,0.21089971215177553,1
HSD17B10,0.179858525584026,1
ADSL,0.18029773915343164,1
CCT7,0.179858525584026,1
UBL5,0.179858525584026,1
DLST,0.18470423896246185,1
TMED10,0.18180856491578076,1
PRPF40A,0.25292050672084415,1
PSMC3,0.1854409217820827,1
PSMD4,0.18104256262671067,1
POLR2C,0.3109028094447457,1
MED4,0.18470423896246185,1
PSMA5,0.179858525584026,1
SF3B1,0.179858525584026,1
IMP4,0.20571350869345167,1
GGPS1,0.179858525584026,1
POLR2A,0.22965143929540663,1
CSNK1A1,0.31786929026341654,1
NSA2,0.22440783388835153,1
MARS2,0.18470423896246185,1
UBA2,0.1965987775041618,1
RPAP2,0.25190034396092476,1
PRC1,0.179858525584026,1
TP53RK,0.1854409217820827,1
RPL13,0.18470423896246185,1
COPS4,0.1854409217820827,1
RBBP5,0.179858525584026,1
IMP3,0.2018128870613864,1
PRPF8,0.179858525584026,1
GNL3,0.20911916037510547,1
DDX18,0.22602959856739124,1
WDR82,0.21181889901620676,1
SUPV3L1,0.19171702074081165,1
GFM1,0.18104256262671067,1
LRR1,0.25190034396092476,1
CTDP1,0.2681738353411777,1
POLR2B,0.3466158744435121,1
ATP2A2,0.22753251094944374,1
ECD,0.18859067424216272,1
GFM2,0.18470423896246185,1
ATP6V1D,0.22214163757548044,1
MVK,0.20215814283210434,1
DDX47,0.2559249146848653,1
DBR1,0.1854409217820827,1
RUVBL2,0.179858525584026,1
TERF2,0.32149349870470845,1
PDPK1,0.29996038907714107,1
PSMB2,0.1854409217820827,1
WDR55,0.18470423896246185,1
EIF3B,0.18960627667832214,1
PSMA4,0.18470423896246185,1
WDR18,0.18470423896246185,1
NOL6,0.1965987775041618,1
INTS1,0.2064385366764024,1
METTL16,0.27629002420731563,1
SF3B5,0.2547902936520155,1
SLU7,0.2985158454426754,1
POLR1B,0.1964775101317237,1
LSG1,0.42290243713114467,1
ERCC2,0.33280387213263213,1
