gene,fdr,stat
A1BG,0.015689611222814818,0.0035109332496195775
A1CF,0.7784998498261684,0.5618350047025799
A2M,0.1118543239296132,0.04213044932607573
A2ML1,7.60166007280219e-4,1.0201568611279034e-4
A3GALT2,0.6153058327297171,0.4059544054162995
A4GALT,0.9999999996019021,0.8274753841548251
A4GNT,0.19301831905596423,0.08568829787002859
AAAS,0.24662706694032455,0.11819724445002736
AACS,0.39349515220648407,0.21975447363846654
AADAC,2.322192504577463e-4,2.7252015841402445e-5
AADACL2,0.04364744188575933,0.012498427742414105
AADACL3,0.53548179794346,0.33583531166997616
AADACL4,0.8483260718557085,0.6344358745934964
AADAT,0.943454350683672,0.7409710126175514
AAED1,0.03818362463149371,0.010528315900589749
AAGAB,0.025065303084033735,0.006242392229372708
AAK1,0.007132689307698835,0.0013498109781795995
AAMDC,0.8665760294788414,0.6543795071612797
AAMP,1.2058431208744489e-7,5.6781186040234605e-9
AANAT,0.212213695949144,0.09709667614059876
AAR2,0.04849969544782715,0.014277066961640883
AARD,0.9528409724956671,0.7517837003732883
AARS,7.907023465517203e-9,2.0478086200130882e-10
AARS2,9.364778751409983e-8,4.208834273772394e-9
AARSD1,0.34105079634675217,0.18232914964009383
AASDH,0.18075026696019886,0.07844157358348683
AASDHPPT,2.4870781404263224e-8,8.523184125878936e-10
AASS,0.009151970909120836,0.0018311997338444233
AATF,1.5059899689752777e-9,2.114719050765074e-11
AATK,0.008075476188524607,0.0015776606544211206
ABAT,0.9999999996019021,0.981837754985388
ABCA1,0.18525328141461755,0.08106403875861036
ABCA10,0.566620320362482,0.3633983093707584
ABCA12,0.6939471585093634,0.47871570579950584
ABCA13,0.08018260873920567,0.027096712700597995
ABCA2,0.9999999996019021,0.9340518227714403
ABCA3,0.26241313196816207,0.12879436012376097
ABCA4,0.5519586633253519,0.35044306908665024
ABCA5,0.040888417250348044,0.011496591550430094
ABCA6,0.6121480964193386,0.40326252718128464
ABCA7,0.9999999996019021,0.960149459716398
ABCA8,0.23433706479368024,0.11052941134908321
ABCA9,0.49011705591552535,0.2976910428568688
ABCB1,0.9999999996019021,0.8497869109152568
ABCB10,0.24926270878875526,0.11991684232263929
ABCB11,0.20534394662149352,0.09287910943037783
ABCB4,0.03397907874866678,0.009058307026029598
ABCB5,0.4431129366696943,0.2585694858304348
ABCB6,0.62545172776681,0.4154297956364597
ABCB7,4.832019140451764e-9,1.0946812576861895e-10
ABCB8,0.46838089495201507,0.27985715588091936
ABCB9,0.40005156856468355,0.22494268981663895
ABCC1,0.12722869921568422,0.04972239109003845
ABCC10,0.5020562182830428,0.3075957890490468
ABCC11,0.41859580160064747,0.2391162539567765
ABCC12,0.058208987243371556,0.018011193980918713
ABCC2,0.1913412936715523,0.084633458729624
ABCC3,0.05080585226992708,0.015159617825322772
ABCC4,0.9999999996019021,0.9395350298734195
ABCC5,0.3151694382855541,0.16371067772191603
ABCC6,0.07077232122908579,0.023146433317794972
ABCC8,0.9999999996019021,0.9964274322519386
ABCC9,0.9999999996019021,0.9983606188679387
ABCD1,0.013498238627697142,0.0029096815333078123
ABCD2,0.03421206699799679,0.009132525810902507
ABCD3,0.7116851380555634,0.4957555552802685
ABCD4,0.5297857406835996,0.33134823126310625
ABCE1,9.47849094431201e-10,1.1306942579935846e-11
ABCF1,1.0206778535800614e-8,2.867702649361654e-10
ABCF2,0.9999999996019021,0.8946261506788646
ABCF3,0.15051135235984667,0.06177792911960431
ABCG1,0.9092455825692408,0.7009775302767536
ABCG2,0.3410453254511423,0.18230126061475224
ABCG4,0.9999999996019021,0.9999639695509044
ABCG5,0.020571805828769486,0.004880058997940713
ABCG8,0.9999999996019021,0.8511688574418362
ABHD1,0.46517899230133125,0.27708021852256615
ABHD10,0.9999999996019021,0.9121552445115715
ABHD11,1.1025194947384764e-8,3.13802440819197e-10
ABHD12,0.9999999996019021,0.999760679846871
ABHD12B,0.09694119542604554,0.034809157338405824
ABHD13,0.43209126911939294,0.2500848438865341
ABHD14A,0.5267901418392087,0.3288958699611404
ABHD14B,0.5737509114867748,0.3695624690688895
ABHD15,0.6770949048399124,0.46358310703369926
ABHD16A,0.22067626491800887,0.1020886064147457
