gene,fdr,stat
GATA3,0.48806914939351553,0.8213053233144954
ANKH,7.330636798847983e-14,2.570943458124475e-12
SMARCAD1,0.33754835341753753,0.8002828908940545
JAG1,0.11083977554213721,0.6711358211516092
MAP1LC3C,0.3438029225053413,0.8014063348381
CCNI,0.02028708336472697,0.30654396374334514
TRAM1L1,0.48007244152899836,0.8203435193999125
POU6F1,0.4237077383565108,0.8137595805498742
OR4F4,0.4261369482468286,0.8140340470690006
CPA2,0.4524982520500071,0.8172418547558176
ANLN,0,0
GEMIN6,1.7921439096485432e-9,6.689988107932976e-8
AASDHPPT,0.0010653805858720224,0.029325284973965915
OR7E24,0.16857928238370443,0.7352476067087688
SP8,0.5115209994349108,0.823756624369099
BCL11B,0.44858599332242244,0.8167761859807102
HIST1H2BF,0.3477847027785745,0.8022376227681309
C22orf42,0.1975020879858257,0.7535864241752792
OR11H2,0.2961090126411449,0.790766899540247
CXCL11,0.5168136998095106,0.8244451486981847
ETV4,1.5942731198657464e-7,6.155960558085205e-6
ZC3H13,0,0
RNF133,0.41238376140220456,0.8123404384364239
PRAMEF20,0.2196874206331842,0.764194657621839
XAGE5,0.14826117794545163,0.7182166217659031
MYO3B,0.48411539654420505,0.8208172118339757
ZEB2,0.4192168334698898,0.8132013311202979
GABRR3,6.350146088088248e-6,2.5775450009546397e-4
OR13H1,0.5045996134078411,0.8230026995685547
TMPRSS11B,0.47246350646122953,0.8195563540963202
WFDC11,0.33795131983753507,0.8003442879190241
HLA-DMB,0.4902781525134496,0.8215097756644139
ZC3H4,5.612187083349933e-5,0.0020477098329948484
CYLC1,0.4889798085083862,0.8213911915981278
E2F6,0.3647024435337716,0.8053044987486524
SERPINB12,0.11829146652854006,0.6813185187791251
GLTSCR1L,0.2529968492623207,0.7777668253089466
HDAC8,1.0095008208311666e-16,5.995204332975845e-15
CSH2,0.4013557747363842,0.8107086913063422
NMNAT1,0.0010087140269558028,0.027948472004436176
GABRG2,0.30888869566752963,0.7941537418428737
TAS2R19,0.19165900167122635,0.7504225000064851
TNFRSF10C,0.3593645030780048,0.8043643812055847
CLEC4A,0.5230740264443828,0.8253075572777693
OR5K1,0.3642319092893354,0.8052261326329917
EXPH5,2.8767945925390443e-5,0.0010264025671244958
PIK3C2A,0.3279317625289384,0.798554596347646
DPF3,0.4301052243898053,0.8145655649579839
TNFSF18,0.13986432376915453,0.7096876158823485
NR2F1,0.45314671211775354,0.8173026765253558
