gene,fdr,stat
BUB3,5.232041e-5,1
NUBP1,5.232041e-5,2
RPS3A,5.232041e-5,3
TOP2A,5.232041e-5,4
ITPA,5.232041e-5,5
U2AF1,5.232041e-5,6
WDR43,5.232041e-5,7
HSPA9,5.232041e-5,8
TSR2,5.232041e-5,9
PRPF19,5.232041e-5,10
RPS15A,5.232041e-5,11
UBA3,5.232041e-5,12
RSL24D1,5.232041e-5,13
RPL4,5.232041e-5,14
RPS13,5.232041e-5,15
MARS,5.232041e-5,16
RPL11,5.232041e-5,17
SMU1,5.232041e-5,18
RPL6,5.232041e-5,19
SNRPF,5.232041e-5,20
RFC3,5.232041e-5,21
TUT1,5.232041e-5,22
RPP21,5.232041e-5,23
CCT5,5.232041e-5,24
GPN2,5.232041e-5,25
CDK1,5.232041e-5,26
RPL18A,5.232041e-5,27
LARS,5.232041e-5,28
RPL27,5.232041e-5,29
PSMB7,5.232041e-5,30
RPL23A,5.232041e-5,31
RPL7,5.232041e-5,32
ORAOV1,5.232041e-5,33
FAU,5.232041e-5,34
GAPDH,5.232041e-5,35
NAA20,5.232041e-5,36
EIF1AX,5.232041e-5,37
DHX36,5.232041e-5,38
RPS17,5.232041e-5,39
SNRPG,5.232041e-5,40
MDM2,5.232041e-5,41
XRCC5,5.232041e-5,42
PHF5A,5.232041e-5,43
RPL19,5.232041e-5,44
SOD1,5.232041e-5,45
PSMC6,5.232041e-5,46
DCTN5,5.232041e-5,47
POLR2L,5.232041e-5,48
CLP1,5.232041e-5,49
DDX51,5.232041e-5,50
RPL31,5.232041e-5,51
RPL35A,5.232041e-5,52
ELP2,5.232041e-5,53
CLNS1A,5.232041e-5,54
RPLP0,5.232041e-5,55
DARS,5.232041e-5,56
GRPEL1,5.232041e-5,57
EIF2S1,5.232041e-5,58
NFS1,5.232041e-5,59
HSPE1,5.232041e-5,60
CARS,5.232041e-5,61
SRP54,5.232041e-5,62
PPP6C,5.232041e-5,63
ALDOA,5.232041e-5,64
PSMA5,5.232041e-5,65
RABGGTB,5.232041e-5,66
EFTUD2,5.232041e-5,67
PGS1,5.232041e-5,68
MAK16,5.232041e-5,69
CDK7,5.232041e-5,70
MCM7,5.232041e-5,71
RPS23,5.232041e-5,72
RPL12,5.232041e-5,73
ARL2,5.232041e-5,74
ABCE1,5.232041e-5,75
