gene,fdr,stat
RPL19,3.3e-4,5.443e-9
RPS3A,3.3e-4,5.7931e-9
BUB3,3.3e-4,7.8965e-9
RPP21,3.3e-4,1.1972e-8
NUBP1,3.3e-4,2.0494e-8
HSPA9,3.3e-4,3.9497e-8
ITPA,3.3e-4,4.8713e-8
RPL6,3.3e-4,5.054e-8
ALDOA,3.3e-4,6.5662e-8
RPL7,3.3e-4,7.4679e-8
PFDN2,3.3e-4,8.5115e-8
RPL11,3.3e-4,8.6691e-8
SNRPF,3.3e-4,1.2935e-7
USP17L24,3.3e-4,1.5786e-7
RPS15A,3.3e-4,1.6395e-7
TOP2A,4.79e-4,1.8563e-7
PGS1,4.79e-4,1.8563e-7
RPLP0,4.79e-4,1.8941e-7
SMU1,4.79e-4,1.9227e-7
PRMT5,4.79e-4,2.1666e-7
DHFR,4.79e-4,2.3509e-7
UBA3,4.79e-4,2.6829e-7
RPS13,4.79e-4,2.7045e-7
DCTN5,4.79e-4,2.7829e-7
TSR2,4.79e-4,2.8276e-7
EIF6,4.79e-4,2.8404e-7
ATP6V0C,4.79e-4,3.1693e-7
RPS4X,4.79e-4,3.2115e-7
RSL24D1,4.79e-4,3.2236e-7
PSMA6,4.79e-4,3.5832e-7
CARS,4.79e-4,3.6822e-7
FAU,6.35e-4,4.091e-7
TWNK,6.35e-4,4.2171e-7
PHF5A,6.35e-4,4.2498e-7
SKA2,6.35e-4,4.3288e-7
ANAPC11,6.35e-4,4.8258e-7
EIF1AX,6.35e-4,4.845e-7
XRCC5,6.35e-4,4.8642e-7
POLR1A,6.35e-4,5.0698e-7
NOP58,7.07e-4,5.4689e-7
KPNB1,7.07e-4,5.4689e-7
DPH3,7.07e-4,5.7806e-7
SBDS,7.07e-4,5.9133e-7
RPL35A,7.07e-4,6.1858e-7
RFC3,7.07e-4,6.2263e-7
PRMT1,7.07e-4,6.7341e-7
RPL27,7.07e-4,6.7464e-7
TUT1,7.07e-4,7.1493e-7
AMD1,7.07e-4,7.2593e-7
FBL,7.3e-4,7.3173e-7
MCM7,7.3e-4,7.4441e-7
RPL17-C18orf32,7.3e-4,7.6761e-7
PCNA,7.3e-4,7.7325e-7
POLR2G,7.3e-4,7.7807e-7
DNA2,7.3e-4,7.8423e-7
UBA52,7.3e-4,7.9254e-7
RPL21,7.3e-4,8.0372e-7
PSMA5,7.3e-4,8.0794e-7
TRMT5,7.3e-4,8.25e-7
TRRAP,7.3e-4,8.3382e-7
