gene,fdr,stat
RPS3A,0,0
HSPA9,0,0
ITPA,0,0
BUB3,0,0
EIF1AX,0,0
RPL19,0,0
FAU,0,0
TUT1,0,0
PRMT5,0,0
RPP21,0,0
RPL7,0,0
UBA3,0,0
RPL23A,0,0
DNA2,0,0
DCTN5,0,0
RPLP0,0,0
SMU1,0,0
PSMA5,0,0
ZCRB1,0,0
EIF6,0,0
PRMT1,0,0
PSMB1,0,0
COPA,0,0
HMGCS1,0,0
RPL4,0,0
RPL31,0,0
TWNK,0,0
MCM7,0,0
RSL24D1,0,0
ANAPC11,0,0
WDR43,0,0
GPN1,0,0
XRCC5,0,0
ATP1A1,0,0
CCT4,0,0
CDK1,0,0
MAK16,0,0
TIMM9,0,0
EXOSC8,0,0
PGD,0,0
SBDS,0,0
ABCE1,0,0
CARS,0,0
RPS18,0,0
DPH3,0,0
XRCC6,0,0
PHB,0,0
ALDOA,0,0
EIF3E,0,0
CCT7,0,0
SRP54,0,0
RPS17,0,0
U2AF1,0,0
AQR,0,0
RFC3,0,0
EIF5,0,0
UBA52,0,0
PRPF19,0,0
NUP85,0,0
PRELID1,0,0
MDM2,0,0
RPS4X,0,0
RPL21,0,0
HSPA8,0,0
WDR18,0,0
CLP1,0,0
EIF2S1,0,0
RPL35A,0,0
SNRNP25,0,0
GRPEL1,0,0
RPS29,0,0
RPL11,0,0
RPS16,0,0
DARS,0,0
LSM2,0,0
SKA2,0,0
NAA25,0,0
CCT3,0,0
PHF5A,0,0
SNRPF,0,0
PES1,0,0
ARL2,0,0
CYCS,0,0
RPS27,0,0
NMD3,0,0
NAA20,0,0
ARMC7,0,0
USP17L24,0,0
RPL5,0,0
TCP1,0,0
DKC1,0,0
ORAOV1,0,0
ELP2,0,0
RPL6,0,0
ILF3,0,0
HSPD1,0,0
IMP4,0,0
ATP6V0C,0,0
SF3B1,0,0
CDC7,0,0
AP2S1,0,0
RPL27,0,0
GPN2,0,0
RPS15A,0,0
CSNK2B,0,0
TRMT5,0,0
NUBP1,0,0
RPS8,0,0
ZRSR2,0,0
NUP160,0,0
PSMB7,0,0
SF3B3,0,0
RPS13,0,0
PSMG3,0,0
RPS24,0,0
SSB,0,0
PFDN2,0,0
EIF3I,0,0
UBE2N,0,0
GNL3L,0,0
MIS18BP1,0,0
SEPT7,0,0
HSCB,0,0
MFN2,0,0
SNRNP40,0,0
NUF2,0,0
SOD2,0,0
RUVBL2,0,0
PGAM1,0,0
GTPBP4,0,0
MARS2,0,0
SLC16A1,0,0
TARS2,0,0
ANAPC1,0,0
