gene,fdr,stat
A1BG,1,1.3583134465871542
A1CF,1,2.3388372386593548
A2M,1,1.1967405313072434
A2ML1,0.7603262769401818,0.10839269140212036
A3GALT2,1,2.0653801558105296
A4GALT,1,3.2809529311311905
A4GNT,1,1.0592537251772889
AAAS,1,0.5069907082747044
AACS,1,0.30902954325135906
AADAC,0.7762471166286917,0.11220184543019636
AADACL2,1,0.7870457896950986
AADACL3,1,0.7227698036021702
AADACL4,1,1.9098532585662382
AADAT,1,1.4190575216890922
AAED1,1,1.0914403364487566
AAGAB,0.9078205301781858,0.13995873225726183
AAK1,1,0.1803017740859569
AAMDC,1,1.0447202192208
AAMP,0.03630780547701014,0.0021379620895022326
AANAT,1,1.4791083881682074
AAR2,1,1.4962356560944334
AARD,1,2.600159563165272
AARS,0.0019724227361148533,1.435489433353656e-5
AARS2,0.02624218543384442,0.0013899526312133527
AARSD1,1,1.5452544395384138
AASDH,1,1.2133888504649772
AASDHPPT,0.02128139045982712,0.0010592537251772887
AASS,1,0.2992264636608189
AATF,0.05942921586155727,0.004130475019901615
AATK,1,0.8109610578538408
ABAT,1,2.3768402866248763
ABCA1,1,0.7161434102129021
ABCA10,1,0.6729766562843178
ABCA12,1,2.78612116862977
ABCA13,1,0.5821032177708715
ABCA2,1,3.206269324505466
ABCA3,1,1.4723125024327188
ABCA4,1,1.8535316234148114
ABCA5,1,0.6698846094165264
ABCA6,1,2.0796966871036955
ABCA7,1,1.7823787674480895
ABCA8,1,1.4655478409559115
ABCA9,1,0.8729713683881116
ABCB1,1,0.628058358813318
ABCB10,1,2.0183663636815607
ABCB11,1,1.2531411749414159
ABCB4,1,0.5248074602497725
ABCB5,1,1.9952623149688795
ABCB6,1,2.5527013026612466
ABCB7,0.005847900841444806,1.54170045294956e-4
ABCB8,1,2.4547089156850306
ABCB9,1,0.9311078754678304
ABCC1,1,2.2284351492703034
ABCC10,1,1.4321878992735435
ABCC11,1,1.035142166679344
ABCC12,1,0.35563131856898533
ABCC2,1,0.3491403154785861
ABCC3,1,0.8912509381337456
ABCC4,1,2.7542287033381663
ABCC5,1,2.328091257665008
ABCC6,1,0.744731973905989
ABCC8,1,3.5156044052829816
ABCC9,1,3.2583670100200877
ABCD1,1,1.297179270983956
ABCD2,1,0.4688133821452652
ABCD3,1,0.9705099672454897
ABCD4,1,2.937649651961531
ABCE1,9.418895965228418e-4,2.382319469358689e-6
ABCF1,0.0027101916318908416,3.303695410368149e-5
ABCF2,1,1.9364219639466071
ABCF3,1,2.296148648112362
ABCG1,1,1.6710906143107076
ABCG2,1,1.0592537251772889
ABCG4,1,2.4378108183687526
ABCG5,1,0.7030723198838335
ABCG8,1,1.6443717232149315
ABHD1,1,2.7797132677592886
ABHD10,1,2.7164392688390824
ABHD11,0.003828247433168228,6.776415076106757e-5
ABHD12,1,3.372873086588689
ABHD12B,1,1.6405897731995394
ABHD13,1,1.3152248321922384
ABHD14A,1,1.9054607179632472
ABHD14B,1,1.2764388088113439
ABHD15,1,1.191242008027375
ABHD16A,1,1.7139573075084253
ABHD16B,1,2.9648313895243423
ABHD17A,0.019453600816226622,9.397233105646375e-4
ABHD17B,1,2.28559880337543
ABHD17C,1,2.5468302525850413
ABHD18,1,0.7177942912713617
ABHD2,1,1.3152248321922384
ABHD3,1,1.4354894333536559
ABHD4,1,1.2941958414499861
ABHD5,1,2.2438819237827663
ABHD6,1,0.2716439268839083
ABHD8,1,1.1668096170609625
ABI1,1,0.8912509381337456
ABI2,1,0.4083193863326921
ABI3,1,2.084490883097289
ABI3BP,1,1.8923436186449756
ABL1,1,0.5152286445817565
ABL2,1,0.2798981319634362
ABLIM1,1,2.223309890651403
ABLIM2,1,0.5508076964054034
ABLIM3,1,3.1622776601683795
ABO,1,2.710191631890843
ABR,1,1.931968317016924
ABRA,1,1.202264434617413
ABRACL,1,1.3867558288718884
ABRAXAS1,1,0.21627185237270202
ABRAXAS2,1,2.223309890651403
ABT1,0.026668586645214792,0.0014223287871228199
ABTB1,1,0.8649679187756932
ABTB2,1,0.9418895965228413
ACAA1,1,2.864177969906581
ACAA2,1,0.5420008904016238
ACACA,0.737904230129101,0.10375284158180126
ACACB,1,1.9010782799233001
ACAD10,1,1.4996848355023735
ACAD11,1,2.0511621788255656
ACAD8,1,1.8113400926196026
ACAD9,1,0.22438819237827662
ACADL,1,0.3828247433168227
ACADM,1,0.9484184633008972
ACADS,1,1.244514611771385
ACADSB,1,2.218196419800219
