gene,fdr,stat
RPS3A,0.179858525584026,1.641072495074239e-4
HSPA9,0.179858525584026,5.553148098239422e-4
PRPF19,0.179858525584026,1.2067738470879765e-4
RPS15A,0.17704197076839204,3.7051634127220645e-5
GPN2,0.15943082385225954,1.4314631038015382e-5
NUBP1,0.179858525584026,7.897334981678039e-4
RPS13,0.15943082385225954,2.394919854908232e-5
RPL4,0.179858525584026,0.001092842104190061
BUB3,0.179858525584026,2.2765173475006e-4
RPP21,0.179858525584026,0.0036764086597558714
RPL11,0.179858525584026,8.433014771595305e-4
XRCC5,0.179858525584026,4.666322124281541e-4
TOP2A,0.179858525584026,0.0013674059142630827
RSL24D1,0.179858525584026,9.562997725639145e-4
FBL,0.179858525584026,0.0010811593242388729
RPL27,0.179858525584026,5.269110777164467e-4
UBE2N,0.179858525584026,3.569532097107355e-4
U2AF1,0.179858525584026,0.0013358121150334782
SNRPF,0.179858525584026,9.128502894167505e-4
KPNB1,0.179858525584026,0.0010670138243796192
POLR2J,0.179858525584026,3.142811792943235e-4
TSR2,0.179858525584026,3.656262218971858e-4
XPO1,0.179858525584026,6.573344899230457e-4
RPS17,0.179858525584026,0.0020415654833537346
SMU1,0.179858525584026,0.0029497424197899554
RPL23A,0.179858525584026,0.0015207156424934959
RFC3,0.179858525584026,4.7566089692424726e-4
GAPDH,0.179858525584026,0.0015355044571020845
WDR43,0.179858525584026,0.0026051405805478218
POLR2L,0.179858525584026,0.0016348365759692716
MARS,0.179858525584026,5.679824330915401e-4
MAK16,0.179858525584026,0.0038861517712035962
LARS,0.179858525584026,0.0018037112418763834
AMD1,0.179858525584026,0.001609393383264366
PPP6C,0.18104256262671067,0.004460159583762487
ITPA,0.179858525584026,1.1338142608004263e-4
PSMC6,0.179858525584026,0.0036281221554503745
NOP58,0.179858525584026,0.0032101428625913512
POLR1C,0.179858525584026,5.983967518782504e-4
EIF4A3,0.179858525584026,0.0022860280309266287
CDK7,0.179858525584026,0.0036875149077079997
CCT5,0.179858525584026,5.230841790188478e-4
YRDC,0.179858525584026,0.0023289552458530677
EIF1AX,0.179858525584026,4.956847658537442e-4
PSMB7,0.179858525584026,7.53604831779976e-4
ZCRB1,0.179858525584026,0.0020065733786171357
RABGGTB,0.18470423896246185,0.005218594867547289
TUT1,0.179858525584026,0.0016195482662287178
PCNA,0.179858525584026,0.001983355683235494
MDM2,0.179858525584026,0.001795086450895143
UBA3,0.179858525584026,8.15134076213585e-4
RPL18A,0.179858525584026,8.693152034856422e-4
CDK1,0.179858525584026,0.0022036268774410085
POLR1A,0.179858525584026,0.0025423597514247233
ORAOV1,0.179858525584026,0.0023076615041976254
IARS,0.179858525584026,9.91560755455693e-4
PPP4C,0.179858525584026,0.0020304033025998576
PSMA6,0.18470423896246185,0.005062328877764443
CDC7,0.179858525584026,0.0020978131194177253
DNA2,0.179858525584026,0.0015917379323502302
CAD,0.179858525584026,6.853847732143476e-4
RPL35A,0.179858525584026,0.0032203468876385835
MCM7,0.18470423896246185,0.00593369085312591
HSPE1,0.179858525584026,0.002274168977421513
DHX36,0.18104256262671067,0.004372359605670378
UBE2I,0.179858525584026,0.0012418167923071064
DCTN5,0.179858525584026,0.0020676751650643265
NFS1,0.19334276453953889,0.007854905697031471
