gene,fdr,stat
PGAM1,2.7472498725079427e-5,-6.247388355744656
USP17L24,2.7472498725079427e-5,-6.121415592092853
DPH3,2.7472498725079427e-5,-5.957759656141002
CARS,2.7472498725079427e-5,-5.6511319174023
ALDOA,2.7472498725079427e-5,-5.613866270940473
SMU1,2.7472498725079427e-5,-5.567490679151423
TWNK,2.7472498725079427e-5,-5.555339805871787
RPL7,2.7472498725079427e-5,-5.546759193801887
TRMT5,2.7472498725079427e-5,-5.466568638353714
EIF3I,2.7472498725079427e-5,-5.454722529789148
ITPA,2.7472498725079427e-5,-5.362036344443175
RPL19,2.7472498725079427e-5,-5.315552105592049
KARS,2.7472498725079427e-5,-5.31519533761714
PRMT5,2.7472498725079427e-5,-5.274266075176313
RPS3A,2.7472498725079427e-5,-5.258486311559376
BUB3,2.7472498725079427e-5,-5.244146954223393
FAU,2.7472498725079427e-5,-5.196204262012412
AP2S1,2.7472498725079427e-5,-5.094784062530468
HSPA8,2.7472498725079427e-5,-5.067201790256648
DOHH,2.7472498725079427e-5,-5.053662260293102
PSMB4,2.7472498725079427e-5,-5.047580357279161
RPL6,2.7472498725079427e-5,-5.032168854072179
SKA2,2.7472498725079427e-5,-5.0209568367176916
PSMA5,2.7472498725079427e-5,-5.0118806967129155
GOSR2,2.7472498725079427e-5,-4.999398550638236
RPP21,2.7472498725079427e-5,-4.980748443171861
TRRAP,2.7472498725079427e-5,-4.978982039748845
VRK1,2.7472498725079427e-5,-4.971744242176141
RPLP0,2.7472498725079427e-5,-4.945800358134108
RPS16,2.7472498725079427e-5,-4.913299786123039
EIF3E,2.7472498725079427e-5,-4.869008617369056
DDX52,2.7472498725079427e-5,-4.863901753833541
METAP2,2.7472498725079427e-5,-4.857878837450492
HSPA9,2.7472498725079427e-5,-4.840899237395735
GPR89B,2.7472498725079427e-5,-4.839741333245875
AARS,2.7472498725079427e-5,-4.83903855050382
PSMD14,2.7472498725079427e-5,-4.835089840345678
PSMB3,2.7472498725079427e-5,-4.831398562508841
BRF1,2.7472498725079427e-5,-4.813735317782575
DNTTIP2,2.7472498725079427e-5,-4.80410644278477
RPL17-C18orf32,2.7472498725079427e-5,-4.8008526112026235
RPL5,2.7472498725079427e-5,-4.789826217127903
PRELID1,2.7472498725079427e-5,-4.78784607513286
RPS4X,2.7472498725079427e-5,-4.782201190970334
PRMT1,2.7472498725079427e-5,-4.781314352098241
ACTL6A,2.7472498725079427e-5,-4.756707310127597
UQCRH,2.7472498725079427e-5,-4.728374640395874
PYROXD1,2.7472498725079427e-5,-4.724837454274937
ZPR1,2.7472498725079427e-5,-4.716336457358382
EIF6,2.7472498725079427e-5,-4.704056601446201
MCM7,2.7472498725079427e-5,-4.702923864787812
ANAPC11,2.7472498725079427e-5,-4.694866019685999
PTCD3,2.7472498725079427e-5,-4.69064743273848
EIF2S1,2.7472498725079427e-5,-4.686678824715809
SF3B1,2.7472498725079427e-5,-4.681942502528943
RSL24D1,2.7472498725079427e-5,-4.67208438151884
EXOSC8,2.7472498725079427e-5,-4.667257849151028
RPP14,2.7472498725079427e-5,-4.620746429799269
CDC73,2.7472498725079427e-5,-4.6130245336083195
URI1,2.7472498725079427e-5,-4.603010343016745
XRCC6,2.7472498725079427e-5,-4.580722390627766
ZRSR2,2.7472498725079427e-5,-4.569722723772057
RPL21,2.7472498725079427e-5,-4.558452302143137
PFDN2,2.7472498725079427e-5,-4.5561779748163325
CDCA8,2.7472498725079427e-5,-4.534340385453671
TUT1,2.7472498725079427e-5,-4.516085445622212
HSPA5,2.7472498725079427e-5,-4.51095147061144
GINS2,2.7472498725079427e-5,-4.499155521369542
TUBA1B,2.7472498725079427e-5,-4.477512707306654
ANAPC1,2.7472498725079427e-5,-4.474886562360902
CDK1,2.7472498725079427e-5,-4.471595583586523
MTG1,2.7472498725079427e-5,-4.469504547474706
MFN2,2.7472498725079427e-5,-4.4667913912301564
CCDC94,2.7472498725079427e-5,-4.465935121541581
MTHFD1,2.7472498725079427e-5,-4.460210048048041
SEPT7,2.7472498725079427e-5,-4.457262664859568
XPO5,2.7472498725079427e-5,-4.457147678892784
COG3,2.7472498725079427e-5,-4.451884004069107
POLR2K,2.7472498725079427e-5,-4.433976398837697
RBM39,2.7472498725079427e-5,-4.42865231757783
GFM1,2.7472498725079427e-5,-4.423952251299827
TIMM9,2.7472498725079427e-5,-4.42120047562038
TAF1C,2.7472498725079427e-5,-4.417992961142968
POLR2G,2.7472498725079427e-5,-4.412100180494341
TRAPPC11,2.7472498725079427e-5,-4.40646982645711
ELP5,2.7472498725079427e-5,-4.404014701764498
LUC7L3,2.7472498725079427e-5,-4.399877996760716
NAE1,2.7472498725079427e-5,-4.3977891606988875
